file_path,relative_path,file_name,extension,file_size_mb,subject_id,session_id,difficulty_level,run_id,run_key,detected_modality,modality_detection_method,is_readable,read_error,row_count_if_csv,column_count_if_csv,first_columns_if_csv,mat_keys_if_mat
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\PerfMetrics.csv,task-ils/PerfMetrics.csv,PerfMetrics.csv,csv,0.021638,,,,,,performance,filename_keyword,True,,419,8,"[""subject"", ""date"", ""run"", ""difficulty"", ""cumulative_glideslope_error_deg"", ""cumulative_localizer_error_deg"", ""cumulative_airspeed_error_kts"", ""cumulative_total_error""]",
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv,task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv,sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv,csv,0.000549,sub-cp003,ses-20210206,level-01B,run-001,sub-cp003_ses-20210206_level-01B_run-001,eye_tracking,filename_keyword,True,,1,27,"[""time_dn"", ""validity_l"", ""validity_r"", ""gaze_origin_l_x_mm"", ""gaze_origin_l_y_mm"", ""gaze_origin_l_z_mm"", ""gaze_origin_r_x_mm"", ""gaze_origin_r_y_mm"", ""gaze_origin_r_z_mm"", ""gaze_direction_l_x"", ""gaze_direction_l_y"", ""gaze_direction_l_z"", ""gaze_direction_r_x"", ""gaze_direction_r_y"", ""gaze_direction_r_z"", ""pupil_diameter_l_mm"", ""pupil_diameter_r_mm"", ""eye_openness_l"", ""eye_openness_r"", ""pupil_position_l_x""]",
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_hea.csv,task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_hea.csv,sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_hea.csv,csv,7.2e-05,sub-cp003,ses-20210206,level-01B,run-001,sub-cp003_ses-20210206_level-01B_run-001,eye_tracking,filename_keyword,True,,1,4,"[""processedTime"", ""Fs_Hz"", ""Fs_Hz_effective"", ""sampleCount""]",
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_dat.csv,task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_dat.csv,sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_dat.csv,csv,20.876203,sub-cp003,ses-20210206,level-01B,run-001,sub-cp003_ses-20210206_level-01B_run-001,ecg,filename_keyword,True,,269979,4,"[""time_dn"", ""ecg_projection_ll_ra_mV"", ""ecg_projection_la_ra_mV"", ""ecg_projection_vx_rl_mV""]",
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_hea.csv,task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_hea.csv,sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_hea.csv,csv,8.9e-05,sub-cp003,ses-20210206,level-01B,run-001,sub-cp003_ses-20210206_level-01B_run-001,ecg,filename_keyword,True,,1,4,"[""processedTime"", ""Fs_Hz"", ""Fs_Hz_effective"", ""sampleCount""]",
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmereda_feat-chunk_level-01B_run-001_dat.csv,task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslshimmereda_feat-chunk_level-01B_run-001_dat.csv,sub-cp003_ses-20210206_task-ils_stream-lslshimmereda_feat-chunk_level-01B_run-001_dat.csv,csv,4.025434,sub-cp003,ses-20210206,level-01B,run-001,sub-cp003_ses-20210206_level-01B_run-001,eda,filename_keyword,True,,68412,3,"[""time_dn"", ""ppg_finger_mV"", ""eda_hand_l_kOhms""]",
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmereda_feat-chunk_level-01B_run-001_hea.csv,task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslshimmereda_feat-chunk_level-01B_run-001_hea.csv,sub-cp003_ses-20210206_task-ils_stream-lslshimmereda_feat-chunk_level-01B_run-001_hea.csv,csv,8.8e-05,sub-cp003,ses-20210206,level-01B,run-001,sub-cp003_ses-20210206_level-01B_run-001,eda,filename_keyword,True,,1,4,"[""processedTime"", ""Fs_Hz"", ""Fs_Hz_effective"", ""sampleCount""]",
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmeremg_feat-chunk_level-01B_run-001_dat.csv,task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslshimmeremg_feat-chunk_level-01B_run-001_dat.csv,sub-cp003_ses-20210206_task-ils_stream-lslshimmeremg_feat-chunk_level-01B_run-001_dat.csv,csv,29.038397,sub-cp003,ses-20210206,level-01B,run-001,sub-cp003_ses-20210206_level-01B_run-001,emg,filename_keyword,True,,271951,6,"[""time_dn"", ""accelerometry_forearm_r_x_mps2"", ""accelerometry_forearm_r_y_mps2"", ""accelerometry_forearm_r_z_mps2"", ""emg_wrist_flexor_mV"", ""emg_wrist_extensor_mV""]",
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmeremg_feat-chunk_level-01B_run-001_hea.csv,task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslshimmeremg_feat-chunk_level-01B_run-001_hea.csv,sub-cp003_ses-20210206_task-ils_stream-lslshimmeremg_feat-chunk_level-01B_run-001_hea.csv,csv,8.9e-05,sub-cp003,ses-20210206,level-01B,run-001,sub-cp003_ses-20210206_level-01B_run-001,emg,filename_keyword,True,,1,4,"[""processedTime"", ""Fs_Hz"", ""Fs_Hz_effective"", ""sampleCount""]",
E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmerresp_feat-chunk_level-01B_run-001_dat.csv,task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslshimmerresp_feat-chunk_level-01B_run-001_dat.csv,sub-cp003_ses-20210206_task-ils_stream-lslshimmerresp_feat-chunk_level-01B_run-001_dat.csv,csv,11.558536,sub-cp003,ses-20210206,level-01B,run-001,sub-cp003_ses-20210206_level-01B_run-001,respiration,filename_keyword,True,,269979,2,"[""time_dn"", ""respiration_trace_mV""]",
