task,subject_id,session_id,difficulty_level,run_id,run_key,source_run_path,source_file_count,readable_file_count,signal_data_file_count,verified_signal_file_count,has_physiological_signals,has_eye_tracking,eye_tracking_source_paths,has_ecg,ecg_source_paths,has_eda,eda_source_paths,has_emg,emg_source_paths,has_respiration,respiration_source_paths,has_head_movement,head_movement_source_paths,has_xplane,xplane_source_paths,has_performance,performance_source_paths,has_torso_body_accelerometer,torso_body_accelerometer_source_paths,has_control_input,control_input_source_paths,available_modality_count,available_modalities,missing_modalities,abnormal_file_count,abnormal_files,unresolved_file_count,unresolved_files
ils,sub-cp003,ses-20210206,level-01B,run-001,sub-cp003_ses-20210206_level-01B_run-001,task-ils/sub-cp003/ses-20210206/level-01B_run-001,15,15,8,7,True,False,,True,task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslshimmereda_feat-chunk_level-01B_run-001_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslshimmeremg_feat-chunk_level-01B_run-001_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslshimmerresp_feat-chunk_level-01B_run-001_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcplt_feat-chunk_level-01B_run-001_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcac_feat-chunk_level-01B_run-001_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslxp11_feat-perfmetric_level-01B_run-001.csv,False,,False,,7,ecg;eda;emg;head_movement;performance;respiration;xplane,control_input;eye_tracking;torso_body_accelerometer,5,invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_hea.csv:NaN | invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcac_feat-chunk_level-01B_run-001_hea.csv:NaN | invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcplt_feat-chunk_level-01B_run-001_hea.csv:NaN | invalid_sample_count:task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_hea.csv:0 | placeholder_data_with_zero_samples:task-ils/sub-cp003/ses-20210206/level-01B_run-001/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv,0,
ils,sub-cp003,ses-20210206,level-01B,run-007,sub-cp003_ses-20210206_level-01B_run-007,task-ils/sub-cp003/ses-20210206/level-01B_run-007,15,15,8,7,True,False,,True,task-ils/sub-cp003/ses-20210206/level-01B_run-007/sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-007_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-01B_run-007/sub-cp003_ses-20210206_task-ils_stream-lslshimmereda_feat-chunk_level-01B_run-007_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-01B_run-007/sub-cp003_ses-20210206_task-ils_stream-lslshimmeremg_feat-chunk_level-01B_run-007_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-01B_run-007/sub-cp003_ses-20210206_task-ils_stream-lslshimmerresp_feat-chunk_level-01B_run-007_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-01B_run-007/sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcplt_feat-chunk_level-01B_run-007_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-01B_run-007/sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcac_feat-chunk_level-01B_run-007_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-01B_run-007/sub-cp003_ses-20210206_task-ils_stream-lslxp11_feat-perfmetric_level-01B_run-007.csv,False,,False,,7,ecg;eda;emg;head_movement;performance;respiration;xplane,control_input;eye_tracking;torso_body_accelerometer,3,invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-01B_run-007/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-007_hea.csv:NaN | invalid_sample_count:task-ils/sub-cp003/ses-20210206/level-01B_run-007/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-007_hea.csv:0 | placeholder_data_with_zero_samples:task-ils/sub-cp003/ses-20210206/level-01B_run-007/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-007_dat.csv,0,
ils,sub-cp003,ses-20210206,level-01B,run-012,sub-cp003_ses-20210206_level-01B_run-012,task-ils/sub-cp003/ses-20210206/level-01B_run-012,15,15,8,7,True,False,,True,task-ils/sub-cp003/ses-20210206/level-01B_run-012/sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-012_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-01B_run-012/sub-cp003_ses-20210206_task-ils_stream-lslshimmereda_feat-chunk_level-01B_run-012_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-01B_run-012/sub-cp003_ses-20210206_task-ils_stream-lslshimmeremg_feat-chunk_level-01B_run-012_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-01B_run-012/sub-cp003_ses-20210206_task-ils_stream-lslshimmerresp_feat-chunk_level-01B_run-012_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-01B_run-012/sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcplt_feat-chunk_level-01B_run-012_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-01B_run-012/sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcac_feat-chunk_level-01B_run-012_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-01B_run-012/sub-cp003_ses-20210206_task-ils_stream-lslxp11_feat-perfmetric_level-01B_run-012.csv,False,,False,,7,ecg;eda;emg;head_movement;performance;respiration;xplane,control_input;eye_tracking;torso_body_accelerometer,3,invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-01B_run-012/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-012_hea.csv:NaN | invalid_sample_count:task-ils/sub-cp003/ses-20210206/level-01B_run-012/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-012_hea.csv:0 | placeholder_data_with_zero_samples:task-ils/sub-cp003/ses-20210206/level-01B_run-012/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-012_dat.csv,0,
ils,sub-cp003,ses-20210206,level-02B,run-003,sub-cp003_ses-20210206_level-02B_run-003,task-ils/sub-cp003/ses-20210206/level-02B_run-003,15,15,8,7,True,False,,True,task-ils/sub-cp003/ses-20210206/level-02B_run-003/sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-02B_run-003_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-02B_run-003/sub-cp003_ses-20210206_task-ils_stream-lslshimmereda_feat-chunk_level-02B_run-003_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-02B_run-003/sub-cp003_ses-20210206_task-ils_stream-lslshimmeremg_feat-chunk_level-02B_run-003_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-02B_run-003/sub-cp003_ses-20210206_task-ils_stream-lslshimmerresp_feat-chunk_level-02B_run-003_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-02B_run-003/sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcplt_feat-chunk_level-02B_run-003_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-02B_run-003/sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcac_feat-chunk_level-02B_run-003_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-02B_run-003/sub-cp003_ses-20210206_task-ils_stream-lslxp11_feat-perfmetric_level-02B_run-003.csv,False,,False,,7,ecg;eda;emg;head_movement;performance;respiration;xplane,control_input;eye_tracking;torso_body_accelerometer,3,invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-02B_run-003/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-003_hea.csv:NaN | invalid_sample_count:task-ils/sub-cp003/ses-20210206/level-02B_run-003/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-003_hea.csv:0 | placeholder_data_with_zero_samples:task-ils/sub-cp003/ses-20210206/level-02B_run-003/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-003_dat.csv,0,
ils,sub-cp003,ses-20210206,level-02B,run-008,sub-cp003_ses-20210206_level-02B_run-008,task-ils/sub-cp003/ses-20210206/level-02B_run-008,15,15,8,7,True,False,,True,task-ils/sub-cp003/ses-20210206/level-02B_run-008/sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-02B_run-008_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-02B_run-008/sub-cp003_ses-20210206_task-ils_stream-lslshimmereda_feat-chunk_level-02B_run-008_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-02B_run-008/sub-cp003_ses-20210206_task-ils_stream-lslshimmeremg_feat-chunk_level-02B_run-008_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-02B_run-008/sub-cp003_ses-20210206_task-ils_stream-lslshimmerresp_feat-chunk_level-02B_run-008_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-02B_run-008/sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcplt_feat-chunk_level-02B_run-008_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-02B_run-008/sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcac_feat-chunk_level-02B_run-008_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-02B_run-008/sub-cp003_ses-20210206_task-ils_stream-lslxp11_feat-perfmetric_level-02B_run-008.csv,False,,False,,7,ecg;eda;emg;head_movement;performance;respiration;xplane,control_input;eye_tracking;torso_body_accelerometer,3,invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-02B_run-008/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-008_hea.csv:NaN | invalid_sample_count:task-ils/sub-cp003/ses-20210206/level-02B_run-008/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-008_hea.csv:0 | placeholder_data_with_zero_samples:task-ils/sub-cp003/ses-20210206/level-02B_run-008/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-008_dat.csv,0,
ils,sub-cp003,ses-20210206,level-02B,run-010,sub-cp003_ses-20210206_level-02B_run-010,task-ils/sub-cp003/ses-20210206/level-02B_run-010,15,15,8,7,True,False,,True,task-ils/sub-cp003/ses-20210206/level-02B_run-010/sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-02B_run-010_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-02B_run-010/sub-cp003_ses-20210206_task-ils_stream-lslshimmereda_feat-chunk_level-02B_run-010_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-02B_run-010/sub-cp003_ses-20210206_task-ils_stream-lslshimmeremg_feat-chunk_level-02B_run-010_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-02B_run-010/sub-cp003_ses-20210206_task-ils_stream-lslshimmerresp_feat-chunk_level-02B_run-010_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-02B_run-010/sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcplt_feat-chunk_level-02B_run-010_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-02B_run-010/sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcac_feat-chunk_level-02B_run-010_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-02B_run-010/sub-cp003_ses-20210206_task-ils_stream-lslxp11_feat-perfmetric_level-02B_run-010.csv,False,,False,,7,ecg;eda;emg;head_movement;performance;respiration;xplane,control_input;eye_tracking;torso_body_accelerometer,3,invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-02B_run-010/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-010_hea.csv:NaN | invalid_sample_count:task-ils/sub-cp003/ses-20210206/level-02B_run-010/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-010_hea.csv:0 | placeholder_data_with_zero_samples:task-ils/sub-cp003/ses-20210206/level-02B_run-010/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-02B_run-010_dat.csv,0,
ils,sub-cp003,ses-20210206,level-03B,run-002,sub-cp003_ses-20210206_level-03B_run-002,task-ils/sub-cp003/ses-20210206/level-03B_run-002,15,15,8,7,True,False,,True,task-ils/sub-cp003/ses-20210206/level-03B_run-002/sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-03B_run-002_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-03B_run-002/sub-cp003_ses-20210206_task-ils_stream-lslshimmereda_feat-chunk_level-03B_run-002_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-03B_run-002/sub-cp003_ses-20210206_task-ils_stream-lslshimmeremg_feat-chunk_level-03B_run-002_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-03B_run-002/sub-cp003_ses-20210206_task-ils_stream-lslshimmerresp_feat-chunk_level-03B_run-002_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-03B_run-002/sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcplt_feat-chunk_level-03B_run-002_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-03B_run-002/sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcac_feat-chunk_level-03B_run-002_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-03B_run-002/sub-cp003_ses-20210206_task-ils_stream-lslxp11_feat-perfmetric_level-03B_run-002.csv,False,,False,,7,ecg;eda;emg;head_movement;performance;respiration;xplane,control_input;eye_tracking;torso_body_accelerometer,3,invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-03B_run-002/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-03B_run-002_hea.csv:NaN | invalid_sample_count:task-ils/sub-cp003/ses-20210206/level-03B_run-002/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-03B_run-002_hea.csv:0 | placeholder_data_with_zero_samples:task-ils/sub-cp003/ses-20210206/level-03B_run-002/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-03B_run-002_dat.csv,0,
ils,sub-cp003,ses-20210206,level-03B,run-005,sub-cp003_ses-20210206_level-03B_run-005,task-ils/sub-cp003/ses-20210206/level-03B_run-005,15,15,8,7,True,False,,True,task-ils/sub-cp003/ses-20210206/level-03B_run-005/sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-03B_run-005_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-03B_run-005/sub-cp003_ses-20210206_task-ils_stream-lslshimmereda_feat-chunk_level-03B_run-005_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-03B_run-005/sub-cp003_ses-20210206_task-ils_stream-lslshimmeremg_feat-chunk_level-03B_run-005_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-03B_run-005/sub-cp003_ses-20210206_task-ils_stream-lslshimmerresp_feat-chunk_level-03B_run-005_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-03B_run-005/sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcplt_feat-chunk_level-03B_run-005_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-03B_run-005/sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcac_feat-chunk_level-03B_run-005_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-03B_run-005/sub-cp003_ses-20210206_task-ils_stream-lslxp11_feat-perfmetric_level-03B_run-005.csv,False,,False,,7,ecg;eda;emg;head_movement;performance;respiration;xplane,control_input;eye_tracking;torso_body_accelerometer,3,invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-03B_run-005/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-03B_run-005_hea.csv:NaN | invalid_sample_count:task-ils/sub-cp003/ses-20210206/level-03B_run-005/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-03B_run-005_hea.csv:0 | placeholder_data_with_zero_samples:task-ils/sub-cp003/ses-20210206/level-03B_run-005/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-03B_run-005_dat.csv,0,
ils,sub-cp003,ses-20210206,level-03B,run-011,sub-cp003_ses-20210206_level-03B_run-011,task-ils/sub-cp003/ses-20210206/level-03B_run-011,15,15,8,7,True,False,,True,task-ils/sub-cp003/ses-20210206/level-03B_run-011/sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-03B_run-011_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-03B_run-011/sub-cp003_ses-20210206_task-ils_stream-lslshimmereda_feat-chunk_level-03B_run-011_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-03B_run-011/sub-cp003_ses-20210206_task-ils_stream-lslshimmeremg_feat-chunk_level-03B_run-011_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-03B_run-011/sub-cp003_ses-20210206_task-ils_stream-lslshimmerresp_feat-chunk_level-03B_run-011_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-03B_run-011/sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcplt_feat-chunk_level-03B_run-011_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-03B_run-011/sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcac_feat-chunk_level-03B_run-011_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-03B_run-011/sub-cp003_ses-20210206_task-ils_stream-lslxp11_feat-perfmetric_level-03B_run-011.csv,False,,False,,7,ecg;eda;emg;head_movement;performance;respiration;xplane,control_input;eye_tracking;torso_body_accelerometer,3,invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-03B_run-011/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-03B_run-011_hea.csv:NaN | invalid_sample_count:task-ils/sub-cp003/ses-20210206/level-03B_run-011/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-03B_run-011_hea.csv:0 | placeholder_data_with_zero_samples:task-ils/sub-cp003/ses-20210206/level-03B_run-011/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-03B_run-011_dat.csv,0,
ils,sub-cp003,ses-20210206,level-04B,run-004,sub-cp003_ses-20210206_level-04B_run-004,task-ils/sub-cp003/ses-20210206/level-04B_run-004,15,15,8,7,True,False,,True,task-ils/sub-cp003/ses-20210206/level-04B_run-004/sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-04B_run-004_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-04B_run-004/sub-cp003_ses-20210206_task-ils_stream-lslshimmereda_feat-chunk_level-04B_run-004_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-04B_run-004/sub-cp003_ses-20210206_task-ils_stream-lslshimmeremg_feat-chunk_level-04B_run-004_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-04B_run-004/sub-cp003_ses-20210206_task-ils_stream-lslshimmerresp_feat-chunk_level-04B_run-004_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-04B_run-004/sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcplt_feat-chunk_level-04B_run-004_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-04B_run-004/sub-cp003_ses-20210206_task-ils_stream-lslxp11xpcac_feat-chunk_level-04B_run-004_dat.csv,True,task-ils/sub-cp003/ses-20210206/level-04B_run-004/sub-cp003_ses-20210206_task-ils_stream-lslxp11_feat-perfmetric_level-04B_run-004.csv,False,,False,,7,ecg;eda;emg;head_movement;performance;respiration;xplane,control_input;eye_tracking;torso_body_accelerometer,3,invalid_effective_rate:task-ils/sub-cp003/ses-20210206/level-04B_run-004/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-04B_run-004_hea.csv:NaN | invalid_sample_count:task-ils/sub-cp003/ses-20210206/level-04B_run-004/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-04B_run-004_hea.csv:0 | placeholder_data_with_zero_samples:task-ils/sub-cp003/ses-20210206/level-04B_run-004/sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-04B_run-004_dat.csv,0,
