subject_id,session_id,run_id,difficulty_level,run_key,exclusion_reason
sub-cp003,ses-20210206,run-001,level-000,sub-cp003_ses-20210206_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp003,ses-20210206,run-002,level-000,sub-cp003_ses-20210206_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp004,ses-20210330,run-001,level-000,sub-cp004_ses-20210330_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp004,ses-20210330,run-002,level-000,sub-cp004_ses-20210330_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp005,ses-20210226,run-001,level-000,sub-cp005_ses-20210226_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp005,ses-20210226,run-002,level-000,sub-cp005_ses-20210226_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp006,ses-20210324,run-001,level-000,sub-cp006_ses-20210324_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp006,ses-20210324,run-002,level-000,sub-cp006_ses-20210324_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp008,ses-20210503,run-001,level-000,sub-cp008_ses-20210503_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp008,ses-20210503,run-002,level-000,sub-cp008_ses-20210503_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp009,ses-20210129,run-001,level-000,sub-cp009_ses-20210129_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp011,ses-20210408,run-001,level-000,sub-cp011_ses-20210408_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp011,ses-20210408,run-002,level-000,sub-cp011_ses-20210408_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp012,ses-20210723,run-001,level-000,sub-cp012_ses-20210723_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp012,ses-20210723,run-002,level-000,sub-cp012_ses-20210723_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp013,ses-20210319,run-001,level-000,sub-cp013_ses-20210319_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp013,ses-20210319,run-002,level-000,sub-cp013_ses-20210319_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp014,ses-20211112,run-001,level-000,sub-cp014_ses-20211112_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp014,ses-20211112,run-002,level-000,sub-cp014_ses-20211112_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp015,ses-20210504,run-001,level-000,sub-cp015_ses-20210504_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp015,ses-20210504,run-002,level-000,sub-cp015_ses-20210504_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp016,ses-20210528,run-001,level-000,sub-cp016_ses-20210528_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp016,ses-20210528,run-002,level-000,sub-cp016_ses-20210528_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp017,ses-20210521,run-001,level-000,sub-cp017_ses-20210521_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp017,ses-20210521,run-002,level-000,sub-cp017_ses-20210521_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp018,ses-20210709,run-001,level-000,sub-cp018_ses-20210709_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp018,ses-20210709,run-002,level-000,sub-cp018_ses-20210709_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp019,ses-20210625,run-001,level-000,sub-cp019_ses-20210625_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp019,ses-20210625,run-002,level-000,sub-cp019_ses-20210625_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp020,ses-20210604,run-001,level-000,sub-cp020_ses-20210604_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp020,ses-20210604,run-002,level-000,sub-cp020_ses-20210604_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp022,ses-20210621,run-001,level-000,sub-cp022_ses-20210621_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp022,ses-20210621,run-002,level-000,sub-cp022_ses-20210621_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp023,ses-20210628,run-001,level-000,sub-cp023_ses-20210628_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp023,ses-20210628,run-002,level-000,sub-cp023_ses-20210628_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp024,ses-20210629,run-001,level-000,sub-cp024_ses-20210629_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp024,ses-20210629,run-002,level-000,sub-cp024_ses-20210629_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp025,ses-20210820,run-001,level-000,sub-cp025_ses-20210820_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp025,ses-20210820,run-002,level-000,sub-cp025_ses-20210820_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp026,ses-20210716,run-001,level-000,sub-cp026_ses-20210716_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp026,ses-20210716,run-002,level-000,sub-cp026_ses-20210716_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp027,ses-20210722,run-001,level-000,sub-cp027_ses-20210722_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp027,ses-20210722,run-002,level-000,sub-cp027_ses-20210722_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp028,ses-20211214,run-001,level-000,sub-cp028_ses-20211214_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp028,ses-20211214,run-002,level-000,sub-cp028_ses-20211214_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp029,ses-20220119,run-001,level-000,sub-cp029_ses-20220119_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp029,ses-20220119,run-002,level-000,sub-cp029_ses-20220119_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp030,ses-20211025,run-001,level-000,sub-cp030_ses-20211025_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp030,ses-20211025,run-002,level-000,sub-cp030_ses-20211025_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp031,ses-20211216,run-001,level-000,sub-cp031_ses-20211216_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp031,ses-20211216,run-002,level-000,sub-cp031_ses-20211216_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp032,ses-20211105,run-001,level-000,sub-cp032_ses-20211105_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp032,ses-20211105,run-002,level-000,sub-cp032_ses-20211105_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp033,ses-20211215,run-001,level-000,sub-cp033_ses-20211215_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp033,ses-20211215,run-002,level-000,sub-cp033_ses-20211215_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp035,ses-20220125,run-001,level-000,sub-cp035_ses-20220125_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp035,ses-20220125,run-002,level-000,sub-cp035_ses-20220125_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
