feature_name,feature_group,original_feature_group,modality,source,verified_status,unknown_feature_decision,notes
ecg_lslshimmerecg_duration,physiological_features,physiological_features,ecg,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_dat.csv | source_column=time_dn,VERIFIED,,Verified from extraction long-table source file and source-column records.
ecg_lslshimmerecg_ecg_projection_la_ra_mv_iqr,physiological_features,physiological_features,ecg,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_dat.csv | source_column=ecg_projection_la_ra_mV,VERIFIED,,Verified from extraction long-table source file and source-column records.
ecg_lslshimmerecg_ecg_projection_la_ra_mv_kurtosis,physiological_features,physiological_features,ecg,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_dat.csv | source_column=ecg_projection_la_ra_mV,VERIFIED,,Verified from extraction long-table source file and source-column records.
ecg_lslshimmerecg_ecg_projection_la_ra_mv_max,physiological_features,physiological_features,ecg,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_dat.csv | source_column=ecg_projection_la_ra_mV,VERIFIED,,Verified from extraction long-table source file and source-column records.
ecg_lslshimmerecg_ecg_projection_la_ra_mv_mean,physiological_features,physiological_features,ecg,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_dat.csv | source_column=ecg_projection_la_ra_mV,VERIFIED,,Verified from extraction long-table source file and source-column records.
ecg_lslshimmerecg_ecg_projection_la_ra_mv_median,physiological_features,physiological_features,ecg,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_dat.csv | source_column=ecg_projection_la_ra_mV,VERIFIED,,Verified from extraction long-table source file and source-column records.
ecg_lslshimmerecg_ecg_projection_la_ra_mv_min,physiological_features,physiological_features,ecg,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_dat.csv | source_column=ecg_projection_la_ra_mV,VERIFIED,,Verified from extraction long-table source file and source-column records.
ecg_lslshimmerecg_ecg_projection_la_ra_mv_missing_ratio,physiological_features,physiological_features,ecg,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_dat.csv | source_column=ecg_projection_la_ra_mV,VERIFIED,,Verified from extraction long-table source file and source-column records.
ecg_lslshimmerecg_ecg_projection_la_ra_mv_num_missing,physiological_features,physiological_features,ecg,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_dat.csv | source_column=ecg_projection_la_ra_mV,VERIFIED,,Verified from extraction long-table source file and source-column records.
ecg_lslshimmerecg_ecg_projection_la_ra_mv_range,physiological_features,physiological_features,ecg,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_dat.csv | source_column=ecg_projection_la_ra_mV,VERIFIED,,Verified from extraction long-table source file and source-column records.
ecg_lslshimmerecg_ecg_projection_la_ra_mv_rms,physiological_features,physiological_features,ecg,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_dat.csv | source_column=ecg_projection_la_ra_mV,VERIFIED,,Verified from extraction long-table source file and source-column records.
ecg_lslshimmerecg_ecg_projection_la_ra_mv_skew,physiological_features,physiological_features,ecg,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_dat.csv | source_column=ecg_projection_la_ra_mV,VERIFIED,,Verified from extraction long-table source file and source-column records.
ecg_lslshimmerecg_ecg_projection_la_ra_mv_slope,physiological_features,physiological_features,ecg,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_dat.csv | source_column=ecg_projection_la_ra_mV,VERIFIED,,Verified from extraction long-table source file and source-column records.
ecg_lslshimmerecg_ecg_projection_la_ra_mv_std,physiological_features,physiological_features,ecg,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_dat.csv | source_column=ecg_projection_la_ra_mV,VERIFIED,,Verified from extraction long-table source file and source-column records.
ecg_lslshimmerecg_ecg_projection_ll_ra_mv_iqr,physiological_features,physiological_features,ecg,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_dat.csv | source_column=ecg_projection_ll_ra_mV,VERIFIED,,Verified from extraction long-table source file and source-column records.
