column_name,column_kind,feature_group,provenance_status,decision
eye_lslhtcviveeye_convergence_distance_mm_kurtosis,feature,eye_tracking_features,VERIFIED_OTHER,EXCLUDE_ALL_DATASETS_STRUCTURALLY_UNUSABLE_ALL_NAN
eye_lslhtcviveeye_convergence_distance_mm_skew,feature,eye_tracking_features,VERIFIED_OTHER,EXCLUDE_ALL_DATASETS_STRUCTURALLY_UNUSABLE_ALL_NAN
eye_lslhtcviveeye_convergence_distance_validity_kurtosis,feature,eye_tracking_features,VERIFIED_OTHER,EXCLUDE_ALL_DATASETS_STRUCTURALLY_UNUSABLE_ALL_NAN
eye_lslhtcviveeye_convergence_distance_validity_skew,feature,eye_tracking_features,VERIFIED_OTHER,EXCLUDE_ALL_DATASETS_STRUCTURALLY_UNUSABLE_ALL_NAN
eye_lslhtcviveeye_pupil_position_l_x_kurtosis,feature,eye_tracking_features,VERIFIED_OTHER,EXCLUDE_ALL_DATASETS_STRUCTURALLY_UNUSABLE_ALL_NAN
eye_lslhtcviveeye_pupil_position_l_x_skew,feature,eye_tracking_features,VERIFIED_OTHER,EXCLUDE_ALL_DATASETS_STRUCTURALLY_UNUSABLE_ALL_NAN
eye_lslhtcviveeye_validity_l_kurtosis,feature,eye_tracking_features,VERIFIED_OTHER,EXCLUDE_ALL_DATASETS_STRUCTURALLY_UNUSABLE_ALL_NAN
eye_lslhtcviveeye_validity_l_skew,feature,eye_tracking_features,VERIFIED_OTHER,EXCLUDE_ALL_DATASETS_STRUCTURALLY_UNUSABLE_ALL_NAN
eye_lslhtcviveeye_validity_r_kurtosis,feature,eye_tracking_features,VERIFIED_OTHER,EXCLUDE_ALL_DATASETS_STRUCTURALLY_UNUSABLE_ALL_NAN
eye_lslhtcviveeye_validity_r_skew,feature,eye_tracking_features,VERIFIED_OTHER,EXCLUDE_ALL_DATASETS_STRUCTURALLY_UNUSABLE_ALL_NAN
performance_cumulative_cumulative_airspeed_error_kts,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_cumulative_cumulative_glideslope_error_deg,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_cumulative_cumulative_localizer_error_deg,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_cumulative_cumulative_total_error,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_airspeed_error_kts_iqr,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_airspeed_error_kts_kurtosis,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_airspeed_error_kts_max,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_airspeed_error_kts_mean,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_airspeed_error_kts_median,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_airspeed_error_kts_min,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_airspeed_error_kts_missing_ratio,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_airspeed_error_kts_num_missing,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_airspeed_error_kts_range,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_airspeed_error_kts_rms,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_airspeed_error_kts_skew,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_airspeed_error_kts_slope,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_airspeed_error_kts_std,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_duration,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_glideslope_error_deg_iqr,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_glideslope_error_deg_kurtosis,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_glideslope_error_deg_max,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_glideslope_error_deg_mean,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
