run_key,difficulty_level_raw,included_in_modeling,exclusion_reason
sub-cp003_ses-20210206_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp003_ses-20210206_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp003_ses-20210206_level-01B_run-001,level-01B,True,
sub-cp003_ses-20210206_level-01B_run-007,level-01B,True,
sub-cp003_ses-20210206_level-01B_run-012,level-01B,True,
sub-cp003_ses-20210206_level-02B_run-003,level-02B,True,
sub-cp003_ses-20210206_level-02B_run-008,level-02B,True,
sub-cp003_ses-20210206_level-02B_run-010,level-02B,True,
sub-cp003_ses-20210206_level-03B_run-002,level-03B,True,
sub-cp003_ses-20210206_level-03B_run-005,level-03B,True,
sub-cp003_ses-20210206_level-03B_run-011,level-03B,True,
sub-cp003_ses-20210206_level-04B_run-004,level-04B,True,
sub-cp003_ses-20210206_level-04B_run-006,level-04B,True,
sub-cp003_ses-20210206_level-04B_run-009,level-04B,True,
sub-cp004_ses-20210330_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp004_ses-20210330_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp004_ses-20210330_level-01B_run-001,level-01B,True,
sub-cp004_ses-20210330_level-01B_run-007,level-01B,True,
sub-cp004_ses-20210330_level-01B_run-012,level-01B,True,
sub-cp004_ses-20210330_level-02B_run-003,level-02B,True,
sub-cp004_ses-20210330_level-02B_run-008,level-02B,True,
sub-cp004_ses-20210330_level-02B_run-010,level-02B,True,
sub-cp004_ses-20210330_level-03B_run-002,level-03B,True,
sub-cp004_ses-20210330_level-03B_run-005,level-03B,True,
sub-cp004_ses-20210330_level-03B_run-011,level-03B,True,
sub-cp004_ses-20210330_level-04B_run-004,level-04B,True,
sub-cp004_ses-20210330_level-04B_run-006,level-04B,True,
sub-cp004_ses-20210330_level-04B_run-009,level-04B,True,
sub-cp005_ses-20210226_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp005_ses-20210226_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp005_ses-20210226_level-01B_run-001,level-01B,True,
sub-cp005_ses-20210226_level-01B_run-007,level-01B,True,
sub-cp005_ses-20210226_level-01B_run-012,level-01B,True,
sub-cp005_ses-20210226_level-02B_run-003,level-02B,True,
sub-cp005_ses-20210226_level-02B_run-008,level-02B,True,
sub-cp005_ses-20210226_level-02B_run-010,level-02B,True,
sub-cp005_ses-20210226_level-03B_run-002,level-03B,True,
sub-cp005_ses-20210226_level-03B_run-005,level-03B,True,
sub-cp005_ses-20210226_level-03B_run-011,level-03B,True,
sub-cp005_ses-20210226_level-04B_run-004,level-04B,True,
sub-cp005_ses-20210226_level-04B_run-006,level-04B,True,
sub-cp005_ses-20210226_level-04B_run-009,level-04B,True,
sub-cp006_ses-20210324_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp006_ses-20210324_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp006_ses-20210324_level-01B_run-001,level-01B,True,
sub-cp006_ses-20210324_level-01B_run-007,level-01B,True,
sub-cp006_ses-20210324_level-01B_run-012,level-01B,True,
