feature_name,feature_group,reason_flagged,evidence,decision,included_in_primary
ecg_lslshimmerecg_duration,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_la_ra_mv_iqr,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_la_ra_mv_kurtosis,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_la_ra_mv_max,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_la_ra_mv_mean,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_la_ra_mv_median,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_la_ra_mv_min,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_la_ra_mv_missing_ratio,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_la_ra_mv_num_missing,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_la_ra_mv_range,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_la_ra_mv_rms,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_la_ra_mv_skew,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_la_ra_mv_slope,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_la_ra_mv_std,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_ll_ra_mv_iqr,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_ll_ra_mv_kurtosis,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_ll_ra_mv_max,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_ll_ra_mv_mean,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_ll_ra_mv_median,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_ll_ra_mv_min,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_ll_ra_mv_missing_ratio,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_ll_ra_mv_num_missing,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_ll_ra_mv_range,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_ll_ra_mv_rms,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_ll_ra_mv_skew,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_ll_ra_mv_slope,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_ll_ra_mv_std,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_vx_rl_mv_iqr,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_vx_rl_mv_kurtosis,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_vx_rl_mv_max,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_vx_rl_mv_mean,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_vx_rl_mv_median,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_vx_rl_mv_min,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_vx_rl_mv_missing_ratio,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_vx_rl_mv_num_missing,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_vx_rl_mv_range,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_vx_rl_mv_rms,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_vx_rl_mv_skew,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_vx_rl_mv_slope,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_ecg_projection_vx_rl_mv_std,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_sample_count,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_lslshimmerecg_sampling_rate_estimate,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_signal_iqr,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_signal_kurtosis,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_signal_max,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_signal_mean,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_signal_median,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_signal_min,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_signal_missing_ratio,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_signal_num_missing,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_signal_peak_count,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_signal_peak_rate,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_signal_range,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_signal_rms,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_signal_skew,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_signal_slope,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
ecg_signal_std,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_lslshimmereda_duration,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_lslshimmereda_eda_hand_l_kohms_iqr,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_lslshimmereda_eda_hand_l_kohms_kurtosis,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_lslshimmereda_eda_hand_l_kohms_max,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_lslshimmereda_eda_hand_l_kohms_mean,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_lslshimmereda_eda_hand_l_kohms_median,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_lslshimmereda_eda_hand_l_kohms_min,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_lslshimmereda_eda_hand_l_kohms_missing_ratio,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_lslshimmereda_eda_hand_l_kohms_num_missing,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_lslshimmereda_eda_hand_l_kohms_range,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_lslshimmereda_eda_hand_l_kohms_rms,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_lslshimmereda_eda_hand_l_kohms_skew,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_lslshimmereda_eda_hand_l_kohms_slope,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_lslshimmereda_eda_hand_l_kohms_std,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_lslshimmereda_ppg_finger_mv_iqr,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_lslshimmereda_ppg_finger_mv_kurtosis,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_lslshimmereda_ppg_finger_mv_max,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_lslshimmereda_ppg_finger_mv_mean,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_lslshimmereda_ppg_finger_mv_median,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_lslshimmereda_ppg_finger_mv_min,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_lslshimmereda_ppg_finger_mv_missing_ratio,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_lslshimmereda_ppg_finger_mv_num_missing,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_lslshimmereda_ppg_finger_mv_range,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_lslshimmereda_ppg_finger_mv_rms,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_lslshimmereda_ppg_finger_mv_skew,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_lslshimmereda_ppg_finger_mv_slope,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_lslshimmereda_ppg_finger_mv_std,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_lslshimmereda_sample_count,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_lslshimmereda_sampling_rate_estimate,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_signal_iqr,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_signal_kurtosis,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
eda_signal_max,physiological_features,NONE,verified_provenance_predictor,KEEP_VERIFIED_PREDICTOR,True
