run_key,modality,phase02_repair_action,feature_columns_checked,non_null_values_after_repair,pass
sub-cp003_ses-20210206_level-000_run-001,eye_tracking,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,426,0,True
sub-cp003_ses-20210206_level-000_run-002,eye_tracking,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,426,0,True
sub-cp003_ses-20210206_level-000_run-002,head_movement,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,159,0,True
sub-cp003_ses-20210206_level-000_run-002,xplane,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,328,0,True
sub-cp003_ses-20210206_level-01B_run-001,eye_tracking,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,426,0,True
sub-cp003_ses-20210206_level-01B_run-007,eye_tracking,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,426,0,True
sub-cp003_ses-20210206_level-01B_run-012,eye_tracking,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,426,0,True
sub-cp003_ses-20210206_level-02B_run-003,eye_tracking,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,426,0,True
sub-cp003_ses-20210206_level-02B_run-008,eye_tracking,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,426,0,True
sub-cp003_ses-20210206_level-02B_run-010,eye_tracking,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,426,0,True
sub-cp003_ses-20210206_level-03B_run-002,eye_tracking,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,426,0,True
sub-cp003_ses-20210206_level-03B_run-005,eye_tracking,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,426,0,True
sub-cp003_ses-20210206_level-03B_run-011,eye_tracking,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,426,0,True
sub-cp003_ses-20210206_level-04B_run-004,eye_tracking,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,426,0,True
sub-cp003_ses-20210206_level-04B_run-006,eye_tracking,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,426,0,True
sub-cp003_ses-20210206_level-04B_run-009,eye_tracking,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,426,0,True
sub-cp009_ses-20210129_level-000_run-001,ecg,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,57,0,True
sub-cp009_ses-20210129_level-000_run-001,eda,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,44,0,True
sub-cp009_ses-20210129_level-000_run-001,respiration,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,48,0,True
sub-cp009_ses-20210129_level-01B_run-001,ecg,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,57,0,True
sub-cp009_ses-20210129_level-01B_run-001,eda,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,44,0,True
sub-cp009_ses-20210129_level-01B_run-001,respiration,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,48,0,True
sub-cp009_ses-20210129_level-02B_run-003,ecg,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,57,0,True
sub-cp009_ses-20210129_level-02B_run-003,eda,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,44,0,True
sub-cp009_ses-20210129_level-02B_run-003,respiration,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,48,0,True
sub-cp009_ses-20210129_level-03B_run-002,ecg,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,57,0,True
sub-cp009_ses-20210129_level-03B_run-002,eda,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,44,0,True
sub-cp009_ses-20210129_level-03B_run-002,respiration,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,48,0,True
sub-cp009_ses-20210129_level-04B_run-004,ecg,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,57,0,True
sub-cp009_ses-20210129_level-04B_run-004,eda,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,44,0,True
sub-cp009_ses-20210129_level-04B_run-004,respiration,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,48,0,True
sub-cp026_ses-20210716_level-000_run-001,eye_tracking,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,426,0,True
sub-cp027_ses-20210722_level-000_run-001,eye_tracking,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,426,0,True
sub-cp027_ses-20210722_level-01B_run-001,eye_tracking,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,426,0,True
sub-cp027_ses-20210722_level-03B_run-002,eye_tracking,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,426,0,True
sub-cp028_ses-20211214_level-000_run-002,emg,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,84,0,True
sub-cp028_ses-20211214_level-01B_run-012,emg,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,84,0,True
sub-cp042_ses-20220111_level-000_run-001,emg,SET_MODALITY_DEPENDENT_VALUES_TO_NAN,84,0,True
