run_key,subject_id,session_id,run_id,difficulty_level_raw,difficulty_level,target_class,target_score,outer_fold
sub-cp003_ses-20210206_level-01B_run-001,sub-cp003,ses-20210206,run-001,level-01B,1,0,1.0,4
sub-cp003_ses-20210206_level-01B_run-007,sub-cp003,ses-20210206,run-007,level-01B,1,0,1.0,4
sub-cp003_ses-20210206_level-01B_run-012,sub-cp003,ses-20210206,run-012,level-01B,1,0,1.0,4
sub-cp003_ses-20210206_level-02B_run-003,sub-cp003,ses-20210206,run-003,level-02B,2,1,2.0,4
sub-cp003_ses-20210206_level-02B_run-008,sub-cp003,ses-20210206,run-008,level-02B,2,1,2.0,4
sub-cp003_ses-20210206_level-02B_run-010,sub-cp003,ses-20210206,run-010,level-02B,2,1,2.0,4
sub-cp003_ses-20210206_level-03B_run-002,sub-cp003,ses-20210206,run-002,level-03B,3,2,3.0,4
sub-cp003_ses-20210206_level-03B_run-005,sub-cp003,ses-20210206,run-005,level-03B,3,2,3.0,4
sub-cp003_ses-20210206_level-03B_run-011,sub-cp003,ses-20210206,run-011,level-03B,3,2,3.0,4
sub-cp003_ses-20210206_level-04B_run-004,sub-cp003,ses-20210206,run-004,level-04B,4,3,4.0,4
sub-cp003_ses-20210206_level-04B_run-006,sub-cp003,ses-20210206,run-006,level-04B,4,3,4.0,4
sub-cp003_ses-20210206_level-04B_run-009,sub-cp003,ses-20210206,run-009,level-04B,4,3,4.0,4
sub-cp004_ses-20210330_level-01B_run-001,sub-cp004,ses-20210330,run-001,level-01B,1,0,1.0,1
sub-cp004_ses-20210330_level-01B_run-007,sub-cp004,ses-20210330,run-007,level-01B,1,0,1.0,1
sub-cp004_ses-20210330_level-01B_run-012,sub-cp004,ses-20210330,run-012,level-01B,1,0,1.0,1
sub-cp004_ses-20210330_level-02B_run-003,sub-cp004,ses-20210330,run-003,level-02B,2,1,2.0,1
sub-cp004_ses-20210330_level-02B_run-008,sub-cp004,ses-20210330,run-008,level-02B,2,1,2.0,1
sub-cp004_ses-20210330_level-02B_run-010,sub-cp004,ses-20210330,run-010,level-02B,2,1,2.0,1
sub-cp004_ses-20210330_level-03B_run-002,sub-cp004,ses-20210330,run-002,level-03B,3,2,3.0,1
sub-cp004_ses-20210330_level-03B_run-005,sub-cp004,ses-20210330,run-005,level-03B,3,2,3.0,1
sub-cp004_ses-20210330_level-03B_run-011,sub-cp004,ses-20210330,run-011,level-03B,3,2,3.0,1
sub-cp004_ses-20210330_level-04B_run-004,sub-cp004,ses-20210330,run-004,level-04B,4,3,4.0,1
sub-cp004_ses-20210330_level-04B_run-006,sub-cp004,ses-20210330,run-006,level-04B,4,3,4.0,1
sub-cp004_ses-20210330_level-04B_run-009,sub-cp004,ses-20210330,run-009,level-04B,4,3,4.0,1
sub-cp005_ses-20210226_level-01B_run-001,sub-cp005,ses-20210226,run-001,level-01B,1,0,1.0,5
sub-cp005_ses-20210226_level-01B_run-007,sub-cp005,ses-20210226,run-007,level-01B,1,0,1.0,5
sub-cp005_ses-20210226_level-01B_run-012,sub-cp005,ses-20210226,run-012,level-01B,1,0,1.0,5
sub-cp005_ses-20210226_level-02B_run-003,sub-cp005,ses-20210226,run-003,level-02B,2,1,2.0,5
sub-cp005_ses-20210226_level-02B_run-008,sub-cp005,ses-20210226,run-008,level-02B,2,1,2.0,5
sub-cp005_ses-20210226_level-02B_run-010,sub-cp005,ses-20210226,run-010,level-02B,2,1,2.0,5
sub-cp005_ses-20210226_level-03B_run-002,sub-cp005,ses-20210226,run-002,level-03B,3,2,3.0,5
sub-cp005_ses-20210226_level-03B_run-005,sub-cp005,ses-20210226,run-005,level-03B,3,2,3.0,5
sub-cp005_ses-20210226_level-03B_run-011,sub-cp005,ses-20210226,run-011,level-03B,3,2,3.0,5
sub-cp005_ses-20210226_level-04B_run-004,sub-cp005,ses-20210226,run-004,level-04B,4,3,4.0,5
