candidate_index,feature_selection__k,regressor__alpha,regressor__l1_ratio,mean_validation_bounded_mae,std_validation_bounded_mae,rank,convergence_warning_count,status,split_1_validation_bounded_mae,split_2_validation_bounded_mae,split_3_validation_bounded_mae
0,50,0.001,0.1,0.4013493148640342,0.053268534671511575,24,6,COMPLETE,0.3335495021250111,0.46368677076739445,0.40681167169969695
1,50,0.001,0.5,0.39878362453059624,0.053350490690482706,23,6,COMPLETE,0.33164005896557197,0.4621584019241267,0.40255241270209013
2,50,0.001,0.9,0.3964635704970394,0.05310007212866164,22,6,COMPLETE,0.329591996067035,0.45948940485703427,0.40030931056704905
3,50,0.01,0.1,0.39468669706554227,0.050290059681897245,21,6,COMPLETE,0.33296662413862627,0.456150811731673,0.3949426553263275
4,50,0.01,0.5,0.3917188672539595,0.046059528527208446,19,6,COMPLETE,0.33865415504502727,0.4509670068712882,0.38553543984556304
5,50,0.01,0.9,0.39136918455400355,0.04245386849550721,18,6,COMPLETE,0.3445613339384387,0.4473348245880401,0.38221139513553193
6,50,0.1,0.1,0.41319247778702245,0.038463513987645914,27,6,COMPLETE,0.3691223314724626,0.4628414879196182,0.4076136139689866
7,50,0.1,0.5,0.4376357796316483,0.03436676707376636,32,6,COMPLETE,0.4042564497781295,0.4849191902027589,0.42373169891405643
8,50,0.1,0.9,0.4569340762217002,0.020869809589007228,34,6,COMPLETE,0.447650212872742,0.48583875381271824,0.4373132619796402
9,50,1.0,0.1,0.5465957366814183,0.022649620600707843,40,6,COMPLETE,0.519672573589162,0.5750861384362268,0.545028498018866
10,50,1.0,0.5,0.7207680072143683,0.017622724398593623,41,6,COMPLETE,0.7427065032217309,0.6995582798496228,0.7200392385717513
11,50,1.0,0.9,0.9571812934750544,0.02251713498593032,45,6,COMPLETE,0.9739174430897115,0.9253513767958955,0.9722750605395561
12,100,0.001,0.1,0.31772712573968037,0.0170033492162383,10,6,COMPLETE,0.310768681293657,0.3012725609410864,0.3411401349842976
13,100,0.001,0.5,0.315518312709395,0.01994661036037544,8,6,COMPLETE,0.30685200702963134,0.2966034063463751,0.3430995247521787
14,100,0.001,0.9,0.3135705114600847,0.019681839892867724,7,6,COMPLETE,0.3030077205286133,0.2965498258983414,0.3411539879532994
15,100,0.01,0.1,0.3190085919618129,0.02223966996740985,11,6,COMPLETE,0.3102909503324598,0.29719669586415415,0.3495381296888248
16,100,0.01,0.5,0.3203493965836836,0.018895732233310765,12,6,COMPLETE,0.3046503473113291,0.3094711895390724,0.34692665290064933
17,100,0.01,0.9,0.33098838306572936,0.015429370813912862,13,6,COMPLETE,0.3111579446478032,0.33301921836188947,0.3487879861874955
18,100,0.1,0.1,0.3544243573042014,0.021844355585616888,14,6,COMPLETE,0.32776305304709596,0.3542403896486519,0.3812696292168563
19,100,0.1,0.5,0.3943236117291941,0.016673530100163956,20,6,COMPLETE,0.3721018300728709,0.41226489229847835,0.39860411281623304
20,100,0.1,0.9,0.41666323072816036,0.01146915526831272,29,6,COMPLETE,0.40423176938669897,0.43190150874095645,0.41385641405682566
21,100,1.0,0.1,0.5100726789978797,0.01711811410331281,38,6,COMPLETE,0.48644995243956524,0.5264687819800501,0.5172993025740236
22,100,1.0,0.5,0.7207680072143683,0.017622724398593623,41,6,COMPLETE,0.7427065032217309,0.6995582798496228,0.7200392385717513
23,100,1.0,0.9,0.9571812934750544,0.02251713498593032,45,6,COMPLETE,0.9739174430897115,0.9253513767958955,0.9722750605395561
24,200,0.001,0.1,0.29716457137594965,0.06282130701769593,6,6,COMPLETE,0.25170252945248067,0.38599912462778935,0.253792060047579
25,200,0.001,0.5,0.2857913548400126,0.05676242645359319,5,6,COMPLETE,0.2492360583976465,0.3659619938748364,0.24217601224755494
26,200,0.001,0.9,0.28414495280405844,0.05124683610256651,4,6,COMPLETE,0.25507608392330494,0.35617380403667803,0.2411849704521922
27,200,0.01,0.1,0.2821218390279032,0.041328818340231464,3,6,COMPLETE,0.27473583012845026,0.33602631619555223,0.23560337075970714
28,200,0.01,0.5,0.26298441531964467,0.015955537021627414,2,6,COMPLETE,0.26088038687532666,0.2834927534675074,0.24458010561610002
29,200,0.01,0.9,0.2628991912596647,0.02057064550172369,1,6,COMPLETE,0.24233368194535349,0.2910010944519948,0.25536279738164575
30,200,0.1,0.1,0.31719076430163784,0.031152584508451025,9,6,COMPLETE,0.291403124851128,0.36101957264838985,0.2991495954053956
31,200,0.1,0.5,0.3780001660610591,0.028560562585534396,16,6,COMPLETE,0.35727578549788036,0.418386240843288,0.35833847184200884
32,200,0.1,0.9,0.4117762036377299,0.015421240872979455,26,6,COMPLETE,0.40857231135036265,0.43206031536123557,0.39469598420159135
33,200,1.0,0.1,0.49639656884920624,0.019745344122130085,37,6,COMPLETE,0.47335042897616586,0.5215752053966803,0.4942640721747725
34,200,1.0,0.5,0.7207680072143683,0.017622724398593623,41,6,COMPLETE,0.7427065032217309,0.6995582798496228,0.7200392385717513
35,200,1.0,0.9,0.9571812934750544,0.02251713498593032,45,6,COMPLETE,0.9739174430897115,0.9253513767958955,0.9722750605395561
36,all,0.001,0.1,0.5122913866245488,0.07327800277952619,39,6,COMPLETE,0.45000268005675714,0.471709968301455,0.6151615115154342
37,all,0.001,0.5,0.4346964986383817,0.10940944548124024,31,6,COMPLETE,0.3255645947251176,0.3942713415270158,0.5842535596630117
38,all,0.001,0.9,0.4414404557608891,0.15408743303629865,33,6,COMPLETE,0.294286386540557,0.3758281751794894,0.6542068055626208
39,all,0.01,0.1,0.4846204699911265,0.13522568124011597,35,6,COMPLETE,0.3530879714055556,0.43016451392168387,0.6706089246461402
40,all,0.01,0.5,0.4152780257457822,0.16841617802511225,28,6,COMPLETE,0.24545824305735575,0.35556100193717477,0.644814832242816
41,all,0.01,0.9,0.3909455265742712,0.14308106256525296,17,6,COMPLETE,0.23229533620354967,0.3615008027899236,0.5790404407293402
42,all,0.1,0.1,0.43266302902534415,0.09126493589920243,30,6,COMPLETE,0.3319120883390861,0.4131752847977574,0.552901713939189
43,all,0.1,0.5,0.36186831962459437,0.032653376085715516,15,6,COMPLETE,0.31626414097599886,0.37838084441444253,0.3909599734833417
44,all,0.1,0.9,0.4050413148341426,0.01875506673308514,25,6,COMPLETE,0.39443859471293236,0.4313977345424233,0.38928761524707206
45,all,1.0,0.1,0.4934890942023462,0.022023630364103732,36,6,COMPLETE,0.4677852142177936,0.5215740036007099,0.4911080647885352
46,all,1.0,0.5,0.7207680072143683,0.017622724398593623,41,6,COMPLETE,0.7427065032217309,0.6995582798496228,0.7200392385717513
47,all,1.0,0.9,0.9571812934750544,0.02251713498593032,45,6,COMPLETE,0.9739174430897115,0.9253513767958955,0.9722750605395561
