candidate_index,feature_selection__k,regressor__alpha,regressor__l1_ratio,split_1_validation_bounded_mae,split_2_validation_bounded_mae,split_3_validation_bounded_mae,mean_validation_bounded_mae,std_validation_bounded_mae,rank,search_convergence_warning_count_total,candidate_level_warning_mapping,status
0,50,0.001,0.1,0.4244401303745256,0.40666321303463554,0.3597707997506931,0.3969580477199514,0.027278480604958567,25,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
1,50,0.001,0.5,0.4213962880469823,0.3999901660035466,0.3622904694981668,0.3945589745162319,0.024433553804966455,24,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
2,50,0.001,0.9,0.41647728583893745,0.39587244301074725,0.3657458146339191,0.3926985144945346,0.02083228118931326,22,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
3,50,0.01,0.1,0.40709003392219956,0.38885243610701226,0.36827050077164486,0.3880709902669522,0.0158576381534255,20,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
4,50,0.01,0.5,0.4001959706681167,0.3897899733911605,0.36607364595590747,0.38535319667172824,0.014279285735753341,19,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
5,50,0.01,0.9,0.4063246038663443,0.3998705152735748,0.3739224277813063,0.3933725156404084,0.014003410374760484,23,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
6,50,0.1,0.1,0.4187609353495944,0.44364054054401847,0.39888020110556127,0.4204272256663914,0.018311278659637893,27,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
7,50,0.1,0.5,0.46784761538419906,0.47279563263405955,0.4369741852064501,0.4592058110749029,0.015849387164648232,32,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
8,50,0.1,0.9,0.5062915814812832,0.5216845311634738,0.48305847622302084,0.5036781962892593,0.015876930154307536,35,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
9,50,1.0,0.1,0.5791975844066872,0.6111278466189587,0.575602981721867,0.5886428042491709,0.015966906189444702,40,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
10,50,1.0,0.5,0.8254658457303589,0.777249488339116,0.818274430135654,0.8069965880683764,0.02123827631566585,41,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
11,50,1.0,0.9,1.004240585122938,0.9789413667301232,0.990740740740741,0.9913075641979341,0.010336136591123762,45,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
12,100,0.001,0.1,0.37099661671364365,0.40159351362596746,0.30857430844340555,0.3603881462610055,0.03870872310997664,15,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
13,100,0.001,0.5,0.36238377821076306,0.3935625345446433,0.2959630725826751,0.3506364617793605,0.04070146046782632,11,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
14,100,0.001,0.9,0.36468085060216976,0.3880425908176411,0.28821351456582683,0.3469789853285459,0.042633931259399356,10,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
15,100,0.01,0.1,0.347942317476976,0.35877780839681633,0.3015754237235901,0.3360985165324608,0.024809069829209798,7,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
16,100,0.01,0.5,0.3579537263677789,0.3342931926593001,0.30945257687801947,0.33389983196836615,0.019802464912764044,6,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
17,100,0.01,0.9,0.3685445173891426,0.3489640119212616,0.3172017100036556,0.3449034131046866,0.02115635940038964,9,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
18,100,0.1,0.1,0.3657530688887066,0.35478317059668857,0.34151917428424594,0.35401847125654706,0.009908211602357471,14,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
19,100,0.1,0.5,0.4465711592015554,0.4277490316913219,0.3837120037013739,0.4193440648647504,0.0263413611147415,26,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
20,100,0.1,0.9,0.505519494405146,0.47985798624136417,0.43545240526482565,0.47360996197044525,0.02894394122687156,33,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
21,100,1.0,0.1,0.5586656648438295,0.5699149531076889,0.5574618473190963,0.5620141550902048,0.005608282633333371,39,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
22,100,1.0,0.5,0.8254658457303589,0.777249488339116,0.818274430135654,0.8069965880683764,0.02123827631566585,41,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
23,100,1.0,0.9,1.004240585122938,0.9789413667301232,0.990740740740741,0.9913075641979341,0.010336136591123762,45,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
24,200,0.001,0.1,0.38060755610346236,0.4148988771904165,0.2917204193275802,0.3624089508738197,0.05190777105980002,16,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
25,200,0.001,0.5,0.3694382067450301,0.41006471308125797,0.2816066630802718,0.35370319430218666,0.053610077503807016,13,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
26,200,0.001,0.9,0.3705973432565356,0.39575205216841913,0.2682255372265989,0.3448583108838512,0.055152070640567034,8,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
27,200,0.01,0.1,0.3567444372073263,0.37558299056511807,0.2593891665091346,0.3305721980938596,0.05091817463570065,4,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
28,200,0.01,0.5,0.345357177198429,0.3321959752988097,0.23396968807893898,0.3038409468587259,0.04969774583395507,2,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
29,200,0.01,0.9,0.3406872646019281,0.3292338942689461,0.22809143320624678,0.2993375306923737,0.05059512313947613,1,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
30,200,0.1,0.1,0.3691580879379759,0.33892629104541167,0.289058998153164,0.3323811257121838,0.033026206140157895,5,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
31,200,0.1,0.5,0.43352128327237516,0.4251220061370323,0.31366790041079856,0.39077039660673535,0.054627423844514876,21,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
32,200,0.1,0.9,0.49541589476625797,0.47521235882659585,0.36518652657651846,0.4452715933897908,0.05722621288058483,30,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
33,200,1.0,0.1,0.558389711003015,0.552449374617972,0.5210662683255168,0.5439684513155013,0.016374866683872922,37,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
34,200,1.0,0.5,0.8254658457303589,0.777249488339116,0.818274430135654,0.8069965880683764,0.02123827631566585,41,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
35,200,1.0,0.9,1.004240585122938,0.9789413667301232,0.990740740740741,0.9913075641979341,0.010336136591123762,45,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
36,all,0.001,0.1,0.7033644854329373,0.5655680012439667,0.3818332228010764,0.5502552364926602,0.13171041159973224,38,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
37,all,0.001,0.5,0.5293055855686255,0.5326220312714671,0.30278087828362926,0.4549028317079073,0.10757498543880492,31,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
38,all,0.001,0.9,0.5359384901288771,0.5153156389526139,0.28259501573488677,0.4446163816054593,0.11487534619921429,29,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
39,all,0.01,0.1,0.6140918225030235,0.5362093552324138,0.34101850225203173,0.49710655999582304,0.11485942423882405,34,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
40,all,0.01,0.5,0.38734484013641934,0.4709935122921725,0.24100018420683783,0.3664461788784766,0.09505015613777384,17,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
41,all,0.01,0.9,0.3649673316676726,0.33481090207529396,0.23118169512395012,0.31031997628897223,0.05729748814014794,3,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
42,all,0.1,0.1,0.4719071345861047,0.3804153843531599,0.28503104886999325,0.3791178559364193,0.07629735922969658,18,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
43,all,0.1,0.5,0.37078315055152583,0.38992429144821894,0.29328713439757714,0.351331525465774,0.04178085143192665,12,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
44,all,0.1,0.9,0.45613286830281563,0.47005410786497287,0.3682086466301591,0.4314652075993159,0.045088761400672986,28,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
45,all,1.0,0.1,0.5529190978203986,0.5537434612507234,0.5196410240331715,0.5421011943680978,0.015885304159751833,36,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
46,all,1.0,0.5,0.8254658457303589,0.777249488339116,0.818274430135654,0.8069965880683764,0.02123827631566585,41,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
47,all,1.0,0.9,1.004240585122938,0.9789413667301232,0.990740740740741,0.9913075641979341,0.010336136591123762,45,0,NOT_AVAILABLE_FROM_GRIDSEARCHCV,COMPLETE
