candidate_index,feature_selection__k,regressor__n_estimators,regressor__learning_rate,regressor__max_depth,split_1_validation_bounded_mae,split_2_validation_bounded_mae,split_3_validation_bounded_mae,mean_validation_bounded_mae,std_validation_bounded_mae,rank
1,50,100,0.03,1,0.41429314545372814,0.4436889161401622,0.353524959655039,0.40383567374964313,0.037544673817503524,32
2,50,300,0.03,1,0.30158475798728007,0.3384480004622262,0.2423818308831953,0.29413819644423383,0.039570744189005434,28
3,50,100,0.03,3,0.21354486486663388,0.2442431439671308,0.1452481926358384,0.20101206715653439,0.04137473755085296,16
4,50,300,0.03,3,0.17930208117568786,0.21466869523770815,0.11584479051905718,0.16993852231081774,0.04088437527077361,13
5,50,100,0.1,1,0.2908407118579878,0.32449148452604065,0.22978807812209226,0.2817067581687069,0.039198262109659064,26
6,50,300,0.1,1,0.252604542010556,0.29507114776612287,0.18718441917235473,0.24495336964967784,0.04437560801865702,18
7,50,100,0.1,3,0.17821363318370298,0.2112180647140918,0.10640614596551264,0.16527928128776911,0.04375581997224731,11
8,50,300,0.1,3,0.18077789716882214,0.20906824359012596,0.10448326121016036,0.16477646732303616,0.04417041960925613,10
9,100,100,0.03,1,0.414370677493883,0.41943758262590447,0.34183918009137837,0.3918824800703886,0.03544636593029091,31
10,100,300,0.03,1,0.28728358384823116,0.33154739788810256,0.22819692328485613,0.2823426350070633,0.042337059272520336,27
11,100,100,0.03,3,0.17408244726590097,0.21389274461066915,0.11850270289238436,0.16882596492298485,0.03911979865081167,12
12,100,300,0.03,3,0.14125319132163533,0.1911689476055056,0.08665565872080003,0.13969259921598032,0.04268163909820908,5
13,100,100,0.1,1,0.278234953008001,0.3183274469988595,0.2220714753885748,0.2728779584651451,0.039478484102602227,24
14,100,300,0.1,1,0.24688987919940183,0.2861566685159347,0.18509523384214907,0.23938059385249522,0.04159844083133332,17
15,100,100,0.1,3,0.14033270901604086,0.19239519921737025,0.08101412823116434,0.1379140121548585,0.04550328423596316,3
16,100,300,0.1,3,0.13901108749301255,0.19121437357574392,0.0806623267784937,0.13696259594908342,0.045155922468483295,1
17,200,100,0.03,1,0.403689385327035,0.41943758262590464,0.3447229704596095,0.38928331280418305,0.03215814579999111,30
18,200,300,0.03,1,0.27777837655706117,0.32462262075052817,0.2372905561004892,0.2798971844693595,0.03568463151214688,25
19,200,100,0.03,3,0.1693224673053729,0.22319276068113186,0.1258850940372828,0.1728001073412625,0.03980172510567878,15
20,200,300,0.03,3,0.13343028723181513,0.19251093876217965,0.08763437941143712,0.13785853513514398,0.04293002220616288,2
21,200,100,0.1,1,0.2690319795114975,0.320132349545944,0.227994600088228,0.2723863097152232,0.03768978523968115,22
22,200,300,0.1,1,0.24805161683269514,0.28925084911421906,0.205522540099516,0.24760833534881008,0.034183376139783374,19
23,200,100,0.1,3,0.1294846917752502,0.20476924682662018,0.08609715712130324,0.14011703190772454,0.049027551514607005,6
24,200,300,0.1,3,0.12829136647906567,0.2044373084840671,0.08615692582712907,0.13962853359675395,0.04894868570968797,4
25,all,100,0.03,1,0.369735096302913,0.41513445779965913,0.32270175354064895,0.36919043588107364,0.03773745880324348,29
26,all,300,0.03,1,0.27870589980534044,0.33138522159698497,0.20818428672678427,0.2727584693763699,0.05047208162111962,23
27,all,100,0.03,3,0.18749980384712311,0.22118811997698687,0.10560897413902612,0.1714322993210454,0.04853355035045205,14
28,all,300,0.03,3,0.15659668468939195,0.19495176123239127,0.07210844245379087,0.14121896279185805,0.05131585843384499,9
29,all,100,0.1,1,0.270646962212044,0.32571752307650176,0.2036717285906514,0.26667873795973235,0.04990393498651905,21
30,all,300,0.1,1,0.2398746291404374,0.3037187213174891,0.2100638263006861,0.2512190589195375,0.039066882013727856,20
31,all,100,0.1,3,0.1552904994717319,0.19362903874118617,0.07380048371142787,0.140906673974782,0.04996593157392333,8
32,all,300,0.1,3,0.15535412945141208,0.19354893844138396,0.07310286263161664,0.14066864350813754,0.05025642192818505,7
