candidate_index,feature_selection__k,regressor__C,regressor__epsilon,split_1_validation_bounded_mae,split_2_validation_bounded_mae,split_3_validation_bounded_mae,mean_validation_bounded_mae,std_validation_bounded_mae,rank
0,50,0.01,0.0,0.8550909900120844,0.7087601017273828,0.876840632171667,0.8135639079703781,0.0746375244577951,46
1,50,0.01,0.1,0.8625845094203486,0.7146543838042781,0.9239921865797726,0.8337436932681331,0.08786134313019338,47
2,50,0.01,0.2,0.8725304778480296,0.7137985683125393,0.9367767276208212,0.8410352579271301,0.09371508786574607,48
3,50,0.1,0.0,0.3869149358181288,0.3895119822428936,0.3887815183699888,0.3884028121436704,0.0010935344339907242,26
4,50,0.1,0.1,0.38754220438403464,0.3773433161507618,0.35053618301675915,0.3718072345171852,0.015606570288375993,22
5,50,0.1,0.2,0.3997329737186047,0.3812166676254072,0.3507672825284743,0.37723897462416206,0.020187062847954882,24
6,50,1.0,0.0,0.36424586220312183,0.37724586318852277,0.3778521206432678,0.37311461534497087,0.006276037696065376,23
7,50,1.0,0.1,0.35955280019068286,0.35506168397495586,0.34270787743271386,0.3524407871994509,0.007122250609246813,19
8,50,1.0,0.2,0.38622812904135695,0.36131094439332173,0.33794873328729047,0.3618292689073231,0.019713388154936805,21
9,50,10.0,0.0,0.34478566388002396,0.3786449112054854,0.413831695776467,0.3790874236206588,0.02818966114363378,25
10,50,10.0,0.1,0.33814396078729336,0.36077094895307654,0.3405347672708791,0.3464832256704164,0.010149984116962671,18
11,50,10.0,0.2,0.3646289329210197,0.3675666580862097,0.3384537360134111,0.3568831090068802,0.01308660635881467,20
12,100,0.01,0.0,0.7108427404540205,0.5658971706715885,0.7433564647413612,0.6733654586223233,0.077142121019388,42
13,100,0.01,0.1,0.7248918838685166,0.5417241139045298,0.7497766630186691,0.6721308869305718,0.09276945580896476,41
14,100,0.01,0.2,0.7396304241444024,0.5327204127622798,0.7338724870057282,0.6687411079708033,0.09620987684495046,40
15,100,0.1,0.0,0.3155340123073178,0.24538900628299032,0.3235139856132672,0.2948123347345251,0.035099088686290546,11
16,100,0.1,0.1,0.306808998776134,0.22519636191443237,0.3329575640333973,0.28832097490798786,0.04589462161984386,8
17,100,0.1,0.2,0.28454088338816097,0.24281293861082834,0.3519900253284848,0.2931146157758247,0.044981779506300286,10
18,100,1.0,0.0,0.33266326360731324,0.20823069987115342,0.33752641750867196,0.29280679366237955,0.059837275434875783,9
19,100,1.0,0.1,0.3047455506933977,0.19058203291819795,0.32855898779515696,0.2746288571355842,0.06021999359249955,1
20,100,1.0,0.2,0.29506110006828073,0.21727002563978445,0.39426947868327594,0.30220020146378035,0.07243584136312266,12
21,100,10.0,0.0,0.31733890919179675,0.214323564506677,0.32793848046438945,0.28653365138762105,0.05124327736920432,6
22,100,10.0,0.1,0.30213619234146927,0.19548027351564357,0.32873783026660053,0.2754514320412378,0.05758154468241387,2
23,100,10.0,0.2,0.309855444892846,0.23053393857021298,0.4048913125303977,0.31509356533115224,0.0712774012473686,14
24,200,0.01,0.0,0.6048987511743334,0.4786247188729235,0.6794367628530371,0.5876534109667647,0.08288313286800823,30
25,200,0.01,0.1,0.6180237151342245,0.46048519678849165,0.6815830443536636,0.5866973187587933,0.09294109920406929,29
26,200,0.01,0.2,0.6231843366158643,0.4563387072558037,0.6688885349827316,0.5828038596181332,0.09135022170602505,28
27,200,0.1,0.0,0.3072644350890628,0.22466689193781558,0.322449058707766,0.28479346191154814,0.04296546296127498,5
28,200,0.1,0.1,0.2930181955956649,0.21803623909279232,0.31968203334655715,0.27691215601167146,0.04303115348737118,3
29,200,0.1,0.2,0.30094311849716476,0.23783528975759918,0.3228944776721667,0.2872242953089769,0.03605478187816422,7
30,200,1.0,0.0,0.35047750984597587,0.2750984500059265,0.30115186589941073,0.3089092752504377,0.03125842516263402,13
31,200,1.0,0.1,0.299971765925807,0.2338672662321379,0.29750768006650496,0.2771155707414833,0.03059771028448916,4
32,200,1.0,0.2,0.32163901763494834,0.2658109807625562,0.3671860158991546,0.31821200476555306,0.04145706815604058,15
33,200,10.0,0.0,0.40075243341843886,0.4139470387488028,0.38033522425745936,0.39834489880823365,0.01382716373723893,27
34,200,10.0,0.1,0.34127407467993337,0.33673406512867066,0.2950219393299807,0.32434335971286155,0.020816054567466352,16
35,200,10.0,0.2,0.3067175994344705,0.3337501024574362,0.3337026821002962,0.3247234613307343,0.012732081765971102,17
36,all,0.01,0.0,0.7377702466198596,0.46955144342170035,0.8632720204535984,0.6901979034983862,0.1642179833171611,43
37,all,0.01,0.1,0.7761680029198121,0.45651324311601876,0.8611940646324107,0.6979584368894138,0.17422053837936347,44
38,all,0.01,0.2,0.7976266109356136,0.4563413080232503,0.8641189526695549,0.7060289572094729,0.1786304369257424,45
39,all,0.1,0.0,0.6706259312487503,0.4235063254425122,0.887893091552482,0.6606751160812482,0.18971563136510794,34
40,all,0.1,0.1,0.6587200388826148,0.44755295748054985,0.872526026878036,0.6595996744137335,0.1734956440323135,31
