candidate_index,feature_selection__k,regressor__n_estimators,regressor__max_depth,regressor__max_features,regressor__min_samples_leaf,split_1_validation_bounded_mae,split_2_validation_bounded_mae,split_3_validation_bounded_mae,mean_validation_bounded_mae,std_validation_bounded_mae,rank
1,50,200,,sqrt,1,0.24875000000000005,0.255,0.34995370370370377,0.28456790123456793,0.04630509690015874,41
2,50,500,,sqrt,1,0.2502333333333333,0.25885185185185183,0.35288888888888886,0.2873246913580247,0.04649421264174102,43
3,50,200,,sqrt,2,0.24655166997354486,0.26027704291593184,0.3578696689113356,0.28823279393360407,0.04955849898924205,45
4,50,500,,sqrt,2,0.25092650132275135,0.2610073706643152,0.3633141447544226,0.2917493389138297,0.05077103542980478,51
5,50,200,,0.3,1,0.21354166666666666,0.22587962962962962,0.324074074074074,0.25449845679012345,0.049454566508739,27
6,50,500,,0.3,1,0.21391666666666664,0.22575925925925924,0.32125925925925924,0.253645061728395,0.04805428548794633,25
7,50,200,,0.3,2,0.20994386574074078,0.22509694664903,0.3321519143151087,0.2557309089016265,0.05439075605626933,29
8,50,500,,0.3,2,0.21067292328042336,0.23050945767195777,0.3316206496178718,0.2576010101900843,0.05296257980833503,31
9,50,200,12,sqrt,1,0.24875000000000005,0.255,0.34995370370370377,0.28456790123456793,0.04630509690015874,41
10,50,500,12,sqrt,1,0.2502333333333333,0.2588827160493827,0.35288888888888886,0.28733497942386826,0.04648791412796276,44
11,50,200,12,sqrt,2,0.2465516699735449,0.26027704291593196,0.3578696689113354,0.28823279393360407,0.04955849898924193,45
12,50,500,12,sqrt,2,0.25092650132275135,0.26100737066431523,0.3633141447544226,0.2917493389138297,0.05077103542980477,51
13,50,200,12,0.3,1,0.21354166666666666,0.22587962962962962,0.324074074074074,0.25449845679012345,0.049454566508739,27
14,50,500,12,0.3,1,0.21391666666666664,0.22575925925925924,0.32125925925925924,0.253645061728395,0.04805428548794633,25
