candidate_index,feature_selection__k,regressor__C,regressor__gamma,regressor__epsilon,split_1_validation_bounded_mae,split_2_validation_bounded_mae,split_3_validation_bounded_mae,mean_validation_bounded_mae,std_validation_bounded_mae,rank
0,50,0.1,scale,0.0,0.5745483965620265,0.5735220479823284,0.5140454505450743,0.5540386316964764,0.028282553536393057,34
1,50,0.1,0.01,0.0,0.5665375276987479,0.5676457543627031,0.5171719987944583,0.5504517602853031,0.02353669383820808,32
2,50,0.1,0.1,0.0,0.8362146450858191,0.715804060575883,0.8175505727025694,0.7898564261214238,0.05291440592535332,67
3,50,0.1,scale,0.1,0.5859256640390855,0.5682271004938817,0.5229156731433515,0.559022812558773,0.02653430390349333,35
4,50,0.1,0.01,0.1,0.5686722561272635,0.5665570993179248,0.5197820500381364,0.5516704684944416,0.022565045177816365,33
5,50,0.1,0.1,0.1,0.8421875226467153,0.724145797323987,0.8201200617129291,0.7954844605612105,0.05124221477370344,68
6,50,0.1,scale,0.2,0.5899959811539566,0.5802189754633914,0.5348081578032807,0.5683410381402095,0.024044930274196092,39
7,50,0.1,0.01,0.2,0.5804417764026834,0.5784593575363064,0.5332441562794135,0.5640484300728011,0.021796941055936138,37
8,50,0.1,0.1,0.2,0.8532123496899944,0.7386424961790402,0.8338920941930229,0.8085823133540191,0.05007994667175791,69
9,50,1.0,scale,0.0,0.4403139937101516,0.4324591238889859,0.3308839159481419,0.4012190111824265,0.04983769631640139,14
10,50,1.0,0.01,0.0,0.43491294000244984,0.4276622835222469,0.3268760301721097,0.3964837512322688,0.04930901964982449,12
11,50,1.0,0.1,0.0,0.6771359030231945,0.6046813959425692,0.5952874857860581,0.625701594917274,0.0365711856043181,52
12,50,1.0,scale,0.1,0.4465739674156599,0.4414015026057428,0.3401122065222645,0.4093625588478891,0.04901290354569778,17
13,50,1.0,0.01,0.1,0.42851757418572145,0.42868571898915253,0.3242585874362603,0.3938206268703781,0.0491878376962168,11
14,50,1.0,0.1,0.1,0.6878171533354988,0.6118305127795367,0.6117857532644726,0.6371444731265027,0.035831000456084894,54
15,50,1.0,scale,0.2,0.4599519137181225,0.44671811952622015,0.3416049531108814,0.41609166211840803,0.052946423809088164,20
16,50,1.0,0.01,0.2,0.43570074638922524,0.4411338210263895,0.33583268984681136,0.4042224190874754,0.04840968136100979,15
