candidate_index,feature_selection__k,regressor__alpha,mean_inner_validation_bounded_mae,std_inner_validation_bounded_mae,rank,status,inner_split_1_validation_bounded_mae,inner_split_2_validation_bounded_mae,inner_split_3_validation_bounded_mae
0,50,0.01,0.3784578597360084,0.024078501859188216,9,COMPLETE,0.37791929191045254,0.34924081060791207,0.40821347668966057
1,50,0.1,0.39762341191016004,0.02819444275375526,14,COMPLETE,0.4139939010875858,0.3579517382390471,0.4209245964038474
2,50,1.0,0.3844036091428454,0.033234717227737985,12,COMPLETE,0.4313786887774151,0.35956475004206967,0.3622673886090515
3,50,10.0,0.3947197007970809,0.029015145858129386,13,COMPLETE,0.43521578007370026,0.36873853756258873,0.38020478475495373
4,50,100.0,0.4836201846738204,0.04830648179353353,15,COMPLETE,0.4931313194237726,0.4202776903293431,0.5374515442683455
5,100,0.01,0.31653090202959205,0.07491808274609738,7,COMPLETE,0.3175895462067735,0.22425062279119162,0.40775253709081116
6,100,0.1,0.3095329209461957,0.0873367125641651,6,COMPLETE,0.30923587041877215,0.2027165647627171,0.416646327657098
7,100,1.0,0.30694730779380625,0.0832716282390718,5,COMPLETE,0.30201737643995114,0.20751517862984062,0.41130936831162695
8,100,10.0,0.3056539935600495,0.044957447691444795,4,COMPLETE,0.31148398515608444,0.2479095663142584,0.35756842920980575
9,100,100.0,0.38415188663140315,0.0336399822232024,11,COMPLETE,0.3883589197654541,0.3410093854263191,0.42308735470243625
10,200,0.01,0.3519418915012087,0.03573989374686534,8,COMPLETE,0.3784992282968147,0.3759062211607507,0.30142022504606075
11,200,0.1,0.2983549756336213,0.013271869492007303,3,COMPLETE,0.31583130117565555,0.2955453298678039,0.28368829585740446
12,200,1.0,0.28200980440621465,0.03442442260020524,1,COMPLETE,0.3148587224077836,0.23446826413756489,0.2967024266732953
13,200,10.0,0.29762566745368946,0.040560441645070125,2,COMPLETE,0.32308939057241215,0.2403806253366048,0.32940698645205146
14,200,100.0,0.3809546365615526,0.0518441855517369,10,COMPLETE,0.3625061325946987,0.3287259074185678,0.4516318696713913
15,all,0.01,0.6603352498879059,0.18931786659658895,20,COMPLETE,0.6697184520878442,0.4239200018366986,0.8873672957391749
16,all,0.1,0.6597813338765337,0.18977235353201377,19,COMPLETE,0.6687658896011909,0.4229966162611165,0.8875814957672938
17,all,1.0,0.6535296850299753,0.192972611545106,18,COMPLETE,0.659335471518703,0.41433806407681245,0.8869155194944108
18,all,10.0,0.612275439533594,0.20984510708590826,17,COMPLETE,0.5928110375544111,0.36555431875967415,0.8784609622866967
19,all,100.0,0.581763318142959,0.18995843235249057,16,COMPLETE,0.6038403073951345,0.33886114817747476,0.8025884988562679
