outer_fold,dimension,seed,test_rows,warmups,timed_repetitions,clock,preprocessing_median_batch_ns,encoding_median_batch_ns,dual_heads_median_batch_ns,complete_inference_median_batch_ns,complete_inference_median_per_sample_ns,encoding_throughput_rows_per_second,identity_hv_bytes,level_hv_bytes,tie_vector_bytes,prototype_bytes,ridge_readout_bytes,preprocessing_state_bytes,total_model_component_bytes,model_artifact_file_bytes,inference_python_peak_allocated_bytes,repeated_outputs_discarded,repeated_output_digest,frozen_prediction_max_abs_difference
1,1000,42,84,5,30,time.perf_counter_ns,2218200,9675500,505450,12452850,148248.2142857143,8681.72187483851,50000,51000,1000,16000,8008,55216,181224,6838,4703200,True,ac536ae59600d72ff76217ebfc29d162b2e7df351b78c1d3808a5238d5d3a4d2,4.440892098500626e-16
1,1000,43,84,5,30,time.perf_counter_ns,2300850,9339800,619700,12481200,148585.7142857143,8993.768603182081,50000,51000,1000,16000,8008,55216,181224,6828,4703200,True,03e9848a90d04fc97cf61715e6e4d03e60147a393b43562b6b4a98dbde1f726c,8.881784197001252e-16
1,1000,44,84,5,30,time.perf_counter_ns,2230950,9377900,499500,12513700,148972.61904761905,8957.229230424722,50000,51000,1000,16000,8008,55216,181224,7021,4703200,True,1bf0d12c1298553fe76892469296cee9fc90c64ab8a839faaa8d28be9fce27ab,4.440892098500626e-16
1,1000,45,84,5,30,time.perf_counter_ns,2364600,9702950,571050,12594500,149934.52380952382,8657.160966510184,50000,51000,1000,16000,8008,55216,181224,7186,4703200,True,f923e5bda49e7884ae4ad1c8e9823f9354969deb5c8327b7b1e467bb4a7df834,4.440892098500626e-16
1,1000,46,84,5,30,time.perf_counter_ns,2239100,9430650,535800,12330700,146794.04761904763,8907.127292392359,50000,51000,1000,16000,8008,55216,181224,6855,4703200,True,c36e5d2935b08c51c817ef090ed40e43e443a4eb45cc024c8a21162434d2b528,8.881784197001252e-16
1,2000,42,84,5,30,time.perf_counter_ns,2161050,19053550,1129300,22540050,268333.9285714286,4408.62726368577,100000,102000,2000,32000,16008,55216,307224,12744,4703200,True,987ce1a0e57fa67f7c15d34a4ca8da597ccb16fa957c19c01718c066a517631f,4.440892098500626e-16
1,2000,43,84,5,30,time.perf_counter_ns,2376000,18903500,1742950,23253250,276824.40476190473,4443.621551564525,100000,102000,2000,32000,16008,55216,307224,12882,4703200,True,24793f06ffb68ca05fbf99668f40b71f63071686eb2673bf281943bcf683fbb3,4.440892098500626e-16
1,2000,44,84,5,30,time.perf_counter_ns,2276000,18821650,1144900,22227350,264611.3095238095,4462.945597224473,100000,102000,2000,32000,16008,55216,307224,13116,4703200,True,359fbbb7f119fcef0ee63681526402f5b63682e0c1dbccd4fa6704c4c750145f,4.440892098500626e-16
1,2000,45,84,5,30,time.perf_counter_ns,2407050,19078100,1783000,23524700,280055.95238095237,4402.9541725853205,100000,102000,2000,32000,16008,55216,307224,13288,4703200,True,4138ef7f24cb1a5749d71f0dc87c44405555aa39b2aa3de1711f9f5a3f9ba915,4.440892098500626e-16
1,2000,46,84,5,30,time.perf_counter_ns,2235150,18881350,1084550,22402100,266691.6666666667,4448.834431860009,100000,102000,2000,32000,16008,55216,307224,13227,4703200,True,61b2dcb4e8a03d92bf4fca9a4851fb2b8b5c43bc158315b8afc687016425703a,8.881784197001252e-16
1,5000,42,84,5,30,time.perf_counter_ns,2199900,67996150,4218750,74496450,886862.5,1235.3640610534567,250000,255000,5000,80000,40008,55216,685224,30892,5481744,True,3cdd294fa205ccc6070d20481e3428df288edd88314506ef740f7d8fdb7cb323,8.881784197001252e-16
1,5000,43,84,5,30,time.perf_counter_ns,2234400,67848850,3861850,74066150,881739.880952381,1238.0460391001468,250000,255000,5000,80000,40008,55216,685224,30718,5481744,True,f9bff641813f18e08e9db130eae9dcc06ae3a0557582409ce1840888be289914,8.881784197001252e-16
1,5000,44,84,5,30,time.perf_counter_ns,2152250,67600000,4215350,73904200,879811.9047619047,1242.6035502958582,250000,255000,5000,80000,40008,55216,685224,31001,5481744,True,76344111c833b72bd519be2188974b569d5ba59c289b6aa3777be898d4db81ee,4.440892098500626e-16
1,5000,45,84,5,30,time.perf_counter_ns,2327800,68207550,4017800,74791750,890377.9761904762,1231.535218608497,250000,255000,5000,80000,40008,55216,685224,31027,5481744,True,9e9ccd99fb49863eebc836d3a9d3c72b38152d01c6b3a998d3f5a35df9390a82,8.881784197001252e-16
1,5000,46,84,5,30,time.perf_counter_ns,2224050,67435050,4186100,74088600,882007.1428571428,1245.6430298487212,250000,255000,5000,80000,40008,55216,685224,31210,5481744,True,b6dbc3317362a99c6412daf309cbfeceb3e37b01a5bf3a6811e7400c540c9b57,8.881784197001252e-16
1,10000,42,84,5,30,time.perf_counter_ns,2252350,132158300,8185050,142581300,1697396.4285714286,635.6013962044003,500000,510000,10000,160000,80008,55216,1315224,60537,10941744,True,098741b53b98460773dbc49e3d157f471c4557215f964726e418249a34a2af98,4.440892098500626e-16
1,10000,43,84,5,30,time.perf_counter_ns,2288350,133065450,7945200,143060850,1703105.357142857,631.2682969170435,500000,510000,10000,160000,80008,55216,1315224,60839,10941744,True,079f080e781dfd2531d6f9189001d74c0e569670b477eed684cd763c5b8c1b4e,4.440892098500626e-16
1,10000,44,84,5,30,time.perf_counter_ns,2298600,132961050,8378300,143407650,1707233.9285714286,631.7639639578658,500000,510000,10000,160000,80008,55216,1315224,60621,10941744,True,8f0c9404bc5db4479ffa5649bc85351f86cac1963539747b42d73dd05647c2f0,8.881784197001252e-16
