dimension,levels,k,seed,encoding_time_seconds,prototype_training_time_seconds,inference_time_seconds,model_bytes
2000,21,50,42,0.8321209999703569,0.002300899985129945,0.014655099992523901,237504
5000,21,50,42,0.8321209999703569,0.004425899998750538,0.0065916999883484095,501504
2000,21,100,42,1.655051999972784,0.0018829000036930665,0.00184980001358781,338304
5000,21,100,42,1.655051999972784,0.004833900005905889,0.006961099992622621,752304
2000,21,200,42,3.2682516999921063,0.0021188000100664794,0.0019114999886369333,539904
5000,21,200,42,3.2682516999921063,0.004806299999472685,0.00714719999814406,1253904
2000,21,all,42,21.67729939997662,0.002224200012278743,0.0020650000078603625,3245376
5000,21,all,42,21.67729939997662,0.004809400008525699,0.006626800022786483,7985376
2000,51,50,42,0.8622928999975557,0.0022009999956935644,0.0018785999855026603,297504
5000,51,50,42,0.8622928999975557,0.004993499984266236,0.006362300002365373,651504
2000,51,100,42,1.6872851999942213,0.002026699992711656,0.0016160999948624521,398304
5000,51,100,42,1.6872851999942213,0.004706000006990507,0.007001800011494197,902304
2000,51,200,42,3.336434199984069,0.0021053000091342255,0.0014856000052532181,599904
5000,51,200,42,3.336434199984069,0.004716899973573163,0.006855999992694706,1403904
2000,51,all,42,22.02997679998225,0.0021053999953437597,0.0016402000037487596,3305376
5000,51,all,42,22.02997679998225,0.004700200006482191,0.006724999999278225,8135376
