outer_fold,dimension,seed,head,temperature,ridge_alpha,inner_fold_1_mae,inner_fold_2_mae,inner_fold_3_mae,mean_inner_mae,std_inner_mae,frozen_candidate_order,selected
5,1000,42,similarity_regression,0.05,,0.7041759704819118,0.6881868593481065,0.6467827038142874,0.6797151778814352,0.024184344865357553,0,True
5,1000,42,similarity_regression,0.1,,0.8385074971466118,0.834554142922544,0.7921896590328754,0.8217504330340105,0.02096483996385174,1,False
5,1000,42,similarity_regression,0.2,,0.913139700769992,0.9153644957967126,0.8934189772080819,0.9073077245915955,0.00986273816408748,2,False
5,1000,42,similarity_regression,0.5,,0.9598676103062272,0.9657705391434459,0.957025057288692,0.9608877355794551,0.0036424675608499177,3,False
5,1000,42,similarity_regression,1.0,,0.9757108642623622,0.9828321309764568,0.9784824436105297,0.9790084796164495,0.0029309435696786715,4,False
5,1000,42,similarity_regression,2.0,,0.9836755933417798,0.9914038000161706,0.9892363302162416,0.9881052411913972,0.0032548237419883857,5,False
5,1000,42,ridge_regression,,0.01,0.295170991619428,0.3699220363740568,0.40603222449620563,0.3570417508298968,0.04616621820851334,0,False
5,1000,42,ridge_regression,,0.1,0.2914307733376821,0.3319846413753651,0.3894016212887234,0.3376056786672568,0.040193438993938166,1,True
5,1000,42,ridge_regression,,1.0,0.4389782905578613,0.434612856970893,0.503337010189339,0.45897605257269775,0.03141852079161415,2,False
5,1000,42,ridge_regression,,10.0,0.7894156177838644,0.7736840314335294,0.750641663869222,0.7712471043622053,0.01592291505361411,3,False
5,1000,42,ridge_regression,,100.0,0.9624858756860097,0.9671279478956152,0.9591303489826344,0.9629147241880864,0.0032790578292682363,4,False
5,2000,42,similarity_regression,0.05,,0.7060301320606006,0.7032881222494555,0.6520130174703747,0.6871104239268102,0.02484284752099739,0,True
5,2000,42,similarity_regression,0.1,,0.8395402218101599,0.8419142125322916,0.8007192329246836,0.8273912224223783,0.01888483034626904,1,False
5,2000,42,similarity_regression,0.2,,0.9136810217417507,0.9187291559066549,0.8980900299056803,0.910166735851362,0.008784684950168124,2,False
5,2000,42,similarity_regression,0.5,,0.9600902745748717,0.967023529729825,0.9589538657185556,0.9620225566744174,0.0035665253770640407,3,False
5,2000,42,similarity_regression,1.0,,0.9758231730119937,0.9834421588150222,0.9794530119765074,0.9795727812678411,0.00311159066277975,4,False
5,2000,42,similarity_regression,2.0,,0.9837319823579144,0.9917046283195684,0.9897227568770601,0.9883864558515144,0.003389203075515513,5,False
5,2000,42,ridge_regression,,0.01,0.2757329553365707,0.3010014361805386,0.3750626963597757,0.31726569595896165,0.04215047625305685,0,False
5,2000,42,ridge_regression,,0.1,0.2699031074841817,0.30183675443684616,0.3764380536697529,0.31605930519692693,0.04464029870183026,1,True
5,2000,42,ridge_regression,,1.0,0.44262357155481974,0.43613285157415604,0.4935333463880751,0.45742992317235026,0.025666128618436007,2,False
5,2000,42,ridge_regression,,10.0,0.7889073669910431,0.779007841039587,0.7549106975396475,0.7742753018567593,0.014276812874602307,3,False
5,2000,42,ridge_regression,,100.0,0.9625963906447093,0.9680754409896003,0.9607448114289178,0.9638055476877425,0.003112456479484301,4,False
5,5000,42,similarity_regression,0.05,,0.7128103353954357,0.6885922099206356,0.6417821176924257,0.6810615543361657,0.029482028510777872,0,True
5,5000,42,similarity_regression,0.1,,0.8435922180241012,0.8340823119184345,0.7900636424178239,0.8225793907867865,0.023317589891609324,1,False
5,5000,42,similarity_regression,0.2,,0.9158446797558908,0.9146966896149457,0.8922956509305673,0.9076123401004678,0.010840670203341986,2,False
5,5000,42,similarity_regression,0.5,,0.960978436709713,0.9653848575074595,0.9565499365188868,0.9609710769120197,0.0036068451444022727,3,False
5,5000,42,similarity_regression,1.0,,0.9762700596911418,0.9826190630194105,0.9782397405090664,0.9790429544065397,0.002653466316526658,4,False
5,5000,42,similarity_regression,2.0,,0.9839560286576217,0.9912922127851757,0.9891136372427736,0.9881206262285236,0.0030761938109900304,5,False
5,5000,42,ridge_regression,,0.01,0.2540704866250356,0.26617004363625135,0.3616100792531614,0.29395020317148274,0.04809708198708105,0,True
5,5000,42,ridge_regression,,0.1,0.26260829071203867,0.29236032786192717,0.3768066543119925,0.31059175762865276,0.04837082685345994,1,False
5,5000,42,ridge_regression,,1.0,0.4301528255144755,0.42520284431952016,0.4938042163848877,0.4497199620729611,0.031237708912323324,2,False
5,5000,42,ridge_regression,,10.0,0.7914594093958537,0.7691305368034927,0.7464290007396981,0.7690063156463482,0.01838379719765941,3,False
5,5000,42,ridge_regression,,100.0,0.9634128292401631,0.9665241285606667,0.9587964437626026,0.9629111338544775,0.0031746970227693994,4,False
5,10000,42,similarity_regression,0.05,,0.7086428296490578,0.7093084263554945,0.6381972143030319,0.6853828234358614,0.033366370661401246,0,True
5,10000,42,similarity_regression,0.1,,0.8413002233731214,0.8459077184253269,0.7877676591844,0.8249918669942827,0.026388614817366828,1,False
5,10000,42,similarity_regression,0.2,,0.9146739693822481,0.9209505765060343,0.8911981783969074,0.9089409080950631,0.01280500662769469,2,False
5,10000,42,similarity_regression,0.5,,0.9605087580966923,0.9679565636993561,0.9561314879842252,0.9615322699267579,0.004881515220151618,3,False
5,10000,42,similarity_regression,1.0,,0.9760352455834332,0.983914869320122,0.9780344057442631,0.9793281735492728,0.0033443976944443105,4,False
5,10000,42,similarity_regression,2.0,,0.9838386439674719,0.9919423950729356,0.9890119718958409,0.9882643369787494,0.003350314808269686,5,False
5,10000,42,ridge_regression,,0.01,0.22717431883017222,0.2784007357226478,0.33819938809783373,0.2812581475502179,0.045370806349726046,0,True
5,10000,42,ridge_regression,,0.1,0.25201327800750734,0.2973258274572867,0.3639938610571402,0.3044443221739781,0.04599215491296752,1,False
5,10000,42,ridge_regression,,1.0,0.4224345693985621,0.4331167991514559,0.48801643760116015,0.4478559353837261,0.028730668421169725,2,False
5,10000,42,ridge_regression,,10.0,0.7886987408002217,0.7818138091652481,0.7445971071720123,0.7717032190458274,0.019371913458947013,3,False
5,10000,42,ridge_regression,,100.0,0.9630600472291311,0.9689649895385459,0.9584633906682333,0.9634961424786367,0.004298335259781325,4,False
5,1000,43,similarity_regression,0.05,,0.6942296784716786,0.7262532259682198,0.6295124867109018,0.6833317970502667,0.04023899868385947,0,True
5,1000,43,similarity_regression,0.1,,0.8329410867421195,0.8563224980403251,0.7758076599368843,0.8216904149064429,0.03381905775615663,1,False
5,1000,43,similarity_regression,0.2,,0.9102385861825828,0.9267484878786012,0.8843133194712999,0.9071001311774946,0.017465648271263384,2,False
5,1000,43,similarity_regression,0.5,,0.9586813631195944,0.9704169009277173,0.953244331167099,0.9607808650714702,0.007166134214961993,3,False
5,1000,43,similarity_regression,1.0,,0.9751132291637196,0.9851674512258582,0.9765758803206536,0.9789521869034105,0.004435235435324666,4,False
5,1000,43,similarity_regression,2.0,,0.983375598452993,0.9925741239189448,0.9882796747950745,0.9880764657223374,0.003758030346903626,5,False
5,1000,43,ridge_regression,,0.01,0.3293530136346817,0.4165445974579564,0.45790370526137175,0.4012671054513366,0.05358091327412736,0,False
5,1000,43,ridge_regression,,0.1,0.2819120854139328,0.3686552113956875,0.4227692849106259,0.3577788605734154,0.05801671551038632,1,True
5,1000,43,ridge_regression,,1.0,0.40767416954040525,0.450390910660779,0.5084414073714504,0.4555021625242115,0.04129651096427062,2,False
5,1000,43,ridge_regression,,10.0,0.7779277622699737,0.7918157113922967,0.7386053425294382,0.7694496053972362,0.022535086666491497,3,False
5,1000,43,ridge_regression,,100.0,0.9613381564617157,0.971125810234635,0.9558156044394882,0.9627598570452797,0.0063306937368356785,4,False
5,2000,43,similarity_regression,0.05,,0.7132040966948552,0.711994307389365,0.6188011444759615,0.6813331828533938,0.044219586650174454,0,True
5,2000,43,similarity_regression,0.1,,0.8435103967207037,0.8477074905914351,0.7679660638260601,0.8197279837127329,0.03664128966076101,1,False
5,2000,43,similarity_regression,0.2,,0.9157215117492835,0.9220672725177409,0.8799866098540261,0.9059251313736835,0.018523360816401917,2,False
5,2000,43,similarity_regression,0.5,,0.9609101723493729,0.9684623058807125,0.9514007576448152,0.9602577452916335,0.0069806089920920605,3,False
5,2000,43,similarity_regression,1.0,,0.976232384914283,0.9841776066811181,0.9756356467621722,0.9786818794525245,0.0038936946836199623,4,False
5,2000,43,similarity_regression,2.0,,0.9839362408988084,0.9920761986980385,0.9878050551521952,0.9879391649163473,0.003324476631987124,5,False
5,2000,43,ridge_regression,,0.01,0.27031414906183876,0.35230576550519027,0.38642136255900067,0.33634709237534327,0.04872528907092538,0,False
5,2000,43,ridge_regression,,0.1,0.26598312457402545,0.3284634119934506,0.3863085817407679,0.32691837276941466,0.04913480959054893,1,True
5,2000,43,ridge_regression,,1.0,0.41100101272265116,0.42903564704789054,0.49695655041270786,0.44566440339441654,0.03700878515632728,2,False
5,2000,43,ridge_regression,,10.0,0.7873130579789479,0.7822228383134913,0.7309417261017693,0.7668258741314028,0.02545887721954941,3,False
5,2000,43,ridge_regression,,100.0,0.9632430652777354,0.9693474460531164,0.9541750241208959,0.9622551784839158,0.0062333798782780924,4,False
5,5000,43,similarity_regression,0.05,,0.7047068438505263,0.7317778268903405,0.6364843970853428,0.6909896892754032,0.04009430290559474,0,True
5,5000,43,similarity_regression,0.1,,0.8398455044763521,0.8579460055819953,0.7888148750607038,0.8288687950396838,0.029270513198219845,1,False
5,5000,43,similarity_regression,0.2,,0.9140861439131228,0.9271186428210068,0.8915529090852714,0.9109192319398004,0.014691320626487507,2,False
5,5000,43,similarity_regression,0.5,,0.960308734160439,0.9704488657135315,0.9562157899681623,0.962324463280711,0.005982891397314438,3,False
5,5000,43,similarity_regression,1.0,,0.9759409183769688,0.9851639453128241,0.9780656637301689,0.9797235091399873,0.003943551277467224,4,False
5,5000,43,similarity_regression,2.0,,0.9837928673997972,0.9925675244635493,0.9890247666776051,0.9884617195136505,0.003604295421506746,5,False
5,5000,43,ridge_regression,,0.01,0.23720494111378987,0.3104358458960498,0.3408352423597265,0.29615867645652205,0.04349473538628656,0,True
5,5000,43,ridge_regression,,0.1,0.24713736673196157,0.32420675290955436,0.3626982161292323,0.31134744525691604,0.04804580330846509,1,False
5,5000,43,ridge_regression,,1.0,0.4025897830724716,0.45491722998795686,0.4886735777060191,0.4487268635888159,0.03541511355099124,2,False
5,5000,43,ridge_regression,,10.0,0.7837843855222066,0.7952077697824549,0.7448646249594512,0.7746189267547042,0.021550131994670346,3,False
5,5000,43,ridge_regression,,100.0,0.9627550741036733,0.9712006251017252,0.958445526935436,0.9641337420469448,0.005297714996818393,4,False
5,10000,43,similarity_regression,0.05,,0.6946418577440393,0.7190953785699971,0.6370370147975931,0.6835914170372098,0.03439939869738432,0,True
5,10000,43,similarity_regression,0.1,,0.8335988424986664,0.851362801905925,0.7867257978577832,0.8238958140874582,0.027265327717834967,1,False
5,10000,43,similarity_regression,0.2,,0.910709165559921,0.9237985466592521,0.8903193935491243,0.9082757019227659,0.013775696768775148,2,False
5,10000,43,similarity_regression,0.5,,0.9589046520276387,0.9691195107964156,0.9556855098709026,0.9612365575649857,0.005726920801093871,3,False
5,10000,43,similarity_regression,1.0,,0.9752310074659661,0.9844996840719261,0.9777955740112787,0.9791754218497237,0.003907691266328782,4,False
5,10000,43,similarity_regression,2.0,,0.9834360603736818,0.9922355688614029,0.9888886284074169,0.9881867525475005,0.0036265051770190226,5,False
5,10000,43,ridge_regression,,0.01,0.21694702605406443,0.2859356767601437,0.349085694109952,0.28398946564138666,0.0539629360591452,0,True
5,10000,43,ridge_regression,,0.1,0.2378486971060435,0.30469487110773724,0.36833313659385397,0.30362556826921155,0.05327541517768696,1,False
5,10000,43,ridge_regression,,1.0,0.4067896157503128,0.4392634751620116,0.4936572136702361,0.44657010152752014,0.03583792203544752,2,False
5,10000,43,ridge_regression,,10.0,0.7795169095198313,0.7888977373087848,0.7450746805579574,0.7711631091288579,0.018840639788778042,3,False
5,10000,43,ridge_regression,,100.0,0.9616616368293762,0.9700498647160001,0.958124993024049,0.9632788315231418,0.005000808616316085,4,False
5,1000,44,similarity_regression,0.05,,0.7024765410325554,0.7076320254480494,0.63053124562375,0.6802132707014517,0.03519348866628248,0,True
5,1000,44,similarity_regression,0.1,,0.8368647990578088,0.8439972884384318,0.7746027743850464,0.8184882872937623,0.03116805826095018,1,False
5,1000,44,similarity_regression,0.2,,0.9120824515143678,0.9197840033687716,0.8834748832627176,0.9051137793819524,0.015620709420206503,2,False
5,1000,44,similarity_regression,0.5,,0.9593818143537348,0.9674424628167663,0.9527655940423628,0.959863290404288,0.006001471133297617,3,False
5,1000,44,similarity_regression,1.0,,0.9754564161741928,0.9836503606957373,0.9763073892556092,0.9784713887085131,0.00367852796008255,4,False
5,1000,44,similarity_regression,2.0,,0.9835453403153301,0.9918083254230234,0.9881377886451931,0.9878304847945155,0.0033803409556799877,5,False
5,1000,44,ridge_regression,,0.01,0.3381363968054453,0.35917549221603956,0.44630683682582994,0.3812062419491049,0.04682753089014785,0,False
5,1000,44,ridge_regression,,0.1,0.30085979600747426,0.3674644684350049,0.42131402757432723,0.36321276400560215,0.04926704928926644,1,True
5,1000,44,ridge_regression,,1.0,0.39469595154126486,0.4845272898674011,0.5046875642405616,0.46130360188307584,0.047812435472674504,2,False
5,1000,44,ridge_regression,,10.0,0.7755593498547871,0.7809796300199296,0.7350435488753848,0.7638608429167005,0.020496701948767227,3,False
5,1000,44,ridge_regression,,100.0,0.9618846237659454,0.9687462824362295,0.955202994523225,0.9619446335751333,0.0055291869659431035,4,False
5,2000,44,similarity_regression,0.05,,0.6873090245590653,0.7081942167113987,0.6362588526470121,0.6772540313058254,0.03021590439664721,0,True
5,2000,44,similarity_regression,0.1,,0.8293344053021857,0.8450331946912201,0.7864025427824908,0.8202567142586322,0.024781601936682846,1,False
5,2000,44,similarity_regression,0.2,,0.9084584963548621,0.9203933520863352,0.8901719057351137,0.9063412513921038,0.012428354666224163,2,False
5,2000,44,similarity_regression,0.5,,0.9579773792624977,0.9677035920570703,0.9556111744205427,0.9604307152467036,0.0052326401342981076,3,False
5,2000,44,similarity_regression,1.0,,0.9747630048129586,0.9837835705296532,0.9777545570622856,0.9787670441349658,0.003751577358619478,4,False
5,2000,44,similarity_regression,2.0,,0.9832009773479583,0.9918755788045723,0.9888670645322297,0.9879812068949202,0.0035963625533731876,5,False
5,2000,44,ridge_regression,,0.01,0.2853951503833135,0.3386437109223119,0.38924378046283015,0.33776088058948517,0.042400621335034645,0,False
5,2000,44,ridge_regression,,0.1,0.2733053147792816,0.34098348683781093,0.39752819803025985,0.33727233321578415,0.05078162841488547,1,True
5,2000,44,ridge_regression,,1.0,0.3934730847676595,0.4585209246034975,0.49631601020141886,0.4494366731908586,0.04247398847718031,2,False
5,2000,44,ridge_regression,,10.0,0.7705512881278992,0.7812073561880324,0.7422226733631558,0.7646604392263625,0.016451503463708283,3,False
5,2000,44,ridge_regression,,100.0,0.960710213581721,0.9688584694155941,0.9579540270346182,0.9625075700106445,0.004629584827278424,4,False
5,5000,44,similarity_regression,0.05,,0.6999317456509355,0.7251198861150651,0.6514191133242825,0.6921569150300945,0.030586347399634763,0,True
5,5000,44,similarity_regression,0.1,,0.8376138143672357,0.8551558410086743,0.7944391603437654,0.8290696052398917,0.025513152947058113,1,False
5,5000,44,similarity_regression,0.2,,0.9130381561202289,0.9258968050288318,0.894621772349192,0.9111855778327508,0.012835002973939642,2,False
5,5000,44,similarity_regression,0.5,,0.9599058612228236,0.9700053729493616,0.9574910750794274,0.9624674364172042,0.005420526628886985,3,False
5,5000,44,similarity_regression,1.0,,0.9757422524781916,0.984949963106218,0.9787098218179532,0.9798006791341209,0.0038373568173544503,4,False
5,5000,44,similarity_regression,2.0,,0.9836942333107204,0.9924624909262987,0.9893483202845447,0.9885016815071879,0.003629341842793712,5,False
5,5000,44,ridge_regression,,0.01,0.25099060833454134,0.31015193351992854,0.37300446850282176,0.3113823367857639,0.04981954728443181,0,True
5,5000,44,ridge_regression,,0.1,0.2566123366355896,0.32890993025567794,0.39026187305097226,0.3252613799807466,0.05462315495186512,1,False
5,5000,44,ridge_regression,,1.0,0.40366084277629855,0.45751873762519274,0.49916894678716306,0.4534495090628847,0.03909704548732343,2,False
5,5000,44,ridge_regression,,10.0,0.781353892882665,0.7919627979949668,0.7502864731682671,0.7745343880152996,0.017684423423682982,3,False
5,5000,44,ridge_regression,,100.0,0.9624878108501435,0.9708976789757058,0.9597469016357705,0.9643774638205399,0.0047443334679453655,4,False
5,10000,44,similarity_regression,0.05,,0.7012516964666411,0.7196853327453822,0.6441134985195623,0.6883501759105286,0.03217258104409762,0,True
5,10000,44,similarity_regression,0.1,,0.8373938781110307,0.8523176201576027,0.7906092424315176,0.8267735802333837,0.026287817402157514,1,False
5,10000,44,similarity_regression,0.2,,0.9126404026893186,0.9244847618821842,0.8924961214973872,0.9098737620229634,0.013205024393503004,2,False
5,10000,44,similarity_regression,0.5,,0.9596771430854886,0.9694461194550518,0.9566008075116704,0.961908023350737,0.005476198791077606,3,False
5,10000,44,similarity_regression,1.0,,0.9756165224713929,0.9846716007152776,0.9782594802433258,0.9795158678099988,0.0038019725397032624,4,False
5,10000,44,similarity_regression,2.0,,0.9836285630482238,0.992323660081675,0.9891220162345364,0.9883580797881452,0.0035906245766697386,5,False
5,10000,44,ridge_regression,,0.01,0.23297983010609943,0.30375804945274637,0.36570770431447913,0.3008151946244417,0.054225869864694805,0,True
5,10000,44,ridge_regression,,0.1,0.2529874712228775,0.31585943698883057,0.3853088109581559,0.3180519063899547,0.05404220220587418,1,False
5,10000,44,ridge_regression,,1.0,0.40726573864618937,0.44820648100641036,0.4973937990488829,0.4509553395671609,0.036845931349590945,2,False
5,10000,44,ridge_regression,,10.0,0.7814021110534668,0.7898452392330876,0.74702959590488,0.7727589820638116,0.018517065776393688,3,False
5,10000,44,ridge_regression,,100.0,0.9622736831506093,0.9704102034922,0.9589365190929837,0.9638734685785977,0.004818771868772337,4,False
5,1000,45,similarity_regression,0.05,,0.7087111009447921,0.6979466809316904,0.653219481663826,0.6866257545134361,0.02402710252793104,0,True
5,1000,45,similarity_regression,0.1,,0.843762652814141,0.8391599340173046,0.8005325643825957,0.8278183837380139,0.019385272906738048,1,False
5,1000,45,similarity_regression,0.2,,0.9165546567328842,0.9173580116489065,0.8968824775692771,0.910265048650356,0.009468588466974017,2,False
5,1000,45,similarity_regression,0.5,,0.9614180710966911,0.9664733569814118,0.9583987367334044,0.9620967216038357,0.003331195773344126,3,False
5,1000,45,similarity_regression,1.0,,0.976515947870547,0.9831661851385674,0.9791647529745054,0.9796156286612066,0.0027336033111244073,4,False
5,1000,45,similarity_regression,2.0,,0.9840854878256038,0.9915663480907958,0.9895761222476435,0.9884093193880145,0.003163530650160902,5,False
5,1000,45,ridge_regression,,0.01,0.3284987429777781,0.3610639583181452,0.4073071645365821,0.3656232886108352,0.03233452691974861,0,False
5,1000,45,ridge_regression,,0.1,0.31749453941981,0.33601745521580734,0.40802158249749076,0.3538445257110361,0.03904817293146554,1,True
5,1000,45,ridge_regression,,1.0,0.4615933398405711,0.4111930418897558,0.5118906906357518,0.46155902412202626,0.04110965011542829,2,False
5,1000,45,ridge_regression,,10.0,0.7976444125175476,0.7754020205250493,0.7626524446187196,0.7785662925537721,0.014459573932449746,3,False
5,1000,45,ridge_regression,,100.0,0.9641915321350097,0.9677142478801586,0.960847137150941,0.9642509723887032,0.002803801264908407,4,False
5,2000,45,similarity_regression,0.05,,0.7127137561491376,0.714553637835516,0.6485768266716394,0.6919480735520976,0.03067729978479431,0,True
5,2000,45,similarity_regression,0.1,,0.8451004560863308,0.8482298203289602,0.7975660399216402,0.8302987721123104,0.023180768575701772,1,False
5,2000,45,similarity_regression,0.2,,0.9169946640644853,0.9219808359829218,0.8963854495591836,0.9117869832021969,0.011079136744882345,2,False
5,2000,45,similarity_regression,0.5,,0.9615317464000994,0.968329473201649,0.9582390135368845,0.9627000777128777,0.004201435675565629,3,False
5,2000,45,similarity_regression,1.0,,0.9765617942316805,0.9840942154151684,0.9790903890624365,0.9799154662364286,0.003129952766272579,4,False
5,2000,45,similarity_regression,2.0,,0.9841056069474766,0.9920302438776992,0.9895402266038632,0.9885586924763463,0.0033088290528596564,5,False
5,2000,45,ridge_regression,,0.01,0.2540406535069148,0.3337497622878463,0.3612617728886781,0.3163507295611464,0.045468940792869186,0,True
5,2000,45,ridge_regression,,0.1,0.27147181928157804,0.32402385826464053,0.3761427645330076,0.32387948069307537,0.042731856411966,1,False
5,2000,45,ridge_regression,,1.0,0.4363266865412394,0.43777027836552374,0.49064732480932166,0.45491476323869495,0.025273608852420974,2,False
