outer_fold,inner_fold,dimension,levels,k,effective_k,seed,train_rows,validation_rows,train_subjects,validation_subjects,subject_overlap_count,preprocessing_seconds,encoding_seconds,prototype_training_seconds,inference_seconds,model_bytes,codebook_hashes,macro_f1,balanced_accuracy,accuracy,severe_error_rate,recall_class_0,recall_class_1,recall_class_2,recall_class_3
2,1,2000,21,50,50,42,216,119,18,10,0,0.0412036000052467,0.2691247999900952,0.0007036999886622652,0.0132543999934569,233408,"{""identity_codebook_sha256"": ""3907fbd25d07d07a1d4568354f5baf7062fad04b4ded0db8e7dad4edb57a49f5"", ""level_codebook_sha256"": ""b688dfaa8d4bcadbca58f6ad34df3d5e8c11cf772266c4725995b12f41d5b215"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.7378653898134919,0.7456896551724138,0.7478991596638656,0.05042016806722689,0.8,0.7,0.4827586206896552,1.0
2,1,5000,21,50,50,42,216,119,18,10,0,0.0412036000052467,0.2691247999900952,0.0013930999994045123,0.002248899996629916,497408,"{""identity_codebook_sha256"": ""3907fbd25d07d07a1d4568354f5baf7062fad04b4ded0db8e7dad4edb57a49f5"", ""level_codebook_sha256"": ""b688dfaa8d4bcadbca58f6ad34df3d5e8c11cf772266c4725995b12f41d5b215"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.7111356100516721,0.7209770114942529,0.7226890756302521,0.05042016806722689,0.8,0.5666666666666667,0.5172413793103449,1.0
2,1,2000,21,100,100,42,216,119,18,10,0,0.0412036000052467,0.5341732999950182,0.0005804999964311719,0.00098230000003241,334208,"{""identity_codebook_sha256"": ""3907fbd25d07d07a1d4568354f5baf7062fad04b4ded0db8e7dad4edb57a49f5"", ""level_codebook_sha256"": ""b688dfaa8d4bcadbca58f6ad34df3d5e8c11cf772266c4725995b12f41d5b215"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.6789453860640302,0.6876436781609196,0.6890756302521008,0.05042016806722689,0.8,0.5,0.5172413793103449,0.9333333333333333
2,1,5000,21,100,100,42,216,119,18,10,0,0.0412036000052467,0.5341732999950182,0.0016331000078935176,0.002401499994448386,748208,"{""identity_codebook_sha256"": ""3907fbd25d07d07a1d4568354f5baf7062fad04b4ded0db8e7dad4edb57a49f5"", ""level_codebook_sha256"": ""b688dfaa8d4bcadbca58f6ad34df3d5e8c11cf772266c4725995b12f41d5b215"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.6337800637496378,0.6451149425287357,0.6470588235294118,0.07563025210084033,0.7666666666666667,0.4666666666666667,0.41379310344827586,0.9333333333333333
2,1,2000,21,200,200,42,216,119,18,10,0,0.0412036000052467,1.0617815000005066,0.0006877000123495236,0.0007214000070234761,535808,"{""identity_codebook_sha256"": ""3907fbd25d07d07a1d4568354f5baf7062fad04b4ded0db8e7dad4edb57a49f5"", ""level_codebook_sha256"": ""b688dfaa8d4bcadbca58f6ad34df3d5e8c11cf772266c4725995b12f41d5b215"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.6485990071704357,0.6704022988505747,0.6722689075630253,0.03361344537815126,0.8666666666666667,0.4,0.4482758620689655,0.9666666666666667
2,1,5000,21,200,200,42,216,119,18,10,0,0.0412036000052467,1.0617815000005066,0.001596300004166551,0.00289949998841621,1249808,"{""identity_codebook_sha256"": ""3907fbd25d07d07a1d4568354f5baf7062fad04b4ded0db8e7dad4edb57a49f5"", ""level_codebook_sha256"": ""b688dfaa8d4bcadbca58f6ad34df3d5e8c11cf772266c4725995b12f41d5b215"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.6650933582982265,0.6790229885057472,0.680672268907563,0.058823529411764705,0.7666666666666667,0.4666666666666667,0.4827586206896552,1.0
2,1,2000,21,all,1414,42,216,119,18,10,0,0.0412036000052467,7.503238199991756,0.0007591000030515715,0.0009616000024834648,2983232,"{""identity_codebook_sha256"": ""3907fbd25d07d07a1d4568354f5baf7062fad04b4ded0db8e7dad4edb57a49f5"", ""level_codebook_sha256"": ""b688dfaa8d4bcadbca58f6ad34df3d5e8c11cf772266c4725995b12f41d5b215"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.556944828221424,0.5772988505747126,0.5798319327731093,0.08403361344537816,0.4666666666666667,0.6,0.27586206896551724,0.9666666666666667
2,1,5000,21,all,1414,42,216,119,18,10,0,0.0412036000052467,7.503238199991756,0.0015783999988343567,0.0024422000133199617,7339232,"{""identity_codebook_sha256"": ""3907fbd25d07d07a1d4568354f5baf7062fad04b4ded0db8e7dad4edb57a49f5"", ""level_codebook_sha256"": ""b688dfaa8d4bcadbca58f6ad34df3d5e8c11cf772266c4725995b12f41d5b215"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.5485651608504151,0.5606321839080459,0.5630252100840336,0.08403361344537816,0.5333333333333333,0.5,0.27586206896551724,0.9333333333333333
2,1,2000,51,50,50,42,216,119,18,10,0,0.0412036000052467,0.2891158999991603,0.000666000007186085,0.0007654999935766682,293408,"{""identity_codebook_sha256"": ""3907fbd25d07d07a1d4568354f5baf7062fad04b4ded0db8e7dad4edb57a49f5"", ""level_codebook_sha256"": ""42ff272813ff05401b57eaec902c01c74e93bf685811652e949e7f5108c88a2b"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.7282067247820672,0.7387931034482759,0.7394957983193278,0.04201680672268908,0.8,0.5,0.6551724137931034,1.0
2,1,5000,51,50,50,42,216,119,18,10,0,0.0412036000052467,0.2891158999991603,0.0015061000012792647,0.0023379000049317256,647408,"{""identity_codebook_sha256"": ""3907fbd25d07d07a1d4568354f5baf7062fad04b4ded0db8e7dad4edb57a49f5"", ""level_codebook_sha256"": ""42ff272813ff05401b57eaec902c01c74e93bf685811652e949e7f5108c88a2b"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.7634028847388011,0.7724137931034483,0.773109243697479,0.03361344537815126,0.8666666666666667,0.5333333333333333,0.6896551724137931,1.0
