run_key,subject_id,outer_fold,dimension,seed,levels,feature_k,true_class,predicted_class,similarity_class_0,similarity_class_1,similarity_class_2,similarity_class_3
sub-cp004_ses-20210330_level-01B_run-001,sub-cp004,1,1000,42,51,50,0,0,0.9089961051940918,0.906092882156372,0.8682116866111755,0.7862852215766907
sub-cp004_ses-20210330_level-01B_run-007,sub-cp004,1,1000,42,51,50,0,0,0.9099246859550476,0.8855385780334473,0.8774380683898926,0.8709524273872375
sub-cp004_ses-20210330_level-01B_run-012,sub-cp004,1,1000,42,51,50,0,1,0.9203515648841858,0.9235782623291016,0.8846968412399292,0.8027163147926331
sub-cp004_ses-20210330_level-02B_run-003,sub-cp004,1,1000,42,51,50,1,2,0.901540756225586,0.8990523219108582,0.9110466241836548,0.8803715705871582
sub-cp004_ses-20210330_level-02B_run-008,sub-cp004,1,1000,42,51,50,1,1,0.8926792144775391,0.9140619039535522,0.8839257955551147,0.7944484353065491
sub-cp004_ses-20210330_level-02B_run-010,sub-cp004,1,1000,42,51,50,1,2,0.9088369011878968,0.9342036247253418,0.9346842765808104,0.8497071266174316
sub-cp004_ses-20210330_level-03B_run-002,sub-cp004,1,1000,42,51,50,2,2,0.8956507444381714,0.924635648727417,0.9397096037864684,0.8612717390060425
sub-cp004_ses-20210330_level-03B_run-005,sub-cp004,1,1000,42,51,50,2,2,0.8601781129837036,0.8580725789070129,0.8899614810943604,0.8655102849006653
sub-cp004_ses-20210330_level-03B_run-011,sub-cp004,1,1000,42,51,50,2,2,0.9046714305877686,0.9373757243156432,0.9502919912338256,0.8528991937637329
sub-cp004_ses-20210330_level-04B_run-004,sub-cp004,1,1000,42,51,50,3,3,0.8422958850860596,0.8290850520133972,0.8673076629638672,0.9174723029136658
sub-cp004_ses-20210330_level-04B_run-006,sub-cp004,1,1000,42,51,50,3,3,0.8219992518424988,0.80507493019104,0.8426064252853394,0.9122394919395448
sub-cp004_ses-20210330_level-04B_run-009,sub-cp004,1,1000,42,51,50,3,3,0.8442857265472412,0.8247266411781311,0.8607933521270752,0.9141232967376708
sub-cp011_ses-20210408_level-01B_run-001,sub-cp011,1,1000,42,51,50,0,0,0.901275396347046,0.8746553659439087,0.8556350469589233,0.868336021900177
sub-cp011_ses-20210408_level-01B_run-007,sub-cp011,1,1000,42,51,50,0,0,0.821229875087738,0.7929795980453491,0.7821163535118103,0.8096759915351868
sub-cp011_ses-20210408_level-01B_run-012,sub-cp011,1,1000,42,51,50,0,0,0.8662803769111633,0.8397619724273682,0.834496796131134,0.8595448732376099
sub-cp011_ses-20210408_level-02B_run-003,sub-cp011,1,1000,42,51,50,1,3,0.6982563138008118,0.6831415295600891,0.7152449488639832,0.758027970790863
sub-cp011_ses-20210408_level-02B_run-008,sub-cp011,1,1000,42,51,50,1,0,0.8992325067520142,0.8915991187095642,0.8964492082595825,0.8835635781288147
sub-cp011_ses-20210408_level-02B_run-010,sub-cp011,1,1000,42,51,50,1,2,0.9057857990264891,0.9264408946037292,0.9382206201553344,0.8623182773590088
sub-cp011_ses-20210408_level-03B_run-002,sub-cp011,1,1000,42,51,50,2,3,0.7480294108390808,0.752257764339447,0.7787927389144897,0.8088387250900269
sub-cp011_ses-20210408_level-03B_run-005,sub-cp011,1,1000,42,51,50,2,3,0.8720377087593079,0.8554162979125977,0.8787143230438232,0.8833019137382507
sub-cp011_ses-20210408_level-03B_run-011,sub-cp011,1,1000,42,51,50,2,3,0.8066905736923218,0.7897300720214844,0.8296575546264648,0.864777684211731
sub-cp011_ses-20210408_level-04B_run-004,sub-cp011,1,1000,42,51,50,3,3,0.7461987137794495,0.7263391613960266,0.7666947245597839,0.8369390368461609
sub-cp011_ses-20210408_level-04B_run-006,sub-cp011,1,1000,42,51,50,3,3,0.7740568518638611,0.7748236656188965,0.8139700293540955,0.8791679739952087
sub-cp011_ses-20210408_level-04B_run-009,sub-cp011,1,1000,42,51,50,3,3,0.8130050897598267,0.7975185513496399,0.8241270780563354,0.8874881863594055
sub-cp016_ses-20210528_level-01B_run-001,sub-cp016,1,1000,42,51,50,0,0,0.9483423233032228,0.928039848804474,0.8887118101119995,0.8199846744537354
sub-cp016_ses-20210528_level-01B_run-007,sub-cp016,1,1000,42,51,50,0,0,0.9076164364814758,0.8858222365379333,0.8634256720542908,0.7997859716415405
sub-cp016_ses-20210528_level-01B_run-012,sub-cp016,1,1000,42,51,50,0,0,0.9403828382492064,0.9110187292099,0.8886586427688599,0.8307642936706543
sub-cp016_ses-20210528_level-02B_run-003,sub-cp016,1,1000,42,51,50,1,1,0.930911123752594,0.935596227645874,0.906553030014038,0.8117691278457642
sub-cp016_ses-20210528_level-02B_run-008,sub-cp016,1,1000,42,51,50,1,1,0.9165045022964478,0.93180513381958,0.8938168883323669,0.7902098894119263
sub-cp016_ses-20210528_level-02B_run-010,sub-cp016,1,1000,42,51,50,1,1,0.8980916142463684,0.9189619421958924,0.8877546191215515,0.7875410914421082
sub-cp016_ses-20210528_level-03B_run-002,sub-cp016,1,1000,42,51,50,2,2,0.83651202917099,0.8650873899459839,0.8692752122879028,0.7736217975616455
sub-cp016_ses-20210528_level-03B_run-005,sub-cp016,1,1000,42,51,50,2,1,0.8503614664077759,0.8790137767791748,0.8789536356925964,0.7857619524002075
sub-cp016_ses-20210528_level-03B_run-011,sub-cp016,1,1000,42,51,50,2,1,0.8465144038200378,0.8754290342330933,0.8713225722312927,0.779011607170105
sub-cp016_ses-20210528_level-04B_run-004,sub-cp016,1,1000,42,51,50,3,3,0.8742132782936096,0.8675373792648315,0.8985497355461121,0.9307637214660645
sub-cp016_ses-20210528_level-04B_run-006,sub-cp016,1,1000,42,51,50,3,3,0.8702600598335266,0.8604452610015869,0.8948538899421692,0.945206344127655
sub-cp016_ses-20210528_level-04B_run-009,sub-cp016,1,1000,42,51,50,3,3,0.8796787858009338,0.8668152689933777,0.8987092971801758,0.9165827631950378
sub-cp027_ses-20210722_level-01B_run-001,sub-cp027,1,1000,42,51,50,0,1,0.9169555306434632,0.922546684741974,0.8872494101524353,0.8048094511032104
sub-cp027_ses-20210722_level-01B_run-007,sub-cp027,1,1000,42,51,50,0,1,0.927117109298706,0.9307219982147216,0.8874355554580688,0.7998905777931213
