run_key,subject_id,outer_fold,dimension,seed,levels,feature_k,true_class,predicted_class,target_score,similarity_temperature,similarity_prediction,ridge_alpha,ridge_prediction_raw,ridge_prediction_bounded,similarity_class_0,similarity_class_1,similarity_class_2,similarity_class_3
sub-cp004_ses-20210330_level-01B_run-001,sub-cp004,1,1000,42,51,50,0,0,1.0,0.05,1.843921024566932,0.1,0.9586649138046606,1.0,0.9089961051940918,0.906092882156372,0.8682116866111755,0.7862852215766907
sub-cp004_ses-20210330_level-01B_run-007,sub-cp004,1,1000,42,51,50,0,0,1.0,0.05,2.1693751367292577,0.1,1.3506682113504145,1.3506682113504145,0.9099246859550476,0.8855385780334473,0.8774380683898926,0.8709524273872375
sub-cp004_ses-20210330_level-01B_run-012,sub-cp004,1,1000,42,51,50,0,1,1.0,0.05,1.879463049944838,0.1,1.1691748241957265,1.1691748241957265,0.9203515648841858,0.9235782623291016,0.8846968412399292,0.8027163147926331
sub-cp004_ses-20210330_level-02B_run-003,sub-cp004,1,1000,42,51,50,1,2,2.0,0.05,2.3981074957376864,0.1,1.9612252548810896,1.9612252548810896,0.901540756225586,0.8990523219108582,0.9110466241836548,0.8803715705871582
sub-cp004_ses-20210330_level-02B_run-008,sub-cp004,1,1000,42,51,50,1,1,2.0,0.05,2.03410479773784,0.1,1.8779735355578109,1.8779735355578109,0.8926792144775391,0.9140619039535522,0.8839257955551147,0.7944484353065491
sub-cp004_ses-20210330_level-02B_run-010,sub-cp004,1,1000,42,51,50,1,2,2.0,0.05,2.277734384049141,0.1,2.6768078806192763,2.6768078806192763,0.9088369011878968,0.9342036247253418,0.9346842765808104,0.8497071266174316
sub-cp004_ses-20210330_level-03B_run-002,sub-cp004,1,1000,42,51,50,2,2,3.0,0.05,2.424291355575436,0.1,2.868936766694456,2.868936766694456,0.8956507444381714,0.924635648727417,0.9397096037864684,0.8612717390060425
sub-cp004_ses-20210330_level-03B_run-005,sub-cp004,1,1000,42,51,50,2,2,3.0,0.05,2.6221041612765195,0.1,2.8928932874281315,2.8928932874281315,0.8601781129837036,0.8580725789070129,0.8899614810943604,0.8655102849006653
sub-cp004_ses-20210330_level-03B_run-011,sub-cp004,1,1000,42,51,50,2,2,3.0,0.05,2.3814428595865142,0.1,3.132468600362776,3.132468600362776,0.9046714305877686,0.9373757243156432,0.9502919912338256,0.8528991937637329
sub-cp004_ses-20210330_level-04B_run-004,sub-cp004,1,1000,42,51,50,3,3,4.0,0.05,3.218552586496851,0.1,3.931801745477447,3.931801745477447,0.8422958850860596,0.8290850520133972,0.8673076629638672,0.9174723029136658
sub-cp004_ses-20210330_level-04B_run-006,sub-cp004,1,1000,42,51,50,3,3,4.0,0.05,3.3618631005995647,0.1,3.2601447346553685,3.2601447346553685,0.8219992518424988,0.80507493019104,0.8426064252853394,0.9122394919395448
sub-cp004_ses-20210330_level-04B_run-009,sub-cp004,1,1000,42,51,50,3,3,4.0,0.05,3.192108195694921,0.1,3.544819156414092,3.544819156414092,0.8442857265472412,0.8247266411781311,0.8607933521270752,0.9141232967376708
