source_phase,method,method_type,dimension,seed_count,aggregation,macro_f1_mean,macro_f1_sample_sd,balanced_accuracy_mean,balanced_accuracy_sample_sd,accuracy_mean,accuracy_sample_sd,severe_error_rate_mean,severe_error_rate_sample_sd
04A,Gradient Boosting,traditional_baseline,,1,canonical OOF,0.9356075023489924,,0.9356862084456424,,0.935560859188544,,0.014319809069212411,
04A,Random Forest,traditional_baseline,,1,canonical OOF,0.930234437791108,,0.9311277558919068,,0.9307875894988068,,0.014319809069212411,
04A,RBF SVM,traditional_baseline,,1,canonical OOF,0.8873492392489528,,0.8880865989356554,,0.8878281622911695,,0.0405727923627685,
04A,Linear SVM,traditional_baseline,,1,canonical OOF,0.8573296104042126,,0.8568828184394222,,0.8568019093078759,,0.01909307875894988,
04A,Logistic Regression,traditional_baseline,,1,canonical OOF,0.8424750347354124,,0.8426411638675789,,0.8424821002386634,,0.026252983293556086,
04A,KNN,traditional_baseline,,1,canonical OOF,0.7532789211524841,,0.7565096067454558,,0.7565632458233891,,0.059665871121718374,
05,Vanilla HDC D=1000,HDC preregistered dimension,1000.0,5,mean ± sample SD across five preregistered seeds,0.7568852136748837,0.023091755688514532,0.7611304340313774,0.022878210166053275,0.7613365155131265,0.02282950652709902,0.045346062052505964,0.0029230187861374454
05,Vanilla HDC D=2000,HDC preregistered dimension,2000.0,5,mean ± sample SD across five preregistered seeds,0.7742097349496994,0.01674704816570431,0.7778937728937729,0.01620531860329858,0.7780429594272077,0.016186945067124762,0.044868735083532216,0.004269342200476925
05,Vanilla HDC D=5000,HDC preregistered dimension,5000.0,5,mean ± sample SD across five preregistered seeds,0.7797642795463223,0.011621972585294089,0.7831913055497962,0.01138729238314311,0.7832935560859189,0.011371006443505086,0.04295942720763723,0.0016876056830227846
05,Vanilla HDC D=10000,HDC preregistered dimension,10000.0,5,mean ± sample SD across five preregistered seeds,0.7710611339013778,0.005569866250664318,0.774505753680282,0.00522593445412572,0.7747016706443914,0.005228854964249828,0.04295942720763723,0.00446498494841759
