dimension,seed,oof_rows,recall_class_0,recall_class_1,recall_class_2,recall_class_3,similarity_margin_mean,similarity_margin_std,similarity_margin_min,similarity_margin_max
1000,42,419,0.7115384615384616,0.6509433962264151,0.6826923076923077,0.9904761904761905,0.021318167803680132,0.0191037269844482,5.5670738220214844e-05,0.08450245857238758
1000,43,419,0.6346153846153846,0.660377358490566,0.6057692307692307,0.9904761904761905,0.019780970700885345,0.01918401826497017,2.6226043701171875e-06,0.08801782131195068
1000,44,419,0.7788461538461539,0.7075471698113207,0.6442307692307693,0.9904761904761905,0.019965368694223485,0.018080265670805586,3.272294998168945e-05,0.0903814435005188
1000,45,419,0.7115384615384616,0.6981132075471698,0.6730769230769231,0.9904761904761905,0.019717467997694357,0.018474781251091654,3.1828880310058594e-05,0.0970693826675415
1000,46,419,0.7115384615384616,0.7264150943396226,0.6634615384615384,1.0,0.018235483431303986,0.01599552700159609,2.3126602172851562e-05,0.08907145261764537
2000,42,419,0.7403846153846154,0.6698113207547169,0.7115384615384616,1.0,0.019810589372684963,0.018119357451719612,1.4424324035755554e-05,0.08613502979278564
2000,43,419,0.7019230769230769,0.6698113207547169,0.6346153846153846,1.0,0.01984836349623869,0.01881707736746033,4.756450653076172e-05,0.0881165862083435
2000,44,419,0.7307692307692307,0.7075471698113207,0.6730769230769231,0.9904761904761905,0.020459049783629283,0.018176220449119596,0.0001138448715209961,0.08542490005493164
2000,45,419,0.75,0.7169811320754716,0.7019230769230769,1.0,0.0196876414920379,0.018741578409849434,0.00010001659393299445,0.09658700227737427
2000,46,419,0.7403846153846154,0.7358490566037735,0.6923076923076923,0.9904761904761905,0.020006571436269757,0.01837723285362666,2.8371810913085938e-05,0.08690720796585083
5000,42,419,0.7403846153846154,0.6792452830188679,0.7115384615384616,1.0,0.020705767491552313,0.018919494323765496,8.881092071644225e-06,0.08045369386672974
5000,43,419,0.7115384615384616,0.6981132075471698,0.6730769230769231,1.0,0.01954645985350689,0.017820425805033097,2.6404857635498047e-05,0.07612669467926025
5000,44,419,0.7307692307692307,0.6792452830188679,0.6923076923076923,0.9904761904761905,0.0196904040748578,0.01779058694194871,3.5881996154785156e-05,0.08146554231643677
5000,45,419,0.75,0.7075471698113207,0.7211538461538461,1.0,0.019416911363032672,0.018081059115955648,4.3690204620250306e-05,0.08877789974212646
5000,46,419,0.75,0.7264150943396226,0.7115384615384616,0.9904761904761905,0.01997582753120004,0.01804890010302405,4.589557647594056e-06,0.08027291297912598
10000,42,419,0.7403846153846154,0.6698113207547169,0.6826923076923077,1.0,0.020193863171097202,0.018401838206565067,0.0003966689109802246,0.08158653974533081
10000,43,419,0.6923076923076923,0.7075471698113207,0.6730769230769231,1.0,0.020000335709291883,0.018139488687641182,8.064508438110352e-05,0.07977467775344849
10000,44,419,0.7211538461538461,0.7075471698113207,0.6730769230769231,0.9904761904761905,0.019631905458992013,0.01796142722854905,8.660554885864258e-05,0.08016550540924072
10000,45,419,0.7115384615384616,0.7264150943396226,0.7019230769230769,0.9904761904761905,0.019713117143134798,0.018185522673859183,2.3543834686279297e-05,0.08747178316116333
10000,46,419,0.7115384615384616,0.7169811320754716,0.6826923076923077,0.9904761904761905,0.01999740199428185,0.018272650372413386,6.556510924182746e-07,0.08106756210327148
