dimension,seed,oof_rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,severe_error_rate
1000,42,419,0.7589498806682577,0.7589125889833437,0.7546471780921542,0.7544470271628806,0.04295942720763723
1000,43,419,0.7231503579952268,0.722809541087843,0.7181925176407058,0.7180765021878829,0.045346062052505964
1000,44,419,0.7804295942720764,0.7802750708411086,0.7761139146474305,0.7760173131462748,0.045346062052505964
1000,45,419,0.7684964200477327,0.7683011956596862,0.7641619328906031,0.7641059475519,0.050119331742243436
1000,46,419,0.7756563245823389,0.7753537735849056,0.7713105251035247,0.7712708201995179,0.04295942720763723
2000,42,419,0.7804295942720764,0.7804335994194485,0.776237410194859,0.7760891622263143,0.0477326968973747
2000,43,419,0.7517899761336515,0.7515874455732946,0.7468325721443744,0.7466919713181929,0.0477326968973747
2000,44,419,0.7756563245823389,0.7754673785334163,0.7726129244404978,0.7724530437182872,0.03818615751789976
2000,45,419,0.7923627684964201,0.7922260522496372,0.7888302037446727,0.7887413353921364,0.04295942720763723
2000,46,419,0.7899761336515513,0.789754388693068,0.7865355642240927,0.7864929313661663,0.0477326968973747
5000,42,419,0.7828162291169452,0.7827920899854862,0.7787372484382545,0.7785934548617194,0.04295942720763723
5000,43,419,0.7708830548926014,0.7706821480406386,0.767216495456205,0.7670716081782624,0.0405727923627685
5000,44,419,0.7732696897374701,0.7731995991429954,0.7696755625327053,0.7694955345824762,0.04295942720763723
5000,45,419,0.7947494033412887,0.7946752539912917,0.7915073910589254,0.7913700264864667,0.04295942720763723
5000,46,419,0.7947494033412887,0.7946074365885687,0.7916847002455213,0.7915932936803874,0.045346062052505964
10000,42,419,0.7732696897374701,0.77322206095791,0.7688758922633354,0.7687151973650395,0.04295942720763723
10000,43,419,0.7684964200477327,0.7682329462989841,0.7645791275111784,0.764472373313711,0.0477326968973747
10000,44,419,0.7732696897374701,0.77306353237957,0.7700036264310369,0.7698624280334764,0.03579952267303103
10000,45,419,0.7828162291169452,0.7825882058193379,0.7797247085370791,0.7796275588484242,0.04295942720763723
10000,46,419,0.7756563245823389,0.7754220229456079,0.7721223147642584,0.7720347780555448,0.045346062052505964
