dimension,seed,oof_rows,classification_similarity_agreement_rate,classification_ridge_agreement_rate,classification_similarity_mean_absolute_difference,classification_ridge_mean_absolute_difference,classification_margin_mean,similarity_integer_distance_mean,ridge_integer_distance_mean,classification_margin_minus_similarity_integer_distance_mean,classification_margin_minus_ridge_integer_distance_mean
1000,42,419,0.28162291169451076,0.6921241050119332,0.7042152050889876,0.4057069890357221,0.021318167803680132,0.19992434546153803,0.20520097131798967,-0.17860617765785786,-0.1838828035143095
1000,43,419,0.3317422434367542,0.6706443914081146,0.6893384448825747,0.41144688078441877,0.019780970700885345,0.20461086258829525,0.22058414959967135,-0.1848298918874099,-0.200803178898786
1000,44,419,0.31026252983293556,0.684964200477327,0.7053038598107664,0.40115658578427954,0.019965368694223485,0.20071837345551558,0.2119361824808993,-0.18075300476129202,-0.1919708137866758
1000,45,419,0.2935560859188544,0.6730310262529833,0.7285212598797691,0.4222540938674926,0.019717467997694357,0.1964361634699149,0.22561722349304242,-0.17671869547222055,-0.20589975549534809
1000,46,419,0.315035799522673,0.7016706443914081,0.7071166025469496,0.38479694630473354,0.018235483431303986,0.19080143187820509,0.22718810980768242,-0.1725659484469011,-0.2089526263763784
2000,42,419,0.2577565632458234,0.6754176610978521,0.7355948819039743,0.4060763673848323,0.019810589372684963,0.19288417084907672,0.19274464200732935,-0.17307358147639176,-0.17293405263464437
2000,43,419,0.3126491646778043,0.6706443914081146,0.6988680950140941,0.410706791236209,0.01984836349623869,0.20331205252574755,0.21290796633891793,-0.18346368902950885,-0.19305960284267926
2000,44,419,0.3031026252983294,0.711217183770883,0.6972297802814288,0.3943480823480474,0.020459049783629283,0.19781641223746604,0.20143537373367937,-0.17735736245383676,-0.1809763239500501
2000,45,419,0.28162291169451076,0.6730310262529833,0.7272620057723864,0.41197564349712196,0.0196876414920379,0.1946036791149085,0.21506494417357133,-0.17491603762287058,-0.19537730268153344
2000,46,419,0.2935560859188544,0.6945107398568019,0.6986684481436035,0.38663420229164164,0.020006571436269757,0.195553435920942,0.1957464710790431,-0.17554686448467222,-0.17573989964277337
5000,42,419,0.26968973747016706,0.6968973747016707,0.7129861603844766,0.3715217506064776,0.020705767491552313,0.19672683453415563,0.18842650712920697,-0.17602106704260334,-0.16772073963765466
5000,43,419,0.29832935560859186,0.7183770883054893,0.7134320391951826,0.3718003889481536,0.01954645985350689,0.19434203256781868,0.20341779179968567,-0.17479557271431181,-0.18387133194617877
5000,44,419,0.28878281622911695,0.7159904534606205,0.7255588908408053,0.38294894309225364,0.0196904040748578,0.19735833751782128,0.20278803570938406,-0.17766793344296344,-0.18309763163452628
5000,45,419,0.28162291169451076,0.720763723150358,0.7249631391322996,0.3750701355781672,0.019416911363032672,0.1945328276817006,0.19500975200944287,-0.17511591631866794,-0.1755928406464102
5000,46,419,0.2911694510739857,0.747016706443914,0.6980358250229888,0.3642571852953982,0.01997582753120004,0.19457005922371265,0.19609004322096554,-0.17459423169251262,-0.17611421568976546
10000,42,419,0.27923627684964203,0.6968973747016707,0.7239516753497497,0.3773352850273742,0.020193863171097202,0.19519214147677766,0.18297995219635285,-0.17499827830568046,-0.1627860890252556
10000,43,419,0.29594272076372313,0.7136038186157518,0.7075975372032756,0.3747593752978049,0.020000335709291883,0.1937830061844028,0.19817334217518465,-0.17378267047511092,-0.17817300646589276
10000,44,419,0.29594272076372313,0.7231503579952268,0.7192483827526854,0.3710136552970556,0.019631905458992013,0.1944320348062928,0.19671392581152625,-0.17480012934730083,-0.1770820203525342
10000,45,419,0.29594272076372313,0.711217183770883,0.7095879333519494,0.36872014248199425,0.019713117143134798,0.19330703480953088,0.18817986140223603,-0.1735939176663961,-0.16846674425910121
10000,46,419,0.28878281622911695,0.7183770883054893,0.707160448537197,0.370795233763278,0.01999740199428185,0.19481320940862265,0.18302518924650799,-0.1748158074143408,-0.1630277872522261
