dimension,seed,folds,fit_time_seconds,prediction_time_seconds,measured_total_runtime_seconds,model_artifact_size_bytes_across_folds,peak_memory,encoding_throughput
1000,42,5,3.629278175019862,0.0093666000175286,3.638644775037391,35072,,
1000,43,5,3.6127987999861944,0.0129747000028143,3.6257734999890086,34753,,
1000,44,5,3.6316171749858768,0.0130009999993487,3.6446181749852253,35933,,
1000,45,5,3.618247650007106,0.0124286000063873,3.6306762500134937,36379,,
1000,46,5,3.6474562249895826,0.0131915999954796,3.660647824985062,34587,,
2000,42,5,3.6569088750366063,0.014340500027174002,3.6712493750637805,65412,,
2000,43,5,3.6399969999984023,0.0118006000120657,3.651797600010468,65494,,
2000,44,5,3.659507174968894,0.015104399994015501,3.6746115749629094,66962,,
2000,45,5,3.653079850028007,0.0123467000230446,3.665426550051052,67211,,
2000,46,5,3.683644325032219,0.013101700009428799,3.696746025041648,67358,,
5000,42,5,3.7792755750233478,0.0277895999897735,3.8070651750131215,158491,,
5000,43,5,3.767244499984372,0.0291698999935758,3.796414399977947,156505,,
5000,44,5,3.786000674990646,0.0290424000122581,3.815043075002904,158671,,
5000,45,5,3.765687950010033,0.0274019000062251,3.7930898500162584,157922,,
5000,46,5,3.805833825008449,0.0273408999928503,3.833174725001299,158728,,
10000,42,5,3.9129713750116935,0.04934059998777209,3.962311974999465,309995,,
10000,43,5,3.8983031999887316,0.0526158999855396,3.9509190999742714,309823,,
10000,44,5,3.91057267497672,0.0513989000173748,3.961971574994095,310020,,
10000,45,5,3.9229735500084644,0.047411899984581195,3.9703854499930458,308937,,
10000,46,5,3.9299119250172225,0.0469645999983184,3.976876525015541,309496,,
