dimension,seed,folds,oof_rows,warmups_per_fold,timed_repetitions_per_fold,complete_oof_inference_seconds_sum_of_fold_medians,complete_inference_nanoseconds_per_sample,encoding_throughput_rows_per_second,maximum_total_model_component_bytes_across_folds,maximum_inference_python_peak_allocated_bytes_across_folds
1000,42,5,419,5,30,0.0635962,151780.90692124105,8552.0850554865,181224,4703200
1000,43,5,419,5,30,0.06396595,152663.36515513127,8717.579550514109,181224,4703200
1000,44,5,419,5,30,0.0638697,152433.65155131265,8602.95416001084,181224,4703200
1000,45,5,419,5,30,0.06489635,154883.89021479714,8425.565457996847,181224,4703200
1000,46,5,419,5,30,0.06479255,154636.15751789976,8596.388285933519,181224,4703200
2000,42,5,419,5,30,0.1178631,281296.1813842482,4238.010299679924,307224,4703200
2000,43,5,419,5,30,0.1189182,283814.3198090692,4221.058548802086,307224,4703200
2000,44,5,419,5,30,0.11287815,269398.9260143198,4398.386768308941,307224,4703200
2000,45,5,419,5,30,0.1223636,292037.23150357994,4176.1123384185885,307224,4703200
2000,46,5,419,5,30,0.1144679,273193.0787589499,4324.971549635242,307224,4703200
5000,42,5,419,5,30,0.38204385,911799.1646778043,1198.1475894786058,685224,5481744
5000,43,5,419,5,30,0.39820705,950374.8210023866,1153.5992641193047,685224,5481744
5000,44,5,419,5,30,0.3903344,931585.6801909308,1175.9551688842823,685224,5481744
5000,45,5,419,5,30,0.41155885,982240.6921241051,1118.944314761439,685224,5481744
5000,46,5,419,5,30,0.40051865,955891.7661097852,1147.5696515208926,685224,5481744
10000,42,5,419,5,30,0.74551015,1779260.5011933174,606.5702707315658,1315224,10941744
10000,43,5,419,5,30,0.74358835,1774673.8663484487,607.5538078434906,1315224,10941744
10000,44,5,419,5,30,0.7448027,1777572.076372315,606.8321918539802,1315224,10941744
10000,45,5,419,5,30,0.78633445,1876693.198090692,575.453014742035,1315224,10941744
10000,46,5,419,5,30,0.7403541,1766954.892601432,611.0352826209535,1315224,10941744
