variant,outer_fold,dimension,seed,levels,feature_k,selected_structure_parameters,selected_temperature,model_training_and_inference_seconds,model_bytes,preprocessing_seconds,encoding_seconds,preprocessing_bytes,quantizer_state_sha256,outer_test_feature_access_after_inner_selection,outer_test_label_access_before_prediction
hybrid,2,1000,42,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.17075730001670308,32000,0.06002400000579655,0.6510016999964137,60704,a6aab5f599d68e7c15eb272717861994b7b48b60e094a06f5fd59d7669af2daf,True,False
hybrid,2,1000,43,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.1577916000096593,32000,0.05864329999894835,0.6419696000230033,60704,a6aab5f599d68e7c15eb272717861994b7b48b60e094a06f5fd59d7669af2daf,True,False
hybrid,2,1000,44,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.15850570000475273,32000,0.06194860002142377,0.6380439999920782,60704,a6aab5f599d68e7c15eb272717861994b7b48b60e094a06f5fd59d7669af2daf,True,False
hybrid,2,1000,45,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.16184499999508262,32000,0.05855340001289733,0.6428837999992538,60704,a6aab5f599d68e7c15eb272717861994b7b48b60e094a06f5fd59d7669af2daf,True,False
hybrid,2,1000,46,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.15968829998746514,32000,0.06182630002149381,0.6520491999981459,60704,a6aab5f599d68e7c15eb272717861994b7b48b60e094a06f5fd59d7669af2daf,True,False
hybrid,2,2000,42,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.22347779999836348,64000,0.06002400000579655,0.6510016999964137,60704,a6aab5f599d68e7c15eb272717861994b7b48b60e094a06f5fd59d7669af2daf,True,False
hybrid,2,2000,43,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.2153595999989193,64000,0.05864329999894835,0.6419696000230033,60704,a6aab5f599d68e7c15eb272717861994b7b48b60e094a06f5fd59d7669af2daf,True,False
hybrid,2,2000,44,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.21392950002336875,64000,0.06194860002142377,0.6380439999920782,60704,a6aab5f599d68e7c15eb272717861994b7b48b60e094a06f5fd59d7669af2daf,True,False
hybrid,2,2000,45,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.2192114000208676,64000,0.05855340001289733,0.6428837999992538,60704,a6aab5f599d68e7c15eb272717861994b7b48b60e094a06f5fd59d7669af2daf,True,False
hybrid,2,2000,46,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.22063989998423494,64000,0.06182630002149381,0.6520491999981459,60704,a6aab5f599d68e7c15eb272717861994b7b48b60e094a06f5fd59d7669af2daf,True,False
