variant,outer_fold,dimension,seed,levels,feature_k,selected_structure_parameters,selected_temperature,model_training_and_inference_seconds,model_bytes,preprocessing_seconds,encoding_seconds,preprocessing_bytes,quantizer_state_sha256,outer_test_feature_access_after_inner_selection,outer_test_label_access_before_prediction
multicentroid,3,1000,42,51,50,"{""centroids_per_class"":2}",0.05,0.06378979998407885,32000,0.06372969999210909,0.6602593999996316,63424,ee57d76328639ed8a42861d13c80e46f6ab2387bd6899ed46353040b8b252583,True,False
multicentroid,3,1000,43,51,50,"{""centroids_per_class"":2}",0.05,0.05755540000973269,32000,0.06550700002117082,0.6596564000064973,63424,ee57d76328639ed8a42861d13c80e46f6ab2387bd6899ed46353040b8b252583,True,False
multicentroid,3,1000,44,51,50,"{""centroids_per_class"":2}",0.05,0.07700929997372441,32000,0.06192179999197833,0.6712645999796223,63424,ee57d76328639ed8a42861d13c80e46f6ab2387bd6899ed46353040b8b252583,True,False
multicentroid,3,1000,45,51,50,"{""centroids_per_class"":2}",0.05,0.07194290001643822,32000,0.06153509998694062,0.6475567999877967,63424,ee57d76328639ed8a42861d13c80e46f6ab2387bd6899ed46353040b8b252583,True,False
multicentroid,3,1000,46,51,50,"{""centroids_per_class"":2}",0.05,0.06026180001208559,32000,0.09154910000506788,0.9304770999879111,63424,ee57d76328639ed8a42861d13c80e46f6ab2387bd6899ed46353040b8b252583,True,False
multicentroid,3,2000,42,51,50,"{""centroids_per_class"":2}",0.05,0.1154466999869328,64000,0.06372969999210909,0.6602593999996316,63424,ee57d76328639ed8a42861d13c80e46f6ab2387bd6899ed46353040b8b252583,True,False
multicentroid,3,2000,43,51,50,"{""centroids_per_class"":2}",0.05,0.11983300000429153,64000,0.06550700002117082,0.6596564000064973,63424,ee57d76328639ed8a42861d13c80e46f6ab2387bd6899ed46353040b8b252583,True,False
multicentroid,3,2000,44,51,50,"{""centroids_per_class"":2}",0.05,0.15204660000745207,64000,0.06192179999197833,0.6712645999796223,63424,ee57d76328639ed8a42861d13c80e46f6ab2387bd6899ed46353040b8b252583,True,False
multicentroid,3,2000,45,51,50,"{""centroids_per_class"":2}",0.05,0.1392673999944236,64000,0.06153509998694062,0.6475567999877967,63424,ee57d76328639ed8a42861d13c80e46f6ab2387bd6899ed46353040b8b252583,True,False
multicentroid,3,2000,46,51,50,"{""centroids_per_class"":2}",0.05,0.12141340001835488,64000,0.09154910000506788,0.9304770999879111,63424,ee57d76328639ed8a42861d13c80e46f6ab2387bd6899ed46353040b8b252583,True,False
multicentroid,3,5000,42,51,50,"{""centroids_per_class"":2}",0.05,0.26207080000313,160000,0.06372969999210909,0.6602593999996316,63424,ee57d76328639ed8a42861d13c80e46f6ab2387bd6899ed46353040b8b252583,True,False
multicentroid,3,5000,43,51,50,"{""centroids_per_class"":2}",0.05,0.2505770999996457,160000,0.06550700002117082,0.6596564000064973,63424,ee57d76328639ed8a42861d13c80e46f6ab2387bd6899ed46353040b8b252583,True,False
multicentroid,3,5000,44,51,50,"{""centroids_per_class"":2}",0.05,0.3305899999977555,160000,0.06192179999197833,0.6712645999796223,63424,ee57d76328639ed8a42861d13c80e46f6ab2387bd6899ed46353040b8b252583,True,False
multicentroid,3,5000,45,51,50,"{""centroids_per_class"":2}",0.05,0.2948548999847844,160000,0.06153509998694062,0.6475567999877967,63424,ee57d76328639ed8a42861d13c80e46f6ab2387bd6899ed46353040b8b252583,True,False
multicentroid,3,5000,46,51,50,"{""centroids_per_class"":2}",0.05,0.26800109999021515,160000,0.09154910000506788,0.9304770999879111,63424,ee57d76328639ed8a42861d13c80e46f6ab2387bd6899ed46353040b8b252583,True,False
multicentroid,3,10000,42,51,50,"{""centroids_per_class"":2}",0.05,0.5076627999951597,320000,0.06372969999210909,0.6602593999996316,63424,ee57d76328639ed8a42861d13c80e46f6ab2387bd6899ed46353040b8b252583,True,False
multicentroid,3,10000,43,51,50,"{""centroids_per_class"":2}",0.05,0.5011535000230651,320000,0.06550700002117082,0.6596564000064973,63424,ee57d76328639ed8a42861d13c80e46f6ab2387bd6899ed46353040b8b252583,True,False
multicentroid,3,10000,44,51,50,"{""centroids_per_class"":2}",0.05,0.6354707000136841,320000,0.06192179999197833,0.6712645999796223,63424,ee57d76328639ed8a42861d13c80e46f6ab2387bd6899ed46353040b8b252583,True,False
multicentroid,3,10000,45,51,50,"{""centroids_per_class"":2}",0.05,0.5804739000159316,320000,0.06153509998694062,0.6475567999877967,63424,ee57d76328639ed8a42861d13c80e46f6ab2387bd6899ed46353040b8b252583,True,False
multicentroid,3,10000,46,51,50,"{""centroids_per_class"":2}",0.05,0.505669600010151,320000,0.09154910000506788,0.9304770999879111,63424,ee57d76328639ed8a42861d13c80e46f6ab2387bd6899ed46353040b8b252583,True,False
