variant,outer_fold,dimension,seed,levels,feature_k,selected_structure_parameters,selected_temperature,model_training_and_inference_seconds,model_bytes,preprocessing_seconds,encoding_seconds,preprocessing_bytes,quantizer_state_sha256,outer_test_feature_access_after_inner_selection,outer_test_label_access_before_prediction
onlinehd,1,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.02148169997963123,16000,0.06128530000569299,0.6603994999895804,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
onlinehd,1,1000,43,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.022102899994933978,16000,0.062044599995715544,0.6438791000109632,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
onlinehd,1,1000,44,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.024401500006206334,16000,0.06172179998247884,0.6513170000107493,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
onlinehd,1,1000,45,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.0238375999906566,16000,0.06653509999159724,0.7072152000037022,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
onlinehd,1,1000,46,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.021350700000766665,16000,0.06314430001657456,0.6632382000098005,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
onlinehd,1,2000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.022590299980947748,32000,0.06128530000569299,0.6603994999895804,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
onlinehd,1,2000,43,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.0237411999842152,32000,0.062044599995715544,0.6438791000109632,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
onlinehd,1,2000,44,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.02397539999219589,32000,0.06172179998247884,0.6513170000107493,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
onlinehd,1,2000,45,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.02477689998340793,32000,0.06653509999159724,0.7072152000037022,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
onlinehd,1,2000,46,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.023684000014327466,32000,0.06314430001657456,0.6632382000098005,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
onlinehd,1,5000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.027864900010172278,80000,0.06128530000569299,0.6603994999895804,63424,672f5c28911f87e338c77dcf87ae6e778eed4fbe75951389679ff4700daf78ce,True,False
