variant,outer_fold,dimension,seed,levels,feature_k,selected_structure_parameters,selected_temperature,mae_raw,mae_bounded,rmse_bounded,r2_bounded,spearman_bounded
hybrid,3,1000,42,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.6440543786665243,0.6440543786665243,0.7418719478780196,0.5597008103613383,0.8870726529922986
hybrid,3,1000,43,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.6662396507062776,0.6662396507062776,0.7671267910456164,0.5292131891680442,0.8870726529922986
hybrid,3,1000,44,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.6086166664208966,0.6086166664208966,0.7057753653184279,0.6015049069677117,0.9243999675984104
hybrid,3,1000,45,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.6544450834299236,0.6544450834299236,0.7559581157963469,0.5428218617293097,0.8624805398400369
hybrid,3,1000,46,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.658884176767232,0.658884176767232,0.760099176411922,0.5377993936143343,0.8879509427477367
hybrid,3,2000,42,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.6527067909458669,0.6527067909458669,0.7543779025268653,0.5447311841433338,0.9011252890793054
hybrid,3,2000,43,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.6460785620029048,0.6460785620029048,0.7466408649176414,0.5540219350680291,0.8796071900710764
hybrid,3,2000,44,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.6446272707290955,0.6446272707290955,0.7388119254823898,0.563325551012003,0.9077124622450897
hybrid,3,2000,45,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.6386997482698358,0.6386997482698358,0.7405748594137995,0.5612391020833849,0.8892683773808935
hybrid,3,2000,46,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.6431721265416276,0.6431721265416276,0.7414471077862422,0.5602049490843333,0.9002469993238676
hybrid,3,5000,42,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.650255291123069,0.650255291123069,0.7501248169841387,0.54985020715561,0.9129822007777173
hybrid,3,5000,43,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.6469783578594012,0.6469783578594012,0.7429973183275375,0.5583639879664704,0.8976121300575538
hybrid,3,5000,44,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.6571231965272896,0.6571231965272896,0.7567418203796301,0.5418734538308189,0.9072733173673708
hybrid,3,5000,45,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.6432529421698261,0.6432529421698261,0.7473432411992622,0.5531824638670251,0.8998078544461486
hybrid,3,5000,46,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.6578586668100064,0.6578586668100064,0.7549336412190429,0.5440601578846058,0.8870726529922986
hybrid,3,10000,42,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.662195521577526,0.662195521577526,0.7617575932932279,0.5357802952480872,0.8848769286037039
hybrid,3,10000,43,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.6388624412512778,0.6388624412512778,0.7399202318569503,0.5620144403910055,0.9077124622450897
hybrid,3,10000,44,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.6459408053283336,0.6459408053283336,0.7428693387727847,0.5585161164090284,0.9090298968782465
hybrid,3,10000,45,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.6510137561842168,0.6510137561842168,0.7499814455449147,0.5500222650706881,0.9107864763891225
hybrid,3,10000,46,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.6491316268586663,0.6491316268586663,0.747463788827632,0.5530383075131531,0.8971729851798349
