variant,outer_fold,dimension,seed,levels,feature_k,selected_structure_parameters,selected_temperature,accuracy,balanced_accuracy,macro_f1,weighted_f1,severe_error_rate,confusion_0_0,confusion_0_1,confusion_0_2,confusion_0_3,confusion_1_0,confusion_1_1,confusion_1_2,confusion_1_3,confusion_2_0,confusion_2_1,confusion_2_2,confusion_2_3,confusion_3_0,confusion_3_1,confusion_3_2,confusion_3_3
hybrid,5,1000,42,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.7951807228915663,0.7940476190476191,0.7952656820303879,0.7954763796719856,0.0,13,8,0,0,1,18,2,0,0,4,14,2,0,0,0,21
hybrid,5,1000,43,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.8072289156626506,0.8077380952380953,0.8054280545881889,0.8046284543808796,0.012048192771084338,18,3,0,0,7,12,2,0,0,2,17,1,1,0,0,20
hybrid,5,1000,44,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.8433734939759037,0.843452380952381,0.8432748538011696,0.8426548298456984,0.012048192771084338,15,6,0,0,2,17,1,1,0,1,17,2,0,0,0,21
hybrid,5,1000,45,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.8674698795180723,0.8660714285714286,0.8675409231273741,0.8682244184564893,0.0,18,3,0,0,1,18,2,0,0,4,15,1,0,0,0,21
hybrid,5,1000,46,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.8433734939759037,0.843452380952381,0.8425188877316537,0.8421661650320967,0.0,14,7,0,0,1,18,2,0,0,1,17,2,0,0,0,21
hybrid,5,2000,42,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.7590361445783133,0.7589285714285714,0.7581533776301218,0.758251611095545,0.012048192771084338,12,8,1,0,2,16,3,0,0,3,15,2,0,0,1,20
hybrid,5,2000,43,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.7710843373493976,0.7696428571428571,0.771140224409202,0.7714809844279015,0.012048192771084338,12,9,0,0,1,18,2,0,1,5,13,1,0,0,0,21
hybrid,5,2000,44,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.9036144578313253,0.9035714285714286,0.9034883720930232,0.9035304006724573,0.0,18,3,0,0,1,18,2,0,0,1,18,1,0,0,0,21
hybrid,5,2000,45,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.7831325301204819,0.7827380952380952,0.7846917224662202,0.7846341084693008,0.0,12,9,0,0,1,17,3,0,0,4,15,1,0,0,0,21
hybrid,5,2000,46,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.7831325301204819,0.7833333333333334,0.7853174603174604,0.7851405622489959,0.012048192771084338,13,8,0,0,1,16,4,0,0,3,16,1,1,0,0,20
hybrid,5,5000,42,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.8554216867469879,0.8559523809523809,0.853270509977827,0.8529719765981888,0.012048192771084338,16,4,1,0,3,16,2,0,0,0,18,2,0,0,0,21
hybrid,5,5000,43,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.8554216867469879,0.8541666666666666,0.8565087415470889,0.8567879633327967,0.0,17,4,0,0,2,18,1,0,0,4,15,1,0,0,0,21
hybrid,5,5000,44,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.8674698795180723,0.8672619047619048,0.8671113973745553,0.867054969971901,0.0,16,5,0,0,1,18,2,0,0,1,17,2,0,0,0,21
hybrid,5,5000,45,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.7831325301204819,0.780357142857143,0.7833905333905333,0.784796845037809,0.0,15,6,0,0,1,19,1,0,0,8,11,1,0,0,1,20
hybrid,5,5000,46,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.8072289156626506,0.8047619047619048,0.8056397306397306,0.8065839114031885,0.0,14,7,0,0,0,20,1,0,0,6,12,2,0,0,0,21
hybrid,5,10000,42,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.8674698795180723,0.8678571428571429,0.8681340076306416,0.8671793761436298,0.0,14,7,0,0,2,19,0,0,0,1,18,1,0,0,0,21
hybrid,5,10000,43,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.8192771084337349,0.8196428571428571,0.816990022172949,0.8165923115967195,0.0,16,5,0,0,4,14,3,0,0,1,17,2,0,0,0,21
hybrid,5,10000,44,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.8192771084337349,0.8196428571428571,0.8183627966236662,0.8177190366818444,0.012048192771084338,18,3,0,0,6,13,2,0,0,2,17,1,1,0,0,20
hybrid,5,10000,45,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.8072289156626506,0.8071428571428572,0.8094441790093965,0.8093108218828491,0.012048192771084338,15,6,0,0,2,16,3,0,0,3,16,1,1,0,0,20
hybrid,5,10000,46,51,50,"{""centroids_per_class"":3,""epochs"":1,""learning_rate"":0.1,""margin_threshold"":0.0}",0.05,0.8433734939759037,0.8428571428571429,0.8408663983132068,0.8405772601619822,0.012048192771084338,19,2,0,0,6,14,1,0,1,0,16,3,0,0,0,21
