variant,outer_fold,inner_fold,candidate_id,dimension,centroids_per_class,epochs,learning_rate,margin_threshold,levels,feature_k,seed,macro_f1,balanced_accuracy,accuracy,severe_error_rate,recall_class_0,recall_class_1,recall_class_2,recall_class_3,training_seconds,inference_seconds,preprocessing_seconds_shared,encoding_seconds_shared,model_bytes,model_dtype,sample_hv_dtype,subject_overlap_count,training_info_json
hybrid,3,1,candidate_001,2000,2,1,0.05,0.0,51,50,42,0.8192381758833089,0.8229885057471265,0.8235294117647058,0.025210084033613446,1.0,0.6,0.7586206896551724,0.9333333333333333,0.1368382999789901,0.0008313000143971294,0.038870500022312626,0.26397329999599606,64000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":53,""1"":55,""2"":54,""3"":54},""cluster_counts"":{""0"":[31,22],""1"":[15,40],""2"":[22,32],""3"":[18,36]}},""updates"":45}"
hybrid,3,2,candidate_001,2000,2,1,0.05,0.0,51,50,42,0.8090909090909091,0.8036731786731787,0.8055555555555556,0.018518518518518517,0.6538461538461539,0.8571428571428571,0.7777777777777778,0.9259259259259259,0.1289528000052087,0.00047289999201893806,0.04067139999824576,0.2648621000116691,64000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":57,""1"":57,""2"":56,""3"":57},""cluster_counts"":{""0"":[45,12],""1"":[36,21],""2"":[15,41],""3"":[35,22]}},""updates"":49}"
hybrid,3,3,candidate_001,2000,2,1,0.05,0.0,51,50,42,0.828941110342442,0.8333333333333334,0.8333333333333334,0.037037037037037035,0.9259259259259259,0.7037037037037037,0.7037037037037037,1.0,0.133174600021448,0.0004720000142697245,0.03831840000930242,0.2609803999948781,64000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":56,""1"":58,""2"":56,""3"":57},""cluster_counts"":{""0"":[16,40],""1"":[11,47],""2"":[12,44],""3"":[25,32]}},""updates"":59}"
hybrid,3,1,candidate_002,2000,2,1,0.05,0.1,51,50,42,0.7058165160294481,0.7109195402298851,0.7142857142857143,0.05042016806722689,0.7666666666666667,0.9,0.3103448275862069,0.8666666666666667,0.0822570999735035,0.0010467999964021146,0.038870500022312626,0.26397329999599606,64000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":53,""1"":55,""2"":54,""3"":54},""cluster_counts"":{""0"":[31,22],""1"":[15,40],""2"":[22,32],""3"":[18,36]}},""updates"":207}"
hybrid,3,2,candidate_002,2000,2,1,0.05,0.1,51,50,42,0.634814276203362,0.6423738298738298,0.6481481481481481,0.037037037037037035,0.2692307692307692,0.8928571428571429,0.5185185185185185,0.8888888888888888,0.07893899999908172,0.0007024999940767884,0.04067139999824576,0.2648621000116691,64000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":57,""1"":57,""2"":56,""3"":57},""cluster_counts"":{""0"":[45,12],""1"":[36,21],""2"":[15,41],""3"":[35,22]}},""updates"":211}"
hybrid,3,3,candidate_002,2000,2,1,0.05,0.1,51,50,42,0.8022659305268001,0.8055555555555555,0.8055555555555556,0.037037037037037035,0.8148148148148148,0.7407407407407407,0.6666666666666666,1.0,0.08106699999189004,0.0008321000204887241,0.03831840000930242,0.2609803999948781,64000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":56,""1"":58,""2"":56,""3"":57},""cluster_counts"":{""0"":[16,40],""1"":[11,47],""2"":[12,44],""3"":[25,32]}},""updates"":216}"
hybrid,3,1,candidate_003,2000,2,1,0.1,0.0,51,50,42,0.8109581646423751,0.8143678160919541,0.8151260504201681,0.03361344537815126,1.0,0.5666666666666667,0.7241379310344828,0.9666666666666667,0.08046189998276532,0.0007037000032141805,0.038870500022312626,0.26397329999599606,64000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":53,""1"":55,""2"":54,""3"":54},""cluster_counts"":{""0"":[31,22],""1"":[15,40],""2"":[22,32],""3"":[18,36]}},""updates"":60}"
hybrid,3,2,candidate_003,2000,2,1,0.1,0.0,51,50,42,0.7843241167434716,0.7776251526251526,0.7777777777777778,0.018518518518518517,0.7692307692307693,0.7857142857142857,0.7407407407407407,0.8148148148148148,0.0768648000084795,0.0007145999989006668,0.04067139999824576,0.2648621000116691,64000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":57,""1"":57,""2"":56,""3"":57},""cluster_counts"":{""0"":[45,12],""1"":[36,21],""2"":[15,41],""3"":[35,22]}},""updates"":71}"
hybrid,3,3,candidate_003,2000,2,1,0.1,0.0,51,50,42,0.742937256251557,0.75,0.75,0.05555555555555555,0.8518518518518519,0.6296296296296297,0.5555555555555556,0.9629629629629629,0.08049960000789724,0.0005038999952375889,0.03831840000930242,0.2609803999948781,64000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":56,""1"":58,""2"":56,""3"":57},""cluster_counts"":{""0"":[16,40],""1"":[11,47],""2"":[12,44],""3"":[25,32]}},""updates"":91}"
hybrid,3,1,candidate_004,2000,2,1,0.1,0.1,51,50,42,0.6639892568009877,0.6531609195402299,0.6554621848739496,0.058823529411764705,0.5,0.9666666666666667,0.3793103448275862,0.7666666666666667,0.0821208999841474,0.000521700014360249,0.038870500022312626,0.26397329999599606,64000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":53,""1"":55,""2"":54,""3"":54},""cluster_counts"":{""0"":[31,22],""1"":[15,40],""2"":[22,32],""3"":[18,36]}},""updates"":186}"
hybrid,3,2,candidate_004,2000,2,1,0.1,0.1,51,50,42,0.6185089074634494,0.6256359381359382,0.6296296296296297,0.027777777777777776,0.46153846153846156,0.8928571428571429,0.2222222222222222,0.9259259259259259,0.07861299999058247,0.00047450000420212746,0.04067139999824576,0.2648621000116691,64000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":57,""1"":57,""2"":56,""3"":57},""cluster_counts"":{""0"":[45,12],""1"":[36,21],""2"":[15,41],""3"":[35,22]}},""updates"":202}"
hybrid,3,3,candidate_004,2000,2,1,0.1,0.1,51,50,42,0.5666860240030971,0.5925925925925926,0.5925925925925926,0.05555555555555555,0.4074074074074074,0.8148148148148148,0.18518518518518517,0.9629629629629629,0.08077969998703338,0.00046579999616369605,0.03831840000930242,0.2609803999948781,64000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":56,""1"":58,""2"":56,""3"":57},""cluster_counts"":{""0"":[16,40],""1"":[11,47],""2"":[12,44],""3"":[25,32]}},""updates"":200}"
hybrid,3,1,candidate_005,2000,2,3,0.05,0.0,51,50,42,0.8444995864350704,0.8477011494252873,0.8487394957983193,0.03361344537815126,1.0,0.6666666666666666,0.7241379310344828,1.0,0.12501969997538254,0.0005193999968469143,0.038870500022312626,0.26397329999599606,64000,float32,int8,0,"{""epochs"":3,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":53,""1"":55,""2"":54,""3"":54},""cluster_counts"":{""0"":[31,22],""1"":[15,40],""2"":[22,32],""3"":[18,36]}},""updates"":70}"
hybrid,3,2,candidate_005,2000,2,3,0.05,0.0,51,50,42,0.8337927795474964,0.8314509564509565,0.8333333333333334,0.018518518518518517,0.6538461538461539,0.8571428571428571,0.8888888888888888,0.9259259259259259,0.12500290002208203,0.0004634000069927424,0.04067139999824576,0.2648621000116691,64000,float32,int8,0,"{""epochs"":3,""initialization"":{""centroids_per_class"":2,""class_counts"":{""0"":57,""1"":57,""2"":56,""3"":57},""cluster_counts"":{""0"":[45,12],""1"":[36,21],""2"":[15,41],""3"":[35,22]}},""updates"":117}"
