variant,outer_fold,dimension,seed,levels,feature_k,selected_structure_parameters,selected_temperature,accuracy,balanced_accuracy,macro_f1,weighted_f1,severe_error_rate,confusion_0_0,confusion_0_1,confusion_0_2,confusion_0_3,confusion_1_0,confusion_1_1,confusion_1_2,confusion_1_3,confusion_2_0,confusion_2_1,confusion_2_2,confusion_2_3,confusion_3_0,confusion_3_1,confusion_3_2,confusion_3_3
multicentroid,3,1000,42,51,50,"{""centroids_per_class"":2}",0.05,0.8333333333333334,0.8333333333333334,0.8350886917960089,0.8350886917960088,0.0,15,6,0,0,5,15,1,0,0,2,19,0,0,0,0,21
multicentroid,3,1000,43,51,50,"{""centroids_per_class"":2}",0.05,0.8095238095238095,0.8095238095238095,0.8122093023255814,0.8122093023255814,0.011904761904761904,15,6,0,0,6,14,1,0,1,2,18,0,0,0,0,21
multicentroid,3,1000,44,51,50,"{""centroids_per_class"":2}",0.05,0.7857142857142857,0.7857142857142857,0.7881403774856759,0.7881403774856759,0.023809523809523808,13,8,0,0,3,15,3,0,0,2,19,0,2,0,0,19
multicentroid,3,1000,45,51,50,"{""centroids_per_class"":2}",0.05,0.8095238095238095,0.8095238095238095,0.8092131917996921,0.809213191799692,0.023809523809523808,15,6,0,0,4,15,2,0,1,0,18,2,1,0,0,20
multicentroid,3,1000,46,51,50,"{""centroids_per_class"":2}",0.05,0.8214285714285714,0.8214285714285714,0.8234918227037162,0.8234918227037162,0.023809523809523808,14,7,0,0,2,17,2,0,1,1,19,0,0,1,1,19
multicentroid,3,2000,42,51,50,"{""centroids_per_class"":2}",0.05,0.8095238095238095,0.8095238095238095,0.8079544826060505,0.8079544826060505,0.011904761904761904,11,10,0,0,3,17,1,0,1,1,19,0,0,0,0,21
multicentroid,3,2000,43,51,50,"{""centroids_per_class"":2}",0.05,0.8214285714285714,0.8214285714285714,0.8230634261308888,0.8230634261308888,0.011904761904761904,15,6,0,0,3,17,1,0,1,3,16,1,0,0,0,21
multicentroid,3,2000,44,51,50,"{""centroids_per_class"":2}",0.05,0.7976190476190477,0.7976190476190476,0.7987080103359174,0.7987080103359173,0.03571428571428571,16,5,0,0,5,13,3,0,1,1,19,0,2,0,0,19
multicentroid,3,2000,45,51,50,"{""centroids_per_class"":2}",0.05,0.8333333333333334,0.8333333333333333,0.8357090064407138,0.8357090064407138,0.023809523809523808,16,5,0,0,3,16,2,0,1,2,18,0,1,0,0,20
multicentroid,3,2000,46,51,50,"{""centroids_per_class"":2}",0.05,0.7857142857142857,0.7857142857142856,0.7877951835398644,0.7877951835398643,0.023809523809523808,14,7,0,0,2,16,3,0,1,3,16,1,1,0,0,20
multicentroid,3,5000,42,51,50,"{""centroids_per_class"":2}",0.05,0.8571428571428571,0.8571428571428571,0.8549628665907736,0.8549628665907737,0.011904761904761904,18,3,0,0,4,14,3,0,1,1,19,0,0,0,0,21
multicentroid,3,5000,43,51,50,"{""centroids_per_class"":2}",0.05,0.8214285714285714,0.8214285714285714,0.8199404761904762,0.8199404761904762,0.011904761904761904,12,9,0,0,2,17,2,0,1,1,19,0,0,0,0,21
multicentroid,3,5000,44,51,50,"{""centroids_per_class"":2}",0.05,0.8452380952380952,0.8452380952380951,0.8477027793533749,0.8477027793533749,0.023809523809523808,16,5,0,0,4,16,1,0,1,1,19,0,1,0,0,20
multicentroid,3,5000,45,51,50,"{""centroids_per_class"":2}",0.05,0.8452380952380952,0.8452380952380951,0.8452380952380951,0.8452380952380952,0.023809523809523808,16,5,0,0,3,16,2,0,1,0,19,1,1,0,0,20
multicentroid,3,5000,46,51,50,"{""centroids_per_class"":2}",0.05,0.8333333333333334,0.8333333333333333,0.834362703397698,0.8343627033976981,0.023809523809523808,14,7,0,0,2,17,2,0,1,1,19,0,1,0,0,20
multicentroid,3,10000,42,51,50,"{""centroids_per_class"":2}",0.05,0.8214285714285714,0.8214285714285714,0.8208719574998644,0.8208719574998644,0.011904761904761904,14,7,0,0,3,15,3,0,1,1,19,0,0,0,0,21
multicentroid,3,10000,43,51,50,"{""centroids_per_class"":2}",0.05,0.8333333333333334,0.8333333333333334,0.8327172156959392,0.832717215695939,0.011904761904761904,13,8,0,0,2,17,2,0,1,1,19,0,0,0,0,21
multicentroid,3,10000,44,51,50,"{""centroids_per_class"":2}",0.05,0.8809523809523809,0.8809523809523809,0.8808916079194014,0.8808916079194014,0.011904761904761904,16,5,0,0,3,17,1,0,1,0,20,0,0,0,0,21
multicentroid,3,10000,45,51,50,"{""centroids_per_class"":2}",0.05,0.8452380952380952,0.8452380952380952,0.8450561066840137,0.8450561066840137,0.011904761904761904,15,6,0,0,2,16,3,0,1,1,19,0,0,0,0,21
multicentroid,3,10000,46,51,50,"{""centroids_per_class"":2}",0.05,0.8452380952380952,0.8452380952380952,0.8430164239062116,0.8430164239062117,0.011904761904761904,13,8,0,0,2,17,2,0,1,0,20,0,0,0,0,21
