variant,outer_fold,dimension,seed,levels,feature_k,selected_structure_parameters,selected_temperature,mae_raw,mae_bounded,rmse_bounded,r2_bounded,spearman_bounded
multicentroid,3,1000,42,51,50,"{""centroids_per_class"":2}",0.05,0.7248850982461543,0.7248850982461543,0.8257763218114942,0.4544747730683837,0.8839986388482659
multicentroid,3,1000,43,51,50,"{""centroids_per_class"":2}",0.05,0.748379396994032,0.748379396994032,0.8544306047111673,0.4159586733863271,0.8168094725572652
multicentroid,3,1000,44,51,50,"{""centroids_per_class"":2}",0.05,0.7286487755253338,0.7286487755253338,0.8308881557515156,0.44769989810547606,0.8826812042151091
multicentroid,3,1000,45,51,50,"{""centroids_per_class"":2}",0.05,0.7365151863257682,0.7365151863257682,0.8460200256213471,0.4274000929981241,0.8361318471768994
multicentroid,3,1000,46,51,50,"{""centroids_per_class"":2}",0.05,0.74724184077155,0.74724184077155,0.8487075889515758,0.42375634276480245,0.8576499461851284
multicentroid,3,2000,42,51,50,"{""centroids_per_class"":2}",0.05,0.735148002715502,0.735148002715502,0.8380620723234911,0.4381215703462845,0.8769723208047626
multicentroid,3,2000,43,51,50,"{""centroids_per_class"":2}",0.05,0.7336044910954348,0.7336044910954348,0.8370548752273022,0.4394713086865646,0.8493061935084681
multicentroid,3,2000,44,51,50,"{""centroids_per_class"":2}",0.05,0.7377702353848763,0.7377702353848763,0.8466827164076846,0.4265027021892036,0.8523802076525009
multicentroid,3,2000,45,51,50,"{""centroids_per_class"":2}",0.05,0.7422461365179436,0.7422461365179436,0.8488886486939092,0.42351044969490304,0.8651154091063507
multicentroid,3,2000,46,51,50,"{""centroids_per_class"":2}",0.05,0.7393154553298087,0.7393154553298087,0.8420781768606049,0.4327234752440958,0.8532584974079389
multicentroid,3,5000,42,51,50,"{""centroids_per_class"":2}",0.05,0.7181462953313325,0.7181462953313325,0.8201505087227541,0.4618825144334462,0.8839986388482659
multicentroid,3,5000,43,51,50,"{""centroids_per_class"":2}",0.05,0.7446826311644996,0.7446826311644996,0.8479833352120552,0.4247394105621114,0.8598456705737231
multicentroid,3,5000,44,51,50,"{""centroids_per_class"":2}",0.05,0.7500448173063495,0.7500448173063495,0.8558958867413353,0.41395378484741063,0.8747765964161678
multicentroid,3,5000,45,51,50,"{""centroids_per_class"":2}",0.05,0.7459140345833843,0.7459140345833843,0.8505076672071096,0.4213093664175366,0.8673111334949455
multicentroid,3,5000,46,51,50,"{""centroids_per_class"":2}",0.05,0.7291745256147444,0.7291745256147444,0.8338393616440666,0.44376953517841244,0.8695068578835403
multicentroid,3,10000,42,51,50,"{""centroids_per_class"":2}",0.05,0.7335568964483338,0.7335568964483338,0.8376257136841556,0.43870653102008705,0.8690677130058214
multicentroid,3,10000,43,51,50,"{""centroids_per_class"":2}",0.05,0.7440400313764032,0.7440400313764032,0.8478044514442553,0.4249820896890444,0.861602250084599
multicentroid,3,10000,44,51,50,"{""centroids_per_class"":2}",0.05,0.7455695925114785,0.7455695925114785,0.8500916838254791,0.42187530327260936,0.8602848154514422
multicentroid,3,10000,45,51,50,"{""centroids_per_class"":2}",0.05,0.748720840755509,0.748720840755509,0.8538271268188673,0.41678339000659026,0.8651154091063507
multicentroid,3,10000,46,51,50,"{""centroids_per_class"":2}",0.05,0.7417423179465295,0.7417423179465295,0.846084584138162,0.4273127011870027,0.8668719886172266
