variant,outer_fold,dimension,seed,levels,feature_k,selected_structure_parameters,selected_temperature,inner_fold,temperature,bounded_mae,bounded_rmse,model_seconds,model_bytes
multicentroid,4,1000,42,51,50,"{""centroids_per_class"":3}",0.05,1,0.05,0.7169849771774711,0.8285858165030534,0.055240000016056,48000
multicentroid,4,1000,42,51,50,"{""centroids_per_class"":3}",0.05,1,0.1,0.8477063776878803,0.9593035704688558,0.055240000016056,48000
multicentroid,4,1000,42,51,50,"{""centroids_per_class"":3}",0.05,1,0.2,0.9231294902213181,1.0361531005544289,0.055240000016056,48000
multicentroid,4,1000,42,51,50,"{""centroids_per_class"":3}",0.05,1,0.5,0.9711641181416751,1.0864318816692953,0.055240000016056,48000
multicentroid,4,1000,42,51,50,"{""centroids_per_class"":3}",0.05,1,1.0,0.9875902658524087,1.1039234320269669,0.055240000016056,48000
multicentroid,4,1000,42,51,50,"{""centroids_per_class"":3}",0.05,1,2.0,0.9958738049966566,1.1128082304628117,0.055240000016056,48000
multicentroid,4,1000,42,51,50,"{""centroids_per_class"":3}",0.05,2,0.05,0.6698550548609168,0.7770226566269953,0.06103060001623817,48000
multicentroid,4,1000,42,51,50,"{""centroids_per_class"":3}",0.05,2,0.1,0.8218973044364072,0.9313387808812553,0.06103060001623817,48000
multicentroid,4,1000,42,51,50,"{""centroids_per_class"":3}",0.05,2,0.2,0.9088003023009521,1.0210946332418316,0.06103060001623817,48000
multicentroid,4,1000,42,51,50,"{""centroids_per_class"":3}",0.05,2,0.5,0.9631168273594488,1.0784474866704998,0.06103060001623817,48000
multicentroid,4,1000,42,51,50,"{""centroids_per_class"":3}",0.05,2,1.0,0.9815028261329493,1.0981105226727284,0.06103060001623817,48000
multicentroid,4,1000,42,51,50,"{""centroids_per_class"":3}",0.05,2,2.0,0.9907387314821771,1.1080402396549418,0.06103060001623817,48000
multicentroid,4,1000,42,51,50,"{""centroids_per_class"":3}",0.05,3,0.05,0.6810750047643576,0.7756473650006348,0.0634241999941878,48000
