variant,outer_fold,dimension,seed,levels,feature_k,selected_structure_parameters,selected_temperature,mae_raw,mae_bounded,rmse_bounded,r2_bounded,spearman_bounded
onlinehd,1,1000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.5327391907354284,0.5327391907354284,0.7496613666967837,0.5504062682258483,0.828666384255677
onlinehd,1,1000,43,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.4305896362447712,0.4305896362447712,0.63139825541412,0.6810689944480046,0.839645006198651
onlinehd,1,1000,44,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.5617479425755233,0.5617479425755233,0.7785799843792768,0.515050566339172,0.7786038681957157
onlinehd,1,1000,45,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.3915020689126716,0.3915020689126716,0.6305639621847636,0.6819112716750816,0.8264706598670822
onlinehd,1,1000,46,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.49760666051753344,0.49760666051753344,0.6447354196564573,0.6674529909123295,0.850623628141625
onlinehd,1,2000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.5171334821109982,0.5171334821109982,0.6806761816960177,0.6293439485373838,0.8365709920546184
onlinehd,1,2000,43,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.40622027959681306,0.40622027959681306,0.6230419351143754,0.6894549976711475,0.8822420593373902
onlinehd,1,2000,44,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.4569955811623692,0.4569955811623692,0.6962312665513588,0.6122096187810325,0.7948522286713171
onlinehd,1,2000,45,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.5498780225208579,0.5498780225208579,0.6680700445577542,0.6429459324516802,0.8510627730193441
onlinehd,1,2000,46,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.47202037936108304,0.47202037936108304,0.6118808025771367,0.7004815067500472,0.873459161783011
onlinehd,1,5000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.4165465979543389,0.4165465979543389,0.6479872534875046,0.6640900154541762,0.851501917897063
onlinehd,1,5000,43,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.43053801357210814,0.43053801357210814,0.6671387271722125,0.6439407349656321,0.8321795432774288
onlinehd,1,5000,44,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.5305119696517565,0.5305119696517565,0.6520975208806581,0.6598150586090398,0.8554542217965336
onlinehd,1,5000,45,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.42759412402911884,0.42759412402911884,0.6131276361183565,0.6992596014623329,0.8435973100981217
onlinehd,1,5000,46,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.43519524573468465,0.43519524573468465,0.6585262858884129,0.6530745046352098,0.8466713242421544
onlinehd,1,10000,42,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.5117237275105903,0.5117237275105903,0.7684890712712635,0.5275396378693047,0.783434461850624
onlinehd,1,10000,43,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.5668059958904019,0.5668059958904019,0.799062091287035,0.48919981941439217,0.8572108013074095
onlinehd,1,10000,44,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.49747950993686035,0.49747950993686035,0.6261954224728921,0.6863034342991969,0.8431581652204027
onlinehd,1,10000,45,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.45031235645054923,0.45031235645054923,0.5993049573597875,0.7126668544671867,0.8695068578835403
onlinehd,1,10000,46,51,50,"{""epochs"":1,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.4293212721796805,0.4293212721796805,0.6487377532933478,0.6633114619615196,0.8589673808182853
