variant,outer_fold,dimension,seed,levels,feature_k,selected_structure_parameters,selected_temperature,accuracy,balanced_accuracy,macro_f1,weighted_f1,severe_error_rate,confusion_0_0,confusion_0_1,confusion_0_2,confusion_0_3,confusion_1_0,confusion_1_1,confusion_1_2,confusion_1_3,confusion_2_0,confusion_2_1,confusion_2_2,confusion_2_3,confusion_3_0,confusion_3_1,confusion_3_2,confusion_3_3
onlinehd,2,1000,42,51,50,"{""epochs"":5,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.6904761904761905,0.6949134199134199,0.6594192154536982,0.6558022980436774,0.08333333333333333,12,2,6,0,5,5,11,1,0,0,20,1,0,0,0,21
onlinehd,2,1000,43,51,50,"{""epochs"":5,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.6428571428571429,0.6436147186147186,0.6118016866854076,0.6108524697893468,0.047619047619047616,14,5,0,1,7,14,0,1,2,8,5,6,0,0,0,21
onlinehd,2,1000,44,51,50,"{""epochs"":5,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.6309523809523809,0.629978354978355,0.6090317856835215,0.6077786528514412,0.047619047619047616,12,7,0,1,5,15,0,2,1,13,5,2,0,0,0,21
onlinehd,2,1000,45,51,50,"{""epochs"":5,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.6904761904761905,0.6881493506493506,0.6659102434077079,0.6673059741137835,0.11904761904761904,7,5,6,2,2,12,6,2,0,1,18,2,0,0,0,21
onlinehd,2,1000,46,51,50,"{""epochs"":5,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.5119047619047619,0.5192640692640693,0.45331273019770546,0.4474519243368996,0.047619047619047616,16,0,4,0,4,4,14,0,0,0,21,0,0,0,19,2
onlinehd,2,2000,42,51,50,"{""epochs"":5,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.6190476190476191,0.6186688311688311,0.5742111885404568,0.5732755839463157,0.047619047619047616,13,6,0,1,6,15,0,1,2,11,3,5,0,0,0,21
onlinehd,2,2000,43,51,50,"{""epochs"":5,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.6428571428571429,0.6536255411255412,0.580427121760345,0.5741658514738294,0.08333333333333333,19,0,0,1,19,1,0,2,4,0,13,4,0,0,0,21
onlinehd,2,2000,44,51,50,"{""epochs"":5,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.6428571428571429,0.6542207792207793,0.5925325640873134,0.5865649596542358,0.10714285714285714,20,0,0,0,20,1,0,1,7,0,13,1,1,0,0,20
onlinehd,2,2000,45,51,50,"{""epochs"":5,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.7023809523809523,0.7043290043290044,0.6913419913419914,0.689486703772418,0.03571428571428571,16,4,0,0,6,14,1,1,2,9,8,2,0,0,0,21
onlinehd,2,2000,46,51,50,"{""epochs"":5,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,0.6428571428571429,0.6415043290043291,0.6056868855781898,0.6036125710038753,0.05952380952380952,15,5,0,0,3,19,0,0,2,17,2,0,0,3,0,18
