variant,outer_fold,dimension,seed,levels,feature_k,selected_structure_parameters,selected_temperature,inner_fold,temperature,bounded_mae,bounded_rmse,model_seconds,model_bytes
onlinehd,5,1000,42,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,1,0.05,0.3089263797479307,0.4396783117156811,0.04179419999127276,16000
onlinehd,5,1000,42,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,1,0.1,0.4671107821907106,0.5658685895698256,0.04179419999127276,16000
onlinehd,5,1000,42,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,1,0.2,0.7029483091998548,0.7922386483750519,0.04179419999127276,16000
onlinehd,5,1000,42,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,1,0.5,0.8790044769075258,0.9836336904922893,0.04179419999127276,16000
onlinehd,5,1000,42,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,1,1.0,0.9365283049816083,1.048287439008142,0.04179419999127276,16000
onlinehd,5,1000,42,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,1,2.0,0.9644479272642811,1.0798042393537288,0.04179419999127276,16000
onlinehd,5,1000,42,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,2,0.05,0.3482259719227116,0.46539943320679306,0.04342090000864118,16000
onlinehd,5,1000,42,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,2,0.1,0.5190107397587097,0.6049627745119507,0.04342090000864118,16000
onlinehd,5,1000,42,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,2,0.2,0.7072409421317981,0.8151902909925091,0.04342090000864118,16000
onlinehd,5,1000,42,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,2,0.5,0.882558862553712,0.9918427544395154,0.04342090000864118,16000
onlinehd,5,1000,42,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,2,1.0,0.9419042574785211,1.0547268045726763,0.04342090000864118,16000
onlinehd,5,1000,42,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,2,2.0,0.9711517042341521,1.0863802942335754,0.04342090000864118,16000
onlinehd,5,1000,42,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,3,0.05,0.42422049460870825,0.6701574593713506,0.04249839999829419,16000
onlinehd,5,1000,42,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,3,0.1,0.5776346247667881,0.7265896286904029,0.04249839999829419,16000
onlinehd,5,1000,42,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,3,0.2,0.7578258722013038,0.8741617245368762,0.04249839999829419,16000
onlinehd,5,1000,42,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,3,0.5,0.8992451453639776,1.012284143978366,0.04249839999829419,16000
onlinehd,5,1000,42,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,3,1.0,0.9492519693894736,1.06420260843717,0.04249839999829419,16000
onlinehd,5,1000,42,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,3,2.0,0.9745610252972747,1.0909189457587163,0.04249839999829419,16000
onlinehd,5,1000,43,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,1,0.05,0.4351309465314347,0.5252965389247103,0.042007300013210624,16000
onlinehd,5,1000,43,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,1,0.1,0.6125140104824325,0.6970742823011149,0.042007300013210624,16000
onlinehd,5,1000,43,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,1,0.2,0.7687523154939292,0.8663781628923353,0.042007300013210624,16000
onlinehd,5,1000,43,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,1,0.5,0.8943925312702916,1.0035590642487184,0.042007300013210624,16000
onlinehd,5,1000,43,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,1,1.0,0.9417774924540961,1.0555450026443036,0.042007300013210624,16000
onlinehd,5,1000,43,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,1,2.0,0.9664270089678969,1.082682552885733,0.042007300013210624,16000
onlinehd,5,1000,43,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,2,0.05,0.4937037643436671,0.7289830233797326,0.04339469998376444,16000
onlinehd,5,1000,43,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,2,0.1,0.6115403743111435,0.7827457175002065,0.04339469998376444,16000
onlinehd,5,1000,43,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,2,0.2,0.7591981783822673,0.8870432412476666,0.04339469998376444,16000
onlinehd,5,1000,43,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,2,0.5,0.8991898731469881,1.0119695429783575,0.04339469998376444,16000
onlinehd,5,1000,43,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,2,1.0,0.9495650845963959,1.0635861735503611,0.04339469998376444,16000
onlinehd,5,1000,43,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,2,2.0,0.9748477828660738,1.0905653822125432,0.04339469998376444,16000
onlinehd,5,1000,43,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,3,0.05,0.48253251211373,0.8014327160780835,0.042684099986217916,16000
onlinehd,5,1000,43,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,3,0.1,0.556559019176524,0.773481071491809,0.042684099986217916,16000
onlinehd,5,1000,43,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,3,0.2,0.7238640074955925,0.8628110825885218,0.042684099986217916,16000
onlinehd,5,1000,43,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,3,0.5,0.8884620668513498,1.002762212285244,0.042684099986217916,16000
onlinehd,5,1000,43,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,3,1.0,0.9449251614492895,1.059659948943806,0.042684099986217916,16000
onlinehd,5,1000,43,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,3,2.0,0.9727034409742088,1.088799902859421,0.042684099986217916,16000
onlinehd,5,1000,44,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,1,0.05,0.29343105588774765,0.41330941300796054,0.04173359999549575,16000
onlinehd,5,1000,44,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,1,0.1,0.4978865388218937,0.5759329188683436,0.04173359999549575,16000
onlinehd,5,1000,44,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,1,0.2,0.7189067513047032,0.8113249941668776,0.04173359999549575,16000
onlinehd,5,1000,44,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,1,0.5,0.8829040769615382,0.9894762881414778,0.04173359999549575,16000
onlinehd,5,1000,44,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,1,1.0,0.937704779538524,1.0503120219569522,0.04173359999549575,16000
onlinehd,5,1000,44,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,1,2.0,0.9648204552590749,1.0805503205904001,0.04173359999549575,16000
onlinehd,5,1000,44,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,2,0.05,0.3695196521731595,0.49121121491677083,0.043585100007476285,16000
onlinehd,5,1000,44,51,50,"{""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.1}",0.05,2,0.1,0.5427370433343297,0.639886871086917,0.043585100007476285,16000
