variant,outer_fold,inner_fold,candidate_id,dimension,epochs,learning_rate,margin_threshold,levels,feature_k,seed,macro_f1,balanced_accuracy,accuracy,severe_error_rate,recall_class_0,recall_class_1,recall_class_2,recall_class_3,training_seconds,inference_seconds,preprocessing_seconds_shared,encoding_seconds_shared,model_bytes,model_dtype,sample_hv_dtype,subject_overlap_count,training_info_json
onlinehd,3,1,candidate_001,2000,1,0.05,0.0,51,50,42,0.6310475254522099,0.6827586206896552,0.680672268907563,0.01680672268907563,0.1,0.9333333333333333,0.9310344827586207,0.7666666666666667,0.015096999995876104,0.0005250000103842467,0.038037799997255206,0.2615360000054352,32000,float32,int8,0,"{""epochs"":1,""updates"":114}"
onlinehd,3,2,candidate_001,2000,1,0.05,0.0,51,50,42,0.5798595406804361,0.6491656491656492,0.6574074074074074,0.009259259259259259,0.038461538461538464,0.9285714285714286,1.0,0.6296296296296297,0.015426900004968047,0.00038189999759197235,0.04032940001343377,0.26254990001325496,32000,float32,int8,0,"{""epochs"":1,""updates"":102}"
onlinehd,3,3,candidate_001,2000,1,0.05,0.0,51,50,42,0.5543000383063904,0.6203703703703703,0.6203703703703703,0.08333333333333333,0.9629629629629629,0.48148148148148145,0.07407407407407407,0.9629629629629629,0.015528400021139532,0.0003708000003825873,0.03661300000385381,0.26205940000363626,32000,float32,int8,0,"{""epochs"":1,""updates"":108}"
onlinehd,3,1,candidate_002,2000,1,0.05,0.1,51,50,42,0.8081420828047515,0.8132183908045977,0.8151260504201681,0.04201680672268908,0.9,0.7666666666666667,0.5862068965517241,1.0,0.015619399986462668,0.00039599998854100704,0.038037799997255206,0.2615360000054352,32000,float32,int8,0,"{""epochs"":1,""updates"":158}"
onlinehd,3,2,candidate_002,2000,1,0.05,0.1,51,50,42,0.7896015377909333,0.8018671143671143,0.8055555555555556,0.027777777777777776,0.4230769230769231,0.8214285714285714,1.0,0.9629629629629629,0.016255499998806044,0.0003789000038523227,0.04032940001343377,0.26254990001325496,32000,float32,int8,0,"{""epochs"":1,""updates"":152}"
onlinehd,3,3,candidate_002,2000,1,0.05,0.1,51,50,42,0.7262544123644992,0.7314814814814814,0.7314814814814815,0.027777777777777776,0.6666666666666666,0.7037037037037037,0.5555555555555556,1.0,0.01619379999465309,0.00036830001045018435,0.03661300000385381,0.26205940000363626,32000,float32,int8,0,"{""epochs"":1,""updates"":149}"
onlinehd,3,1,candidate_003,2000,1,0.1,0.0,51,50,42,0.7416819291819292,0.7738505747126436,0.773109243697479,0.01680672268907563,0.9333333333333333,0.3,0.8620689655172413,1.0,0.01477750000776723,0.00039930001366883516,0.038037799997255206,0.2615360000054352,32000,float32,int8,0,"{""epochs"":1,""updates"":98}"
onlinehd,3,2,candidate_003,2000,1,0.1,0.0,51,50,42,0.42407407407407405,0.5096153846153846,0.5185185185185185,0.027777777777777776,0.038461538461538464,1.0,0.1111111111111111,0.8888888888888888,0.015583800006425008,0.00038640000275336206,0.04032940001343377,0.26254990001325496,32000,float32,int8,0,"{""epochs"":1,""updates"":108}"
onlinehd,3,3,candidate_003,2000,1,0.1,0.0,51,50,42,0.23533147066294133,0.32407407407407407,0.32407407407407407,0.21296296296296297,0.0,1.0,0.14814814814814814,0.14814814814814814,0.015494099992793053,0.0003727000148501247,0.03661300000385381,0.26205940000363626,32000,float32,int8,0,"{""epochs"":1,""updates"":106}"
onlinehd,3,1,candidate_004,2000,1,0.1,0.1,51,50,42,0.3691636851520572,0.4198275862068966,0.42016806722689076,0.3277310924369748,1.0,0.0,0.3793103448275862,0.3,0.016496900003403425,0.0003960999893024564,0.038037799997255206,0.2615360000054352,32000,float32,int8,0,"{""epochs"":1,""updates"":158}"
onlinehd,3,2,candidate_004,2000,1,0.1,0.1,51,50,42,0.8182107857457426,0.8177401302401301,0.8148148148148148,0.018518518518518517,0.9230769230769231,0.6071428571428571,1.0,0.7407407407407407,0.016227300016907975,0.000378099997760728,0.04032940001343377,0.26254990001325496,32000,float32,int8,0,"{""epochs"":1,""updates"":153}"
onlinehd,3,3,candidate_004,2000,1,0.1,0.1,51,50,42,0.6328029210241616,0.6851851851851851,0.6851851851851852,0.09259259259259259,0.9629629629629629,0.1111111111111111,0.6666666666666666,1.0,0.01630940000177361,0.0003699999942909926,0.03661300000385381,0.26205940000363626,32000,float32,int8,0,"{""epochs"":1,""updates"":155}"
onlinehd,3,1,candidate_005,2000,3,0.05,0.0,51,50,42,0.30883506449734965,0.38362068965517243,0.3865546218487395,0.42857142857142855,1.0,0.4,0.034482758620689655,0.1,0.043671099992934614,0.00039850000757724047,0.038037799997255206,0.2615360000054352,32000,float32,int8,0,"{""epochs"":3,""updates"":300}"
onlinehd,3,2,candidate_005,2000,3,0.05,0.0,51,50,42,0.44140158303464755,0.5377238502238502,0.5462962962962963,0.037037037037037035,0.038461538461538464,0.9642857142857143,0.14814814814814814,1.0,0.04527390000293963,0.000381199992261827,0.04032940001343377,0.26254990001325496,32000,float32,int8,0,"{""epochs"":3,""updates"":298}"
