run_key,subject_id,outer_fold,variant,dimension,seed,levels,feature_k,true_class,predicted_class,class_score_0,class_score_1,class_score_2,class_score_3
sub-cp004_ses-20210330_level-01B_run-001,sub-cp004,1,hybrid,1000,42,51,50,0,0,0.9165366291999816,0.8874562382698059,0.8197968602180481,0.7293702363967896
sub-cp004_ses-20210330_level-01B_run-007,sub-cp004,1,hybrid,1000,42,51,50,0,0,0.90046226978302,0.8671994209289551,0.8184152245521545,0.8285455107688904
sub-cp004_ses-20210330_level-01B_run-012,sub-cp004,1,hybrid,1000,42,51,50,0,0,0.9263241291046144,0.9020175933837892,0.8456417918205261,0.7536362409591675
sub-cp004_ses-20210330_level-02B_run-003,sub-cp004,1,hybrid,1000,42,51,50,1,1,0.8785532116889954,0.8786124587059021,0.8763377666473389,0.8445704579353333
sub-cp004_ses-20210330_level-02B_run-008,sub-cp004,1,hybrid,1000,42,51,50,1,1,0.8987501859664917,0.9169330596923828,0.8624078631401062,0.7424392700195312
sub-cp004_ses-20210330_level-02B_run-010,sub-cp004,1,hybrid,1000,42,51,50,1,2,0.8657126426696777,0.8900567293167114,0.9146937131881714,0.8132443428039551
sub-cp004_ses-20210330_level-03B_run-002,sub-cp004,1,hybrid,1000,42,51,50,2,2,0.852387011051178,0.8981395363807678,0.9168757200241088,0.8228718638420105
sub-cp004_ses-20210330_level-03B_run-005,sub-cp004,1,hybrid,1000,42,51,50,2,2,0.8311912417411804,0.8473423719406128,0.8813537359237671,0.8215484023094177
sub-cp004_ses-20210330_level-03B_run-011,sub-cp004,1,hybrid,1000,42,51,50,2,2,0.8541465997695923,0.9055252075195312,0.9426879286766052,0.8179665803909302
sub-cp004_ses-20210330_level-04B_run-004,sub-cp004,1,hybrid,1000,42,51,50,3,3,0.8550621867179871,0.8607202172279358,0.8694897890090942,0.90412038564682
sub-cp004_ses-20210330_level-04B_run-006,sub-cp004,1,hybrid,1000,42,51,50,3,3,0.8492411375045776,0.8724168539047241,0.8717118501663208,0.9018144011497498
sub-cp004_ses-20210330_level-04B_run-009,sub-cp004,1,hybrid,1000,42,51,50,3,3,0.8624005913734436,0.8678671717643738,0.8614468574523926,0.8954713940620422
sub-cp011_ses-20210408_level-01B_run-001,sub-cp011,1,hybrid,1000,42,51,50,0,1,0.8935268521308899,0.89452064037323,0.8014304637908936,0.8325669765472412
sub-cp011_ses-20210408_level-01B_run-007,sub-cp011,1,hybrid,1000,42,51,50,0,0,0.8563390970230103,0.8446423411369324,0.7740294337272644,0.7839962840080261
sub-cp011_ses-20210408_level-01B_run-012,sub-cp011,1,hybrid,1000,42,51,50,0,0,0.8819527626037598,0.8727605938911438,0.7898190021514893,0.8311023116111755
sub-cp011_ses-20210408_level-02B_run-003,sub-cp011,1,hybrid,1000,42,51,50,1,2,0.7286596298217773,0.752307653427124,0.7903041839599609,0.774034321308136
sub-cp011_ses-20210408_level-02B_run-008,sub-cp011,1,hybrid,1000,42,51,50,1,1,0.8756740689277649,0.884188175201416,0.850496768951416,0.8438398838043213
sub-cp011_ses-20210408_level-02B_run-010,sub-cp011,1,hybrid,1000,42,51,50,1,2,0.844551682472229,0.8807655572891235,0.8979939222335815,0.8203756809234619
sub-cp011_ses-20210408_level-03B_run-002,sub-cp011,1,hybrid,1000,42,51,50,2,2,0.7534111738204956,0.7830517292022705,0.8390181064605713,0.7843481302261353
sub-cp011_ses-20210408_level-03B_run-005,sub-cp011,1,hybrid,1000,42,51,50,2,1,0.8573989868164062,0.875740647315979,0.8683152794837952,0.8416444659233093
sub-cp011_ses-20210408_level-03B_run-011,sub-cp011,1,hybrid,1000,42,51,50,2,2,0.819534957408905,0.8434087038040161,0.8779062628746033,0.8342027068138123
sub-cp011_ses-20210408_level-04B_run-004,sub-cp011,1,hybrid,1000,42,51,50,3,3,0.7984817624092102,0.796909511089325,0.8285101652145386,0.8486505150794983
sub-cp011_ses-20210408_level-04B_run-006,sub-cp011,1,hybrid,1000,42,51,50,3,3,0.791824460029602,0.8085440397262573,0.8487409353256226,0.8932331204414368
sub-cp011_ses-20210408_level-04B_run-009,sub-cp011,1,hybrid,1000,42,51,50,3,3,0.8371203541755676,0.8539211750030518,0.8328061699867249,0.882064938545227
sub-cp016_ses-20210528_level-01B_run-001,sub-cp016,1,hybrid,1000,42,51,50,0,0,0.9494286775588988,0.8836846947669983,0.8193219900131226,0.7607132792472839
sub-cp016_ses-20210528_level-01B_run-007,sub-cp016,1,hybrid,1000,42,51,50,0,0,0.890801191329956,0.8324917554855347,0.8056828379631042,0.736411452293396
sub-cp016_ses-20210528_level-01B_run-012,sub-cp016,1,hybrid,1000,42,51,50,0,0,0.934867799282074,0.8519085049629211,0.8183914422988892,0.7731959819793701
sub-cp016_ses-20210528_level-02B_run-003,sub-cp016,1,hybrid,1000,42,51,50,1,0,0.8992070555686951,0.8987353444099426,0.8661264777183533,0.7549986839294434
sub-cp016_ses-20210528_level-02B_run-008,sub-cp016,1,hybrid,1000,42,51,50,1,1,0.8884625434875488,0.9113072156906128,0.8606638312339783,0.7358614802360535
sub-cp016_ses-20210528_level-02B_run-010,sub-cp016,1,hybrid,1000,42,51,50,1,1,0.8888421058654785,0.922415554523468,0.8541329503059387,0.7332843542098999
sub-cp016_ses-20210528_level-03B_run-002,sub-cp016,1,hybrid,1000,42,51,50,2,2,0.8302845358848572,0.8639602661132812,0.8836763501167297,0.7349380254745483
sub-cp016_ses-20210528_level-03B_run-005,sub-cp016,1,hybrid,1000,42,51,50,2,2,0.8471546173095703,0.8773760795593262,0.8894957304000854,0.7440969347953796
sub-cp016_ses-20210528_level-03B_run-011,sub-cp016,1,hybrid,1000,42,51,50,2,2,0.8389307260513306,0.8752589821815491,0.8826018571853638,0.734174907207489
sub-cp016_ses-20210528_level-04B_run-004,sub-cp016,1,hybrid,1000,42,51,50,3,3,0.8551162481307983,0.8483985066413879,0.8847048878669739,0.9353521466255188
sub-cp016_ses-20210528_level-04B_run-006,sub-cp016,1,hybrid,1000,42,51,50,3,3,0.8639249205589294,0.8581887483596802,0.8871092200279236,0.9347935318946838
sub-cp016_ses-20210528_level-04B_run-009,sub-cp016,1,hybrid,1000,42,51,50,3,3,0.8609474897384644,0.84505295753479,0.884341835975647,0.9044387936592102
sub-cp027_ses-20210722_level-01B_run-001,sub-cp027,1,hybrid,1000,42,51,50,0,0,0.9222902059555054,0.9072895050048828,0.833220362663269,0.7606230974197388
sub-cp027_ses-20210722_level-01B_run-007,sub-cp027,1,hybrid,1000,42,51,50,0,0,0.918780505657196,0.9156015515327454,0.8317245841026306,0.7445248365402222
