run_key,subject_id,outer_fold,variant,dimension,seed,levels,feature_k,target_score,selected_temperature,similarity_prediction_raw,similarity_prediction_bounded
sub-cp004_ses-20210330_level-01B_run-001,sub-cp004,1,hybrid,1000,42,51,50,1.0,0.05,1.532057923833157,1.532057923833157
sub-cp004_ses-20210330_level-01B_run-007,sub-cp004,1,hybrid,1000,42,51,50,1.0,0.05,1.82955642453817,1.82955642453817
sub-cp004_ses-20210330_level-01B_run-012,sub-cp004,1,hybrid,1000,42,51,50,1.0,0.05,1.6003945906065218,1.6003945906065218
sub-cp004_ses-20210330_level-02B_run-003,sub-cp004,1,hybrid,1000,42,51,50,2.0,0.05,2.280041536063194,2.280041536063194
sub-cp004_ses-20210330_level-02B_run-008,sub-cp004,1,hybrid,1000,42,51,50,2.0,0.05,1.8554224332637943,1.8554224332637943
sub-cp004_ses-20210330_level-02B_run-010,sub-cp004,1,hybrid,1000,42,51,50,2.0,0.05,2.4190451101031747,2.4190451101031747
sub-cp004_ses-20210330_level-03B_run-002,sub-cp004,1,hybrid,1000,42,51,50,3.0,0.05,2.4868244034833773,2.4868244034833773
sub-cp004_ses-20210330_level-03B_run-005,sub-cp004,1,hybrid,1000,42,51,50,3.0,0.05,2.569073839398143,2.569073839398143
sub-cp004_ses-20210330_level-03B_run-011,sub-cp004,1,hybrid,1000,42,51,50,3.0,0.05,2.575649710917175,2.575649710917175
sub-cp004_ses-20210330_level-04B_run-004,sub-cp004,1,hybrid,1000,42,51,50,4.0,0.05,2.926125068957905,2.926125068957905
sub-cp004_ses-20210330_level-04B_run-006,sub-cp004,1,hybrid,1000,42,51,50,4.0,0.05,2.896307005123742,2.896307005123742
sub-cp004_ses-20210330_level-04B_run-009,sub-cp004,1,hybrid,1000,42,51,50,4.0,0.05,2.765999635638124,2.765999635638124
sub-cp011_ses-20210408_level-01B_run-001,sub-cp011,1,hybrid,1000,42,51,50,1.0,0.05,1.8987272925163947,1.8987272925163947
sub-cp011_ses-20210408_level-01B_run-007,sub-cp011,1,hybrid,1000,42,51,50,1.0,0.05,1.84834458596058,1.84834458596058
sub-cp011_ses-20210408_level-01B_run-012,sub-cp011,1,hybrid,1000,42,51,50,1.0,0.05,1.9497236614149116,1.9497236614149116
sub-cp011_ses-20210408_level-02B_run-003,sub-cp011,1,hybrid,1000,42,51,50,2.0,0.05,2.8676724461604417,2.8676724461604417
sub-cp011_ses-20210408_level-02B_run-008,sub-cp011,1,hybrid,1000,42,51,50,2.0,0.05,2.199595754424175,2.199595754424175
sub-cp011_ses-20210408_level-02B_run-010,sub-cp011,1,hybrid,1000,42,51,50,2.0,0.05,2.477138553417121,2.477138553417121
sub-cp011_ses-20210408_level-03B_run-002,sub-cp011,1,hybrid,1000,42,51,50,3.0,0.05,2.808701271922545,2.808701271922545
sub-cp011_ses-20210408_level-03B_run-005,sub-cp011,1,hybrid,1000,42,51,50,3.0,0.05,2.3856661390565685,2.3856661390565685
sub-cp011_ses-20210408_level-03B_run-011,sub-cp011,1,hybrid,1000,42,51,50,3.0,0.05,2.6831033799200155,2.6831033799200155
sub-cp011_ses-20210408_level-04B_run-004,sub-cp011,1,hybrid,1000,42,51,50,4.0,0.05,2.962947119963728,2.962947119963728
sub-cp011_ses-20210408_level-04B_run-006,sub-cp011,1,hybrid,1000,42,51,50,4.0,0.05,3.320386787362841,3.320386787362841
sub-cp011_ses-20210408_level-04B_run-009,sub-cp011,1,hybrid,1000,42,51,50,4.0,0.05,2.8367591214703305,2.8367591214703305
sub-cp016_ses-20210528_level-01B_run-001,sub-cp016,1,hybrid,1000,42,51,50,1.0,0.05,1.355598279603797,1.355598279603797
sub-cp016_ses-20210528_level-01B_run-007,sub-cp016,1,hybrid,1000,42,51,50,1.0,0.05,1.528036449294598,1.528036449294598
sub-cp016_ses-20210528_level-01B_run-012,sub-cp016,1,hybrid,1000,42,51,50,1.0,0.05,1.3792170286885408,1.3792170286885408
sub-cp016_ses-20210528_level-02B_run-003,sub-cp016,1,hybrid,1000,42,51,50,2.0,0.05,1.8547614151363097,1.8547614151363097
sub-cp016_ses-20210528_level-02B_run-008,sub-cp016,1,hybrid,1000,42,51,50,2.0,0.05,1.896260412062016,1.896260412062016
sub-cp016_ses-20210528_level-02B_run-010,sub-cp016,1,hybrid,1000,42,51,50,2.0,0.05,1.882490122661158,1.882490122661158
sub-cp016_ses-20210528_level-03B_run-002,sub-cp016,1,hybrid,1000,42,51,50,3.0,0.05,2.366547255826261,2.366547255826261
sub-cp016_ses-20210528_level-03B_run-005,sub-cp016,1,hybrid,1000,42,51,50,3.0,0.05,2.2999842040054523,2.2999842040054523
sub-cp016_ses-20210528_level-03B_run-011,sub-cp016,1,hybrid,1000,42,51,50,3.0,0.05,2.293800978959465,2.293800978959465
sub-cp016_ses-20210528_level-04B_run-004,sub-cp016,1,hybrid,1000,42,51,50,4.0,0.05,3.242803685238699,3.242803685238699
sub-cp016_ses-20210528_level-04B_run-006,sub-cp016,1,hybrid,1000,42,51,50,4.0,0.05,3.1622874769166565,3.1622874769166565
sub-cp016_ses-20210528_level-04B_run-009,sub-cp016,1,hybrid,1000,42,51,50,4.0,0.05,2.9402558473961906,2.9402558473961906
sub-cp027_ses-20210722_level-01B_run-001,sub-cp027,1,hybrid,1000,42,51,50,1.0,0.05,1.613706103210123,1.613706103210123
sub-cp027_ses-20210722_level-01B_run-007,sub-cp027,1,hybrid,1000,42,51,50,1.0,0.05,1.6440102837634398,1.6440102837634398
sub-cp027_ses-20210722_level-01B_run-012,sub-cp027,1,hybrid,1000,42,51,50,1.0,0.05,1.652948196325837,1.652948196325837
sub-cp027_ses-20210722_level-02B_run-003,sub-cp027,1,hybrid,1000,42,51,50,2.0,0.05,2.012012254908916,2.012012254908916
sub-cp027_ses-20210722_level-02B_run-008,sub-cp027,1,hybrid,1000,42,51,50,2.0,0.05,2.0880465707190217,2.0880465707190217
sub-cp027_ses-20210722_level-02B_run-010,sub-cp027,1,hybrid,1000,42,51,50,2.0,0.05,1.982017727617489,1.982017727617489
sub-cp027_ses-20210722_level-03B_run-002,sub-cp027,1,hybrid,1000,42,51,50,3.0,0.05,2.4575868898005364,2.4575868898005364
sub-cp027_ses-20210722_level-03B_run-005,sub-cp027,1,hybrid,1000,42,51,50,3.0,0.05,2.1344433211240608,2.1344433211240608
sub-cp027_ses-20210722_level-03B_run-011,sub-cp027,1,hybrid,1000,42,51,50,3.0,0.05,2.3226027284188238,2.3226027284188238
sub-cp027_ses-20210722_level-04B_run-004,sub-cp027,1,hybrid,1000,42,51,50,4.0,0.05,3.2896747483109303,3.2896747483109303
sub-cp027_ses-20210722_level-04B_run-006,sub-cp027,1,hybrid,1000,42,51,50,4.0,0.05,3.0636437002085115,3.0636437002085115
sub-cp027_ses-20210722_level-04B_run-009,sub-cp027,1,hybrid,1000,42,51,50,4.0,0.05,3.2440723749209464,3.2440723749209464
sub-cp033_ses-20211215_level-01B_run-001,sub-cp033,1,hybrid,1000,42,51,50,1.0,0.05,1.9664635601743177,1.9664635601743177
sub-cp033_ses-20211215_level-01B_run-007,sub-cp033,1,hybrid,1000,42,51,50,1.0,0.05,2.0624288778717386,2.0624288778717386
sub-cp033_ses-20211215_level-01B_run-012,sub-cp033,1,hybrid,1000,42,51,50,1.0,0.05,1.8277450183305677,1.8277450183305677
sub-cp033_ses-20211215_level-02B_run-003,sub-cp033,1,hybrid,1000,42,51,50,2.0,0.05,2.429319592726608,2.429319592726608
sub-cp033_ses-20211215_level-02B_run-008,sub-cp033,1,hybrid,1000,42,51,50,2.0,0.05,1.7604561185247192,1.7604561185247192
sub-cp033_ses-20211215_level-02B_run-010,sub-cp033,1,hybrid,1000,42,51,50,2.0,0.05,1.59268660875207,1.59268660875207
sub-cp033_ses-20211215_level-03B_run-002,sub-cp033,1,hybrid,1000,42,51,50,3.0,0.05,2.3831186286474595,2.3831186286474595
sub-cp033_ses-20211215_level-03B_run-005,sub-cp033,1,hybrid,1000,42,51,50,3.0,0.05,2.4479316744723327,2.4479316744723327
sub-cp033_ses-20211215_level-03B_run-011,sub-cp033,1,hybrid,1000,42,51,50,3.0,0.05,2.2970042529913264,2.2970042529913264
sub-cp033_ses-20211215_level-04B_run-004,sub-cp033,1,hybrid,1000,42,51,50,4.0,0.05,3.068471692724971,3.068471692724971
sub-cp033_ses-20211215_level-04B_run-006,sub-cp033,1,hybrid,1000,42,51,50,4.0,0.05,3.0539583103147865,3.0539583103147865
sub-cp033_ses-20211215_level-04B_run-009,sub-cp033,1,hybrid,1000,42,51,50,4.0,0.05,3.133805860757768,3.133805860757768
sub-cp039_ses-20211219_level-01B_run-001,sub-cp039,1,hybrid,1000,42,51,50,1.0,0.05,2.8758891538043523,2.8758891538043523
