variant,outer_fold,candidate_id,dimension,epochs,learning_rate,margin_threshold,levels,feature_k,seed,canonical_config_json,inner_fold_1_macro_f1,inner_fold_2_macro_f1,inner_fold_3_macro_f1,mean_macro_f1,std_macro_f1_sample,mean_balanced_accuracy,mean_accuracy,mean_severe_error_rate,training_seconds,inference_seconds,model_bytes,status,centroids_per_class
onlinehd,1,candidate_001,2000,1.0,0.05,0.0,51,50,42,"{""dimension"":2000,""epochs"":1,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""onlinehd""}",0.8591409429766284,0.6837606837606838,0.8392250972038207,0.7940422413137109,0.09602435462138131,0.7987843145332949,0.7980599647266313,0.029152401701421308,0.047907200030749664,0.018781099963234738,32000,COMPLETE,
onlinehd,2,candidate_009,2000,5.0,0.05,0.0,51,50,42,"{""dimension"":2000,""epochs"":5,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""onlinehd""}",0.8159045139059165,0.7743296022862587,0.7142389646699991,0.7681576936207248,0.051113015150663445,0.7717432950191571,0.7717086834733894,0.027207179167963478,0.22434570000041276,0.0012281000090297312,32000,COMPLETE,
onlinehd,3,candidate_002,2000,1.0,0.05,0.1,51,50,42,"{""dimension"":2000,""epochs"":1,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.8081420828047515,0.7896015377909333,0.7262544123644992,0.7746660109867282,0.042938329185265196,0.7821889955510645,0.784054362485735,0.032524120759414875,0.0480686999799218,0.001143200002843514,32000,COMPLETE,
onlinehd,4,candidate_024,5000,5.0,0.1,0.1,51,50,42,"{""dimension"":5000,""epochs"":5,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.8131381197418933,0.6990068248468096,0.897598627787307,0.80324785745867,0.09966463271799354,0.8060076417835038,0.8056593007573399,0.03812636165577342,0.2807742999866605,0.005590299988398328,80000,COMPLETE,
onlinehd,5,candidate_018,5000,3.0,0.05,0.1,51,50,42,"{""dimension"":5000,""epochs"":3,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.8828869047619048,0.7732589285714285,0.7870460397942094,0.8143972910425142,0.05971299271968229,0.8158269133055933,0.8160493827160494,0.03950617283950617,0.1644017999933567,0.005499499995494261,80000,COMPLETE,
multicentroid,1,candidate_004,5000,,,,51,50,42,"{""centroids_per_class"":2,""dimension"":5000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.8992524414484486,0.6926829057726094,0.8885236007877517,0.82681964933627,0.11628962329407587,0.8310125104711682,0.8305840854860462,0.030293598921049898,0.6992059999611229,0.009287599998060614,160000,COMPLETE,2.0
multicentroid,2,candidate_005,5000,,,,51,50,42,"{""centroids_per_class"":3,""dimension"":5000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.7529570163150398,0.7830274131802024,0.8980895343863045,0.8113579879605156,0.07660174965993714,0.8133354618986802,0.8135439360929556,0.03589583981740844,0.8477753999759443,0.009301999991293997,240000,COMPLETE,3.0
multicentroid,3,candidate_001,2000,,,,51,50,42,"{""centroids_per_class"":2,""dimension"":2000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.8129538761891703,0.8052068302068301,0.7633201105902151,0.7938269389954051,0.02670213689708947,0.79561562320183,0.7964000414980807,0.04206867932358128,0.3523134999850299,0.0030595000134781003,64000,COMPLETE,2.0
multicentroid,4,candidate_002,2000,,,,51,50,42,"{""centroids_per_class"":3,""dimension"":2000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.8303853897037676,0.8055992313067785,0.8785811382667367,0.838188586425761,0.03711141462124011,0.8400632838851229,0.8390393194314764,0.032809420064322026,0.4092705999792088,0.0028426999924704432,96000,COMPLETE,3.0
multicentroid,5,candidate_005,5000,,,,51,50,42,"{""centroids_per_class"":3,""dimension"":5000,""feature_k"":50,""levels"":51,""seed"":42,""variant"":""multicentroid""}",0.8595979612296334,0.8322751322751323,0.7901122291021672,0.8273284408689777,0.03500598604843594,0.8290985182438648,0.829320987654321,0.045679012345679004,0.845244400028605,0.00985110001056455,240000,COMPLETE,3.0
hybrid,1,candidate_027,5000,1.0,0.1,0.0,51,50,42,"{""centroids_per_class"":3,""dimension"":5000,""epochs"":1,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""hybrid""}",0.8912250384024578,0.7645770048061153,0.908628907129067,0.8548103167792135,0.07862735913083364,0.855545942679795,0.8555607428156448,0.023835460109969914,0.6797711000253912,0.008685599983436987,240000,COMPLETE,3.0
hybrid,2,candidate_005,2000,3.0,0.05,0.0,51,50,42,"{""centroids_per_class"":2,""dimension"":2000,""epochs"":3,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""hybrid""}",0.8155159742545127,0.8621576358765994,0.8771428386880078,0.8516054829397067,0.03213998372244106,0.8518944231587909,0.8519555970536362,0.032524120759414875,0.3724006999982521,0.0014733000134583563,64000,COMPLETE,2.0
hybrid,3,candidate_021,5000,3.0,0.05,0.0,51,50,42,"{""centroids_per_class"":2,""dimension"":5000,""epochs"":3,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""hybrid""}",0.8392249279916207,0.8513104001094852,0.8592546707678287,0.8499299996229782,0.010085969365788556,0.8502308089951768,0.8510996991389148,0.030008299616142754,0.6746021000435576,0.00823770003626123,160000,COMPLETE,2.0
