variant,dimension,seed,oof_rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,severe_error_rate
hybrid,1000,42,419,0.7995226730310262,0.7996876943810907,0.8000507747079286,0.79983791344546,0.01909307875894988
hybrid,1000,43,419,0.7995226730310262,0.799756807657751,0.8009188718621226,0.800688506560303,0.028639618138424822
hybrid,1000,44,419,0.8210023866348448,0.8210959637846431,0.820967032529571,0.8208201090309076,0.016706443914081145
hybrid,1000,45,419,0.8186157517899761,0.8184420139608819,0.8189271340131176,0.8187989527566718,0.026252983293556086
hybrid,1000,46,419,0.7899761336515513,0.7895509364848987,0.7914291966543474,0.7913779856727632,0.021479713603818614
hybrid,2000,42,419,0.7995226730310262,0.7998017312875803,0.7992857324195597,0.7991361031082729,0.028639618138424822
hybrid,2000,43,419,0.8042959427207638,0.8042012233049969,0.8057675927681616,0.8056537213241768,0.02386634844868735
hybrid,2000,44,419,0.8114558472553699,0.8114352235814499,0.8131754476087267,0.8129780706492977,0.00954653937947494
hybrid,2000,45,419,0.8138424821002387,0.8137254647867855,0.8148897560570754,0.8147724859194084,0.01909307875894988
hybrid,2000,46,419,0.8281622911694511,0.8280807243071393,0.8293160254682543,0.8292422447537654,0.021479713603818614
hybrid,5000,42,419,0.8400954653937948,0.8404627997788374,0.8390408384340896,0.8389151892030227,0.026252983293556086
hybrid,5000,43,419,0.8448687350835322,0.8451344253231046,0.8448807936762751,0.844741078132852,0.021479713603818614
hybrid,5000,44,419,0.8329355608591885,0.8329108784297463,0.8332760976888902,0.8331315573675399,0.011933174224343675
hybrid,5000,45,419,0.8281622911694511,0.8279446575437142,0.8288458894788269,0.8287532913822596,0.01909307875894988
hybrid,5000,46,419,0.7637231503579952,0.7630183495749534,0.765500048062662,0.7654924994229556,0.021479713603818614
hybrid,10000,42,419,0.8400954653937948,0.8402813774276039,0.8403240105509006,0.8401486687970252,0.016706443914081145
hybrid,10000,43,419,0.8257756563245824,0.8261757896191859,0.8245178652000689,0.8242855942017644,0.01909307875894988
hybrid,10000,44,419,0.7995226730310262,0.7994842421729214,0.8008925592161942,0.800758415737477,0.021479713603818614
hybrid,10000,45,419,0.8520286396181385,0.8521187538876218,0.8515396497867215,0.8514455133680627,0.026252983293556086
hybrid,10000,46,419,0.8257756563245824,0.8259714734950585,0.8248894662473221,0.8247687420566528,0.02386634844868735
multicentroid,1000,42,419,0.7828162291169452,0.7829510505218052,0.7807161748586673,0.7804397612842552,0.031026252983293555
multicentroid,1000,43,419,0.7589498806682577,0.7590940113345773,0.755503567745231,0.7552316602684215,0.03579952267303103
multicentroid,1000,44,419,0.7899761336515513,0.7900952035385997,0.7885727173914427,0.7883502819813824,0.0405727923627685
multicentroid,1000,45,419,0.8210023866348448,0.8211862430022807,0.8191271186458853,0.8189212177627159,0.03341288782816229
multicentroid,1000,46,419,0.7804295942720764,0.7805705300988319,0.7780459557916252,0.7778345110367277,0.0405727923627685
multicentroid,2000,42,419,0.7899761336515513,0.7900718778077269,0.7878806878406087,0.7876235998631839,0.03579952267303103
multicentroid,2000,43,419,0.7899761336515513,0.7900947715806206,0.7876946209921522,0.7874619970259169,0.03579952267303103
multicentroid,2000,44,419,0.7947494033412887,0.7951067800124404,0.7914999663727721,0.7912303529491478,0.0405727923627685
multicentroid,2000,45,419,0.7971360381861575,0.7971477814638193,0.7955978072595703,0.7954446524688861,0.03818615751789976
multicentroid,2000,46,419,0.7971360381861575,0.7971248876909254,0.7957232547980427,0.7955355745632876,0.03341288782816229
multicentroid,5000,42,419,0.7995226730310262,0.7997326180109199,0.7967072632077163,0.796488808064333,0.031026252983293555
multicentroid,5000,43,419,0.7852028639618138,0.7853548966756514,0.7830201286306415,0.7827570339850515,0.031026252983293555
multicentroid,5000,44,419,0.801909307875895,0.8022047135254682,0.7990407682412886,0.7987917345438593,0.045346062052505964
multicentroid,5000,45,419,0.8114558472553699,0.811729386965236,0.809117869431454,0.8088882462020109,0.03579952267303103
multicentroid,5000,46,419,0.7947494033412887,0.794743935309973,0.7934986620775725,0.7933153473017591,0.03818615751789976
multicentroid,10000,42,419,0.7971360381861575,0.7972380606814569,0.7944809162015503,0.7942974295919768,0.03579952267303103
multicentroid,10000,43,419,0.7804295942720764,0.7804111376045338,0.7776577801443075,0.777483354191059,0.03341288782816229
multicentroid,10000,44,419,0.7971360381861575,0.7974194830326906,0.794184746782838,0.793916765947329,0.03341288782816229
multicentroid,10000,45,419,0.8162291169451074,0.8164234743244176,0.8136588781854206,0.8134488186100448,0.031026252983293555
multicentroid,10000,46,419,0.8138424821002387,0.8138835614071463,0.8113014526926214,0.8111473366170424,0.03341288782816229
onlinehd,1000,42,419,0.5871121718377088,0.5854736851199115,0.5637224266585981,0.5642536193252061,0.045346062052505964
onlinehd,1000,43,419,0.6778042959427207,0.6771589259796806,0.6699070866726089,0.6699699856925354,0.04295942720763723
onlinehd,1000,44,419,0.6252983293556086,0.6242522807381298,0.6235465153518691,0.6237360761746469,0.03341288782816229
onlinehd,1000,45,419,0.7398568019093079,0.7407932476328702,0.7261372057205513,0.7256574826012026,0.06205250596658711
onlinehd,1000,46,419,0.649164677804296,0.6514047273481236,0.6155093193797274,0.6143818644052783,0.04295942720763723
onlinehd,2000,42,419,0.7088305489260143,0.709978229317852,0.7000567394566659,0.6995713020040245,0.03818615751789976
onlinehd,2000,43,419,0.6348448687350835,0.6357993814361739,0.6359533446935295,0.6351433454980616,0.08591885441527446
onlinehd,2000,44,419,0.684964200477327,0.6859134183426636,0.6715038534553449,0.6708958101967997,0.05250596658711217
onlinehd,2000,45,419,0.6610978520286396,0.6592214389384201,0.6494144391688971,0.649823358314625,0.016706443914081145
onlinehd,2000,46,419,0.6205250596658711,0.6214674476466929,0.6210161583351684,0.620513970039087,0.07159904534606205
onlinehd,5000,42,419,0.639618138424821,0.6397859216255443,0.6304231669170051,0.629979371035001,0.03341288782816229
onlinehd,5000,43,419,0.7756563245823389,0.7756950203884165,0.7741003248454328,0.7739102398920537,0.028639618138424822
onlinehd,5000,44,419,0.6515513126491647,0.6526923940839036,0.6360500366747825,0.6353180152832013,0.0477326968973747
onlinehd,5000,45,419,0.7183770883054893,0.7178666459326837,0.7176733596664473,0.7175882209069632,0.03818615751789976
onlinehd,5000,46,419,0.7255369928400954,0.7258267675720507,0.7233155570697648,0.7230122768648484,0.0405727923627685
onlinehd,10000,42,419,0.639618138424821,0.6400593510263322,0.6340829284222076,0.633627451815399,0.057279236276849645
onlinehd,10000,43,419,0.665871121718377,0.6667746561614486,0.6613080288181978,0.660725592304744,0.0477326968973747
onlinehd,10000,44,419,0.6324582338902148,0.6320305480682838,0.6235152752989147,0.623614699160984,0.08353221957040573
onlinehd,10000,45,419,0.7231503579952268,0.7232194692100352,0.7215278258611737,0.7214470393871177,0.05250596658711217
onlinehd,10000,46,419,0.720763723150358,0.7212009295735711,0.7194240357931092,0.719269004676095,0.059665871121718374
vanilla,1000,42,419,0.7589498806682577,0.7589125889833437,0.7546471780921542,0.7544470271628806,0.04295942720763723
vanilla,1000,43,419,0.7231503579952268,0.722809541087843,0.7181925176407058,0.7180765021878829,0.045346062052505964
vanilla,1000,44,419,0.7804295942720764,0.7802750708411086,0.7761139146474305,0.7760173131462748,0.045346062052505964
vanilla,1000,45,419,0.7684964200477327,0.7683011956596862,0.7641619328906031,0.7641059475519,0.050119331742243436
vanilla,1000,46,419,0.7756563245823389,0.7753537735849056,0.7713105251035247,0.7712708201995179,0.04295942720763723
vanilla,2000,42,419,0.7804295942720764,0.7804335994194485,0.776237410194859,0.7760891622263143,0.0477326968973747
vanilla,2000,43,419,0.7517899761336515,0.7515874455732946,0.7468325721443744,0.7466919713181929,0.0477326968973747
vanilla,2000,44,419,0.7756563245823389,0.7754673785334163,0.7726129244404978,0.7724530437182872,0.03818615751789976
vanilla,2000,45,419,0.7923627684964201,0.7922260522496372,0.7888302037446727,0.7887413353921364,0.04295942720763723
vanilla,2000,46,419,0.7899761336515513,0.789754388693068,0.7865355642240927,0.7864929313661663,0.0477326968973747
vanilla,5000,42,419,0.7828162291169452,0.7827920899854862,0.7787372484382545,0.7785934548617194,0.04295942720763723
vanilla,5000,43,419,0.7708830548926014,0.7706821480406386,0.767216495456205,0.7670716081782624,0.0405727923627685
vanilla,5000,44,419,0.7732696897374701,0.7731995991429954,0.7696755625327053,0.7694955345824762,0.04295942720763723
vanilla,5000,45,419,0.7947494033412887,0.7946752539912917,0.7915073910589254,0.7913700264864667,0.04295942720763723
vanilla,5000,46,419,0.7947494033412887,0.7946074365885687,0.7916847002455213,0.7915932936803874,0.045346062052505964
vanilla,10000,42,419,0.7732696897374701,0.77322206095791,0.7688758922633354,0.7687151973650395,0.04295942720763723
vanilla,10000,43,419,0.7684964200477327,0.7682329462989841,0.7645791275111784,0.764472373313711,0.0477326968973747
vanilla,10000,44,419,0.7732696897374701,0.77306353237957,0.7700036264310369,0.7698624280334764,0.03579952267303103
vanilla,10000,45,419,0.7828162291169452,0.7825882058193379,0.7797247085370791,0.7796275588484242,0.04295942720763723
vanilla,10000,46,419,0.7756563245823389,0.7754220229456079,0.7721223147642584,0.7720347780555448,0.045346062052505964
