variant,dimension,seeds,macro_f1_count,macro_f1_mean,macro_f1_sd_sample,macro_f1_median,macro_f1_min,macro_f1_max,balanced_accuracy_count,balanced_accuracy_mean,balanced_accuracy_sd_sample,balanced_accuracy_median,balanced_accuracy_min,balanced_accuracy_max,accuracy_count,accuracy_mean,accuracy_sd_sample,accuracy_median,accuracy_min,accuracy_max,severe_error_rate_count,severe_error_rate_mean,severe_error_rate_sd_sample,severe_error_rate_median,severe_error_rate_min,severe_error_rate_max
hybrid,1000,"42,43,44,45,46",5,0.8064586019534176,0.012880127451261679,0.8009188718621226,0.7914291966543474,0.820967032529571,5,0.8057066832538531,0.013524570268541366,0.799756807657751,0.7895509364848987,0.8210959637846431,5,0.805727923627685,0.013458589193194934,0.7995226730310262,0.7899761336515513,0.8210023866348448,5,0.02243436754176611,0.004949031349242893,0.021479713603818614,0.016706443914081145,0.028639618138424822
hybrid,2000,"42,43,44,45,46",5,0.8124869108643556,0.011279264096438963,0.8131754476087267,0.7992857324195597,0.8293160254682543,5,0.8114488734535904,0.010839578757310443,0.8114352235814499,0.7998017312875803,0.8280807243071393,5,0.81145584725537,0.01093693483283017,0.8114558472553699,0.7995226730310262,0.8281622911694511,5,0.02052505966587112,0.007079903090306122,0.021479713603818614,0.00954653937947494,0.028639618138424822
hybrid,5000,"42,43,44,45,46",5,0.8223087334681487,0.0323253208135219,0.8332760976888902,0.765500048062662,0.8448807936762751,5,0.8218942221300711,0.03357544480047155,0.8329108784297463,0.7630183495749534,0.8451344253231046,5,0.8219570405727923,0.033181949959789195,0.8329355608591885,0.7637231503579952,0.8448687350835322,5,0.020047732696897375,0.005228854964249795,0.021479713603818614,0.011933174224343675,0.026252983293556086
hybrid,10000,"42,43,44,45,46",5,0.8284327102002415,0.019115923901241467,0.8248894662473221,0.8008925592161942,0.8515396497867215,5,0.8288063273204782,0.019684300912272062,0.8261757896191859,0.7994842421729214,0.8521187538876218,5,0.8286396181384248,0.019637233824080422,0.8257756563245824,0.7995226730310262,0.8520286396181385,5,0.021479713603818614,0.0037736010264539134,0.021479713603818614,0.016706443914081145,0.026252983293556086
multicentroid,1000,"42,43,44,45,46",5,0.7843931068865702,0.022980058446550624,0.7807161748586673,0.755503567745231,0.8191271186458853,5,0.786779407699219,0.02244166030634892,0.7829510505218052,0.7590940113345773,0.8211862430022807,5,0.786634844868735,0.022426749328560376,0.7828162291169452,0.7589498806682577,0.8210023866348448,5,0.036276849642004776,0.004269342200476927,0.03579952267303103,0.031026252983293555,0.0405727923627685
multicentroid,2000,"42,43,44,45,46",5,0.7916792674526292,0.00393851340068606,0.7914999663727721,0.7876946209921522,0.7957232547980427,5,0.7939092197111065,0.003589504174725865,0.7951067800124404,0.7900718778077269,0.7971477814638193,5,0.7937947494033413,0.003619510951814599,0.7947494033412887,0.7899761336515513,0.7971360381861575,5,0.036754176610978524,0.0027211823988046264,0.03579952267303103,0.03341288782816229,0.0405727923627685
multicentroid,5000,"42,43,44,45,46",5,0.7962769383177346,0.009436303158162788,0.7967072632077163,0.7830201286306415,0.809117869431454,5,0.7987531100974496,0.00970621410101411,0.7997326180109199,0.7853548966756514,0.811729386965236,5,0.7985680190930787,0.009635622548060309,0.7995226730310262,0.7852028639618138,0.8114558472553699,5,0.03627684964200477,0.005942672839135433,0.03579952267303103,0.031026252983293555,0.045346062052505964
multicentroid,10000,"42,43,44,45,46",5,0.7982567548013476,0.014684562567273815,0.7944809162015503,0.7776577801443075,0.8136588781854206,5,0.8010751434100489,0.014617754838178329,0.7974194830326906,0.7804111376045338,0.8164234743244176,5,0.8009546539379475,0.014576068243057247,0.7971360381861575,0.7804295942720764,0.8162291169451074,5,0.03341288782816229,0.0016876056830227872,0.03341288782816229,0.031026252983293555,0.03579952267303103
onlinehd,1000,"42,43,44,45,46",5,0.639764510756671,0.06124245577177715,0.6235465153518691,0.5637224266585981,0.7261372057205513,5,0.6558165733637432,0.058396108743925354,0.6514047273481236,0.5854736851199115,0.7407932476328702,5,0.6558472553699284,0.057537207466555294,0.649164677804296,0.5871121718377088,0.7398568019093079,5,0.045346062052505964,0.010403100103915689,0.04295942720763723,0.03341288782816229,0.06205250596658711
onlinehd,2000,"42,43,44,45,46",5,0.6555889070219212,0.03102268506432361,0.6494144391688971,0.6210161583351684,0.7000567394566659,5,0.6624759831363607,0.03608916000875733,0.6592214389384201,0.6214674476466929,0.709978229317852,5,0.6620525059665872,0.03598203278230911,0.6610978520286396,0.6205250596658711,0.7088305489260143,5,0.05298329355608592,0.02723274811569625,0.05250596658711217,0.016706443914081145,0.08591885441527446
