variant,dimension,seed,fit_time_seconds,prediction_time_seconds,total_runtime_seconds,peak_memory_bytes,peak_memory_scope,model_size_bytes,encoding_throughput_rows_per_second,source
vanilla,1000,42,3.629278175019862,0.0093666000175286,3.638644775037391,4703200,maximum inference Python allocation across folds,35072.0,8552.0850554865,Phase 05 frozen measured efficiency
vanilla,1000,43,3.6127987999861935,0.0129747000028143,3.625773499989009,4703200,maximum inference Python allocation across folds,34753.0,8717.579550514109,Phase 05 frozen measured efficiency
vanilla,1000,44,3.6316171749858768,0.0130009999993487,3.644618174985225,4703200,maximum inference Python allocation across folds,35933.0,8602.95416001084,Phase 05 frozen measured efficiency
vanilla,1000,45,3.618247650007106,0.0124286000063873,3.6306762500134937,4703200,maximum inference Python allocation across folds,36379.0,8425.565457996847,Phase 05 frozen measured efficiency
vanilla,1000,46,3.647456224989583,0.0131915999954796,3.660647824985062,4703200,maximum inference Python allocation across folds,34587.0,8596.388285933519,Phase 05 frozen measured efficiency
vanilla,2000,42,3.6569088750366063,0.014340500027174,3.671249375063781,4703200,maximum inference Python allocation across folds,65412.0,4238.010299679924,Phase 05 frozen measured efficiency
vanilla,2000,43,3.6399969999984014,0.0118006000120657,3.651797600010468,4703200,maximum inference Python allocation across folds,65494.0,4221.058548802086,Phase 05 frozen measured efficiency
vanilla,2000,44,3.659507174968894,0.0151043999940155,3.674611574962909,4703200,maximum inference Python allocation across folds,66962.0,4398.386768308941,Phase 05 frozen measured efficiency
vanilla,2000,45,3.653079850028007,0.0123467000230446,3.665426550051052,4703200,maximum inference Python allocation across folds,67211.0,4176.1123384185885,Phase 05 frozen measured efficiency
vanilla,2000,46,3.683644325032219,0.0131017000094287,3.696746025041648,4703200,maximum inference Python allocation across folds,67358.0,4324.971549635242,Phase 05 frozen measured efficiency
vanilla,5000,42,3.779275575023348,0.0277895999897735,3.8070651750131215,5481744,maximum inference Python allocation across folds,158491.0,1198.1475894786058,Phase 05 frozen measured efficiency
vanilla,5000,43,3.767244499984372,0.0291698999935758,3.796414399977947,5481744,maximum inference Python allocation across folds,156505.0,1153.5992641193047,Phase 05 frozen measured efficiency
vanilla,5000,44,3.786000674990646,0.0290424000122581,3.815043075002904,5481744,maximum inference Python allocation across folds,158671.0,1175.9551688842823,Phase 05 frozen measured efficiency
vanilla,5000,45,3.765687950010033,0.0274019000062251,3.7930898500162575,5481744,maximum inference Python allocation across folds,157922.0,1118.944314761439,Phase 05 frozen measured efficiency
vanilla,5000,46,3.805833825008449,0.0273408999928503,3.833174725001299,5481744,maximum inference Python allocation across folds,158728.0,1147.5696515208926,Phase 05 frozen measured efficiency
vanilla,10000,42,3.9129713750116935,0.049340599987772,3.962311974999465,10941744,maximum inference Python allocation across folds,309995.0,606.5702707315658,Phase 05 frozen measured efficiency
vanilla,10000,43,3.898303199988732,0.0526158999855396,3.950919099974272,10941744,maximum inference Python allocation across folds,309823.0,607.5538078434906,Phase 05 frozen measured efficiency
vanilla,10000,44,3.91057267497672,0.0513989000173748,3.961971574994095,10941744,maximum inference Python allocation across folds,310020.0,606.8321918539802,Phase 05 frozen measured efficiency
vanilla,10000,45,3.922973550008464,0.0474118999845811,3.9703854499930458,10941744,maximum inference Python allocation across folds,308937.0,575.453014742035,Phase 05 frozen measured efficiency
vanilla,10000,46,3.9299119250172234,0.0469645999983184,3.976876525015541,10941744,maximum inference Python allocation across folds,309496.0,611.0352826209535,Phase 05 frozen measured efficiency
onlinehd,1000,42,NOT_AVAILABLE,NOT_AVAILABLE,3.796173999959137,NOT_AVAILABLE,NOT_AVAILABLE,16000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
