variant,dimension,seed_count,seeds,total_runtime_seconds_mean,total_runtime_seconds_sd_sample,total_runtime_seconds_median,total_runtime_seconds_min,total_runtime_seconds_max,model_size_bytes_mean,model_size_bytes_sd_sample,model_size_bytes_median,model_size_bytes_min,model_size_bytes_max,peak_memory_complete,encoding_throughput_complete
hybrid,1000,5,"42,43,44,45,46",4.336060780019034,0.12064345985962857,4.271608600043692,4.250670100067509,4.5398217999900226,48000.0,0.0,48000.0,48000.0,48000.0,False,False
hybrid,2000,5,"42,43,44,45,46",4.659171500027878,0.1258824060110429,4.586994600045728,4.5664766000409145,4.866471699991962,96000.0,0.0,96000.0,96000.0,96000.0,False,False
hybrid,5000,5,"42,43,44,45,46",5.428569580044131,0.17009717650748163,5.348847800050862,5.30228740000166,5.7027811000007205,240000.0,0.0,240000.0,240000.0,240000.0,False,False
hybrid,10000,5,"42,43,44,45,46",6.812270360044204,0.18650485536563402,6.708267700072611,6.682097300013993,7.125179600057891,480000.0,0.0,480000.0,480000.0,480000.0,False,False
multicentroid,1000,5,"42,43,44,45,46",4.048979879968101,0.1396002265529351,4.065749200002755,3.8791255999822165,4.1897359999711625,48000.0,0.0,48000.0,48000.0,48000.0,False,False
multicentroid,2000,5,"42,43,44,45,46",4.394966639962513,0.1433830760360698,4.416572799993446,4.214746700017713,4.53750679991208,96000.0,0.0,96000.0,96000.0,96000.0,False,False
multicentroid,5000,5,"42,43,44,45,46",5.227587999968091,0.17228257782422357,5.243597300053807,4.9881930999981705,5.421237699949415,240000.0,0.0,240000.0,240000.0,240000.0,False,False
multicentroid,10000,5,"42,43,44,45,46",6.623248539987253,0.1435901119685317,6.617951700027334,6.426279100007378,6.810587799962377,480000.0,0.0,480000.0,480000.0,480000.0,False,False
onlinehd,1000,5,"42,43,44,45,46",3.813642659998731,0.04475366701493687,3.796173999959137,3.7820564000285226,3.891691300028469,16000.0,0.0,16000.0,16000.0,16000.0,False,False
onlinehd,2000,5,"42,43,44,45,46",3.8395531799935263,0.04699653560441915,3.832330100005492,3.804732800024794,3.9198901000490873,32000.0,0.0,32000.0,32000.0,32000.0,False,False
onlinehd,5000,5,"42,43,44,45,46",3.9044511999993112,0.04406169873753361,3.8985771999869026,3.8694078000262375,3.9791371000465,80000.0,0.0,80000.0,80000.0,80000.0,False,False
onlinehd,10000,5,"42,43,44,45,46",3.9948583000164946,0.04404011708235157,3.9901557000121097,3.956755600054748,4.068648400017992,160000.0,0.0,160000.0,160000.0,160000.0,False,False
vanilla,1000,5,"42,43,44,45,46",3.640072105002036,0.013590405367613188,3.638644775037391,3.625773499989009,3.660647824985062,35344.8,776.9261226139845,35072.0,34587.0,36379.0,True,True
vanilla,2000,5,"42,43,44,45,46",3.6719662250259715,0.016363763494132724,3.671249375063781,3.651797600010468,3.696746025041648,66487.4,955.2637332171677,66962.0,65412.0,67358.0,True,True
vanilla,5000,5,"42,43,44,45,46",3.8089574450023056,0.016095036330264535,3.8070651750131215,3.7930898500162575,3.833174725001299,158063.4,927.6741345968421,158491.0,156505.0,158728.0,True,True
vanilla,10000,5,"42,43,44,45,46",3.964492924995284,0.009790784885860458,3.962311974999465,3.950919099974272,3.976876525015541,309654.2,452.1755190188872,309823.0,308937.0,310020.0,True,True
