variant,outer_fold,dimension,seed,selected_temperature,macro_f1,balanced_accuracy,mae_bounded,rmse_bounded,model_bytes,checkpoint_sha256,status
onlinehd,1,1000,42,0.05,0.5509066405292821,0.6190476190476191,0.5327391907354284,0.7496613666967837,16000,198a2502fc55e2ccaa1d0b5d7b000e6ba6bafdcdbc8814eb8de47da6fbda9181,COMPLETE
onlinehd,1,1000,43,0.05,0.6703664552501762,0.6904761904761905,0.4305896362447712,0.63139825541412,16000,79722e418f60cb13845df19e8a83fb84262a9cf019c6ece618459f17880442c0,COMPLETE
onlinehd,1,1000,44,0.05,0.5119063485716824,0.5833333333333333,0.5617479425755233,0.7785799843792768,16000,ea35f77842adcc84bb8425a1566b297ef84478fd553fe86a737ace10dd842712,COMPLETE
onlinehd,1,1000,45,0.05,0.6274620007069636,0.6904761904761905,0.3915020689126716,0.6305639621847636,16000,bf6c8a25de7eb87e8cceb7d80cea97e06a160f68e7a7ab5fcbd4d34c1d5ae4b9,COMPLETE
onlinehd,1,1000,46,0.05,0.4588090411153792,0.5357142857142857,0.49760666051753344,0.6447354196564573,16000,0b90d35b6b5c64a529796e0414818cc3843c70783c093a7c12f382c7dac8f390,COMPLETE
onlinehd,1,2000,42,0.05,0.38970980710111147,0.48809523809523814,0.5171334821109982,0.6806761816960177,32000,fb5e294f8b22203fa211346bb0fe0ebdae43b3ebffa56d60a6fd0309800bc71d,COMPLETE
onlinehd,1,2000,43,0.05,0.7304954195834414,0.75,0.40622027959681306,0.6230419351143754,32000,177fd299746c2373fb3f85c1c5d47493f97724466b61afdd44bbea165239cea6,COMPLETE
onlinehd,1,2000,44,0.05,0.6301185656448813,0.6547619047619048,0.4569955811623692,0.6962312665513588,32000,dcfb7d743a03dc3bd25ad02479009d9519953b4ac5dd99fc13c7746a2c8e3aca,COMPLETE
onlinehd,1,2000,45,0.05,0.5273060273060273,0.5595238095238095,0.5498780225208579,0.6680700445577542,32000,a49e3ae6717f0d181188d8d35b570436c3e484073362cd267e02bd1167f2d485,COMPLETE
onlinehd,1,2000,46,0.05,0.7170454545454545,0.7261904761904762,0.47202037936108304,0.6118808025771367,32000,2138f9cc79fd3d116aef242bc9073aa2aac1483c0ee1db08b9e59fb569a4e2a5,COMPLETE
