task,candidate_family,dimension,primary_metric,primary_value,mean_inner_measured_runtime_seconds,mean_model_bytes,pareto,model_bytes_used,memory_status
classification,hybrid|2000,2000,inner_macro_f1,0.84011259281180029,1.3103882800030981,64000,True,True,MEMORY_USED_AS_LATE_TIEBREAK_COMPLETE_COVERAGE
classification,hybrid|5000,5000,inner_macro_f1,0.85019392293642415,1.6469910600222644,192000,True,True,MEMORY_USED_AS_LATE_TIEBREAK_COMPLETE_COVERAGE
classification,multicentroid|2000,2000,inner_macro_f1,0.80999989087127611,1.3136699399852654,83200,False,True,MEMORY_USED_AS_LATE_TIEBREAK_COMPLETE_COVERAGE
classification,multicentroid|5000,5000,inner_macro_f1,0.81795208619834625,1.6710667399980585,192000,False,True,MEMORY_USED_AS_LATE_TIEBREAK_COMPLETE_COVERAGE
classification,onlinehd|2000,2000,inner_macro_f1,0.75946973697436859,1.0609501400031145,32000,True,True,MEMORY_USED_AS_LATE_TIEBREAK_COMPLETE_COVERAGE
classification,onlinehd|5000,5000,inner_macro_f1,0.78113281826813674,1.0916573399968907,80000,True,True,MEMORY_USED_AS_LATE_TIEBREAK_COMPLETE_COVERAGE
classification,vanilla|2000,2000,inner_macro_f1,0.78679614897781502,1.0118023599992736,299142.40000000002,True,True,MEMORY_USED_AS_LATE_TIEBREAK_COMPLETE_COVERAGE
classification,vanilla|5000,5000,inner_macro_f1,0.79157689253564534,1.0190662999957563,653142.40000000002,True,True,MEMORY_USED_AS_LATE_TIEBREAK_COMPLETE_COVERAGE
regression,COMMON_ENCODER_READOUT_BASELINE|1000,1000,inner_bounded_mae,0.35326468085369533,0.58800716600002489,8008,True,True,MEMORY_USED_AS_LATE_TIEBREAK_COMPLETE_COVERAGE
regression,COMMON_ENCODER_READOUT_BASELINE|10000,10000,inner_bounded_mae,0.2897499637189328,0.58800716600002489,80008,True,True,MEMORY_USED_AS_LATE_TIEBREAK_COMPLETE_COVERAGE
regression,COMMON_ENCODER_READOUT_BASELINE|2000,2000,inner_bounded_mae,0.32527173214068067,0.58800716600002489,16008,True,True,MEMORY_USED_AS_LATE_TIEBREAK_COMPLETE_COVERAGE
regression,COMMON_ENCODER_READOUT_BASELINE|5000,5000,inner_bounded_mae,0.29861043969545265,0.58800716600002489,40008,True,True,MEMORY_USED_AS_LATE_TIEBREAK_COMPLETE_COVERAGE
regression,hybrid_similarity|1000,1000,inner_bounded_mae,0.58144182857385085,0.29980765600572329,38400,False,True,MEMORY_USED_AS_LATE_TIEBREAK_COMPLETE_COVERAGE
regression,hybrid_similarity|10000,10000,inner_bounded_mae,0.57660633668421946,1.2370139839965848,384000,False,True,MEMORY_USED_AS_LATE_TIEBREAK_COMPLETE_COVERAGE
regression,hybrid_similarity|2000,2000,inner_bounded_mae,0.57902957680152889,0.36013016400160264,76800,False,True,MEMORY_USED_AS_LATE_TIEBREAK_COMPLETE_COVERAGE
regression,hybrid_similarity|5000,5000,inner_bounded_mae,0.5765807433975445,0.7156737680057994,192000,False,True,MEMORY_USED_AS_LATE_TIEBREAK_COMPLETE_COVERAGE
regression,multicentroid_similarity|1000,1000,inner_bounded_mae,0.68086041499106631,0.15791472400189366,41600,False,True,MEMORY_USED_AS_LATE_TIEBREAK_COMPLETE_COVERAGE
regression,multicentroid_similarity|10000,10000,inner_bounded_mae,0.68518075441853943,1.1388990280067082,416000,False,True,MEMORY_USED_AS_LATE_TIEBREAK_COMPLETE_COVERAGE
regression,multicentroid_similarity|2000,2000,inner_bounded_mae,0.68157672632424871,0.22643262000172387,83200,False,True,MEMORY_USED_AS_LATE_TIEBREAK_COMPLETE_COVERAGE
regression,multicentroid_similarity|5000,5000,inner_bounded_mae,0.68391601618836062,0.60626199200167308,208000,False,True,MEMORY_USED_AS_LATE_TIEBREAK_COMPLETE_COVERAGE
regression,onlinehd_similarity|1000,1000,inner_bounded_mae,0.44083864022333746,0.13380802400642991,16000,True,True,MEMORY_USED_AS_LATE_TIEBREAK_COMPLETE_COVERAGE
regression,onlinehd_similarity|10000,10000,inner_bounded_mae,0.43187212219555471,0.20712129199528123,160000,False,True,MEMORY_USED_AS_LATE_TIEBREAK_COMPLETE_COVERAGE
regression,onlinehd_similarity|2000,2000,inner_bounded_mae,0.46267712414819473,0.13912908399477583,32000,False,True,MEMORY_USED_AS_LATE_TIEBREAK_COMPLETE_COVERAGE
regression,onlinehd_similarity|5000,5000,inner_bounded_mae,0.40791632880038248,0.16760409999871612,80000,True,True,MEMORY_USED_AS_LATE_TIEBREAK_COMPLETE_COVERAGE
regression,vanilla_similarity|1000,1000,inner_bounded_mae,0.66915772079870506,0.58800716600002489,16000,False,True,MEMORY_USED_AS_LATE_TIEBREAK_COMPLETE_COVERAGE
regression,vanilla_similarity|10000,10000,inner_bounded_mae,0.67230065932462713,0.58800716600002489,160000,False,True,MEMORY_USED_AS_LATE_TIEBREAK_COMPLETE_COVERAGE
regression,vanilla_similarity|2000,2000,inner_bounded_mae,0.66821581916979444,0.58800716600002489,32000,False,True,MEMORY_USED_AS_LATE_TIEBREAK_COMPLETE_COVERAGE
regression,vanilla_similarity|5000,5000,inner_bounded_mae,0.67138073262290143,0.58800716600002489,80000,False,True,MEMORY_USED_AS_LATE_TIEBREAK_COMPLETE_COVERAGE
