task,head_family,canonical_head_family_name,variant,regression_head,dimension,outer_fold_count,seed_count_per_fold,mean_inner_bounded_mae,sample_sd_outer_fold_mean_mae,mean_inner_bounded_rmse,rmse_complete,mean_inner_measured_runtime_seconds,mean_model_bytes,model_bytes_complete,fold_parameter_policy_json,runtime_scope,ranking_order,selected,selection_reason,rmse_tiebreak_status,pareto
regression,COMMON_ENCODER_READOUT_BASELINE,COMMON_ENCODER_READOUT_BASELINE,common_ridge,COMMON_ENCODER_READOUT_BASELINE,10000,5,5,0.2897499637189328,0.010471550474558913,,False,0.58800716600002489,80008,True,"[{""outer_fold"":1,""parameter_policy_json"":""[{\""ridge_alpha\"":0.01,\""seed\"":42},{\""ridge_alpha\"":0.01,\""seed\"":43},{\""ridge_alpha\"":0.01,\""seed\"":44},{\""ridge_alpha\"":0.01,\""seed\"":45},{\""ridge_alpha\"":0.01,\""seed\"":46}]""},{""outer_fold"":2,""parameter_policy_json"":""[{\""ridge_alpha\"":0.01,\""seed\"":42},{\""ridge_alpha\"":0.01,\""seed\"":43},{\""ridge_alpha\"":0.01,\""seed\"":44},{\""ridge_alpha\"":0.01,\""seed\"":45},{\""ridge_alpha\"":0.01,\""seed\"":46}]""},{""outer_fold"":3,""parameter_policy_json"":""[{\""ridge_alpha\"":0.01,\""seed\"":42},{\""ridge_alpha\"":0.01,\""seed\"":43},{\""ridge_alpha\"":0.01,\""seed\"":44},{\""ridge_alpha\"":0.01,\""seed\"":45},{\""ridge_alpha\"":0.01,\""seed\"":46}]""},{""outer_fold"":4,""parameter_policy_json"":""[{\""ridge_alpha\"":0.01,\""seed\"":42},{\""ridge_alpha\"":0.01,\""seed\"":43},{\""ridge_alpha\"":0.01,\""seed\"":44},{\""ridge_alpha\"":0.01,\""seed\"":45},{\""ridge_alpha\"":0.01,\""seed\"":46}]""},{""outer_fold"":5,""parameter_policy_json"":""[{\""ridge_alpha\"":0.01,\""seed\"":42},{\""ridge_alpha\"":0.01,\""seed\"":43},{\""ridge_alpha\"":0.01,\""seed\"":44},{\""ridge_alpha\"":0.01,\""seed\"":45},{\""ridge_alpha\"":0.01,\""seed\"":46}]""}]",Phase 05 recorded inner_selection_seconds shared by the two heads,1,True,SELECTED_BY_AMENDMENT_V2_PRIMARY_AND_TIEBREAK_ORDER,NOT_INVOKED_INCOMPLETE_PHASE05_INNER_RECORDS,True
regression,COMMON_ENCODER_READOUT_BASELINE,COMMON_ENCODER_READOUT_BASELINE,common_ridge,COMMON_ENCODER_READOUT_BASELINE,5000,5,5,0.29861043969545265,0.0093464085440612774,,False,0.58800716600002489,40008,True,"[{""outer_fold"":1,""parameter_policy_json"":""[{\""ridge_alpha\"":0.01,\""seed\"":42},{\""ridge_alpha\"":0.01,\""seed\"":43},{\""ridge_alpha\"":0.01,\""seed\"":44},{\""ridge_alpha\"":0.01,\""seed\"":45},{\""ridge_alpha\"":0.01,\""seed\"":46}]""},{""outer_fold"":2,""parameter_policy_json"":""[{\""ridge_alpha\"":0.01,\""seed\"":42},{\""ridge_alpha\"":0.01,\""seed\"":43},{\""ridge_alpha\"":0.01,\""seed\"":44},{\""ridge_alpha\"":0.01,\""seed\"":45},{\""ridge_alpha\"":0.01,\""seed\"":46}]""},{""outer_fold"":3,""parameter_policy_json"":""[{\""ridge_alpha\"":0.01,\""seed\"":42},{\""ridge_alpha\"":0.01,\""seed\"":43},{\""ridge_alpha\"":0.01,\""seed\"":44},{\""ridge_alpha\"":0.01,\""seed\"":45},{\""ridge_alpha\"":0.01,\""seed\"":46}]""},{""outer_fold"":4,""parameter_policy_json"":""[{\""ridge_alpha\"":0.01,\""seed\"":42},{\""ridge_alpha\"":0.01,\""seed\"":43},{\""ridge_alpha\"":0.01,\""seed\"":44},{\""ridge_alpha\"":0.01,\""seed\"":45},{\""ridge_alpha\"":0.01,\""seed\"":46}]""},{""outer_fold"":5,""parameter_policy_json"":""[{\""ridge_alpha\"":0.01,\""seed\"":42},{\""ridge_alpha\"":0.01,\""seed\"":43},{\""ridge_alpha\"":0.01,\""seed\"":44},{\""ridge_alpha\"":0.01,\""seed\"":45},{\""ridge_alpha\"":0.01,\""seed\"":46}]""}]",Phase 05 recorded inner_selection_seconds shared by the two heads,2,False,LOWER_DETERMINISTIC_RANK,NOT_INVOKED_INCOMPLETE_PHASE05_INNER_RECORDS,True
regression,COMMON_ENCODER_READOUT_BASELINE,COMMON_ENCODER_READOUT_BASELINE,common_ridge,COMMON_ENCODER_READOUT_BASELINE,2000,5,5,0.32527173214068067,0.013906173595184999,,False,0.58800716600002489,16008,True,"[{""outer_fold"":1,""parameter_policy_json"":""[{\""ridge_alpha\"":0.1,\""seed\"":42},{\""ridge_alpha\"":0.1,\""seed\"":43},{\""ridge_alpha\"":0.01,\""seed\"":44},{\""ridge_alpha\"":0.01,\""seed\"":45},{\""ridge_alpha\"":0.1,\""seed\"":46}]""},{""outer_fold"":2,""parameter_policy_json"":""[{\""ridge_alpha\"":0.01,\""seed\"":42},{\""ridge_alpha\"":0.01,\""seed\"":43},{\""ridge_alpha\"":0.1,\""seed\"":44},{\""ridge_alpha\"":0.01,\""seed\"":45},{\""ridge_alpha\"":0.01,\""seed\"":46}]""},{""outer_fold"":3,""parameter_policy_json"":""[{\""ridge_alpha\"":0.01,\""seed\"":42},{\""ridge_alpha\"":0.01,\""seed\"":43},{\""ridge_alpha\"":0.01,\""seed\"":44},{\""ridge_alpha\"":0.1,\""seed\"":45},{\""ridge_alpha\"":0.01,\""seed\"":46}]""},{""outer_fold"":4,""parameter_policy_json"":""[{\""ridge_alpha\"":0.1,\""seed\"":42},{\""ridge_alpha\"":0.1,\""seed\"":43},{\""ridge_alpha\"":0.1,\""seed\"":44},{\""ridge_alpha\"":0.1,\""seed\"":45},{\""ridge_alpha\"":0.01,\""seed\"":46}]""},{""outer_fold"":5,""parameter_policy_json"":""[{\""ridge_alpha\"":0.1,\""seed\"":42},{\""ridge_alpha\"":0.1,\""seed\"":43},{\""ridge_alpha\"":0.1,\""seed\"":44},{\""ridge_alpha\"":0.01,\""seed\"":45},{\""ridge_alpha\"":0.01,\""seed\"":46}]""}]",Phase 05 recorded inner_selection_seconds shared by the two heads,3,False,LOWER_DETERMINISTIC_RANK,NOT_INVOKED_INCOMPLETE_PHASE05_INNER_RECORDS,True
regression,COMMON_ENCODER_READOUT_BASELINE,COMMON_ENCODER_READOUT_BASELINE,common_ridge,COMMON_ENCODER_READOUT_BASELINE,1000,5,5,0.35326468085369533,0.018500777883709938,,False,0.58800716600002489,8008,True,"[{""outer_fold"":1,""parameter_policy_json"":""[{\""ridge_alpha\"":0.1,\""seed\"":42},{\""ridge_alpha\"":0.1,\""seed\"":43},{\""ridge_alpha\"":0.1,\""seed\"":44},{\""ridge_alpha\"":0.1,\""seed\"":45},{\""ridge_alpha\"":0.1,\""seed\"":46}]""},{""outer_fold"":2,""parameter_policy_json"":""[{\""ridge_alpha\"":0.1,\""seed\"":42},{\""ridge_alpha\"":0.1,\""seed\"":43},{\""ridge_alpha\"":0.1,\""seed\"":44},{\""ridge_alpha\"":0.1,\""seed\"":45},{\""ridge_alpha\"":0.1,\""seed\"":46}]""},{""outer_fold"":3,""parameter_policy_json"":""[{\""ridge_alpha\"":0.1,\""seed\"":42},{\""ridge_alpha\"":0.1,\""seed\"":43},{\""ridge_alpha\"":0.1,\""seed\"":44},{\""ridge_alpha\"":0.1,\""seed\"":45},{\""ridge_alpha\"":0.1,\""seed\"":46}]""},{""outer_fold"":4,""parameter_policy_json"":""[{\""ridge_alpha\"":0.1,\""seed\"":42},{\""ridge_alpha\"":0.1,\""seed\"":43},{\""ridge_alpha\"":0.1,\""seed\"":44},{\""ridge_alpha\"":0.1,\""seed\"":45},{\""ridge_alpha\"":0.1,\""seed\"":46}]""},{""outer_fold"":5,""parameter_policy_json"":""[{\""ridge_alpha\"":0.1,\""seed\"":42},{\""ridge_alpha\"":0.1,\""seed\"":43},{\""ridge_alpha\"":0.1,\""seed\"":44},{\""ridge_alpha\"":0.1,\""seed\"":45},{\""ridge_alpha\"":0.1,\""seed\"":46}]""}]",Phase 05 recorded inner_selection_seconds shared by the two heads,4,False,LOWER_DETERMINISTIC_RANK,NOT_INVOKED_INCOMPLETE_PHASE05_INNER_RECORDS,True
regression,onlinehd_similarity,onlinehd_similarity,onlinehd,similarity_regression,5000,5,5,0.40791632880038248,0.015287405550140213,0.56080647869772449,True,0.16760409999871612,80000,True,"[{""outer_fold"":1,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""},{""outer_fold"":2,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""},{""outer_fold"":3,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""},{""outer_fold"":4,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""},{""outer_fold"":5,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""}]",mean across seeds of sum of three selected inner-split model_seconds,5,False,LOWER_DETERMINISTIC_RANK,NOT_INVOKED_INCOMPLETE_PHASE05_INNER_RECORDS,True
regression,onlinehd_similarity,onlinehd_similarity,onlinehd,similarity_regression,10000,5,5,0.43187212219555471,0.028162445047325554,0.58909224325042486,True,0.20712129199528123,160000,True,"[{""outer_fold"":1,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""},{""outer_fold"":2,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""},{""outer_fold"":3,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""},{""outer_fold"":4,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""},{""outer_fold"":5,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""}]",mean across seeds of sum of three selected inner-split model_seconds,6,False,LOWER_DETERMINISTIC_RANK,NOT_INVOKED_INCOMPLETE_PHASE05_INNER_RECORDS,False
regression,onlinehd_similarity,onlinehd_similarity,onlinehd,similarity_regression,1000,5,5,0.44083864022333746,0.040297527323149583,0.61033299546190289,True,0.13380802400642991,16000,True,"[{""outer_fold"":1,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""},{""outer_fold"":2,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""},{""outer_fold"":3,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""},{""outer_fold"":4,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""},{""outer_fold"":5,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""}]",mean across seeds of sum of three selected inner-split model_seconds,7,False,LOWER_DETERMINISTIC_RANK,NOT_INVOKED_INCOMPLETE_PHASE05_INNER_RECORDS,True
regression,onlinehd_similarity,onlinehd_similarity,onlinehd,similarity_regression,2000,5,5,0.46267712414819473,0.036585714550241233,0.62440636951696171,True,0.13912908399477583,32000,True,"[{""outer_fold"":1,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""},{""outer_fold"":2,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""},{""outer_fold"":3,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""},{""outer_fold"":4,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""},{""outer_fold"":5,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""}]",mean across seeds of sum of three selected inner-split model_seconds,8,False,LOWER_DETERMINISTIC_RANK,NOT_INVOKED_INCOMPLETE_PHASE05_INNER_RECORDS,False
regression,hybrid_similarity,hybrid_similarity,hybrid,similarity_regression,5000,5,5,0.5765807433975445,0.13113735635910256,0.68591291605619364,True,0.7156737680057994,192000,True,"[{""outer_fold"":1,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""},{""outer_fold"":2,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""},{""outer_fold"":3,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""},{""outer_fold"":4,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""},{""outer_fold"":5,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""}]",mean across seeds of sum of three selected inner-split model_seconds,9,False,LOWER_DETERMINISTIC_RANK,NOT_INVOKED_INCOMPLETE_PHASE05_INNER_RECORDS,False
regression,hybrid_similarity,hybrid_similarity,hybrid,similarity_regression,10000,5,5,0.57660633668421946,0.13525217377299709,0.68593307829032191,True,1.2370139839965848,384000,True,"[{""outer_fold"":1,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""},{""outer_fold"":2,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""},{""outer_fold"":3,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""},{""outer_fold"":4,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""},{""outer_fold"":5,""parameter_policy_json"":""[{\""seed\"":42,\""temperature\"":0.05},{\""seed\"":43,\""temperature\"":0.05},{\""seed\"":44,\""temperature\"":0.05},{\""seed\"":45,\""temperature\"":0.05},{\""seed\"":46,\""temperature\"":0.05}]""}]",mean across seeds of sum of three selected inner-split model_seconds,10,False,LOWER_DETERMINISTIC_RANK,NOT_INVOKED_INCOMPLETE_PHASE05_INNER_RECORDS,False
