consolidated_outer_fold,candidate_id,variant,dimension,epochs,learning_rate,margin_threshold,levels,feature_k,seed,canonical_config_json,inner_fold_1_macro_f1,inner_fold_2_macro_f1,inner_fold_3_macro_f1,mean_macro_f1,std_macro_f1_sample,mean_balanced_accuracy,mean_accuracy,mean_severe_error_rate,training_seconds,inference_seconds,model_bytes,status
1,candidate_001,onlinehd,2000,1,0.05,0.0,51,50,42,"{""dimension"":2000,""epochs"":1,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""onlinehd""}",0.8591409429766284,0.6837606837606838,0.8392250972038207,0.7940422413137109,0.0960243546213813,0.7987843145332949,0.7980599647266313,0.0291524017014213,0.0479072000307496,0.0187810999632347,32000,COMPLETE
1,candidate_002,onlinehd,2000,1,0.05,0.1,51,50,42,"{""dimension"":2000,""epochs"":1,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.8119478095877628,0.575595238095238,0.3716227697536108,0.5863886058122039,0.2203608580629557,0.6557138246886115,0.6544247328561054,0.030578898225957,0.0489823000098113,0.0018761999672278,32000,COMPLETE
1,candidate_003,onlinehd,2000,1,0.1,0.0,51,50,42,"{""dimension"":2000,""epochs"":1,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""onlinehd""}",0.5977069953594745,0.6138722061342687,0.6847231622147023,0.6321007879028152,0.0462835199451559,0.662922108240981,0.6598454196493412,0.0911660960680568,0.0473572999762836,0.0019318000122439,32000,COMPLETE
1,candidate_004,onlinehd,2000,1,0.1,0.1,51,50,42,"{""dimension"":2000,""epochs"":1,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.6516380668272272,0.6598665660409002,0.7075048017626805,0.6730031448769359,0.0301612382989091,0.7130453590409096,0.7103174603174603,0.0420686793235812,0.0495770999987144,0.0012344999704509,32000,COMPLETE
1,candidate_005,onlinehd,2000,3,0.05,0.0,51,50,42,"{""dimension"":2000,""epochs"":3,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""onlinehd""}",0.6905984917711996,0.5225377107364685,0.655889724310777,0.6230086422728149,0.0887241832731716,0.653414287479916,0.6519607843137255,0.0869384790953418,0.1384892000060062,0.0013287000183481,32000,COMPLETE
1,candidate_006,onlinehd,2000,3,0.05,0.1,51,50,42,"{""dimension"":2000,""epochs"":3,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.6381974455008164,0.6241137572823429,0.8104889737153289,0.6909333921661626,0.1037773596606133,0.7389039948365125,0.7411816578483245,0.0244060587197842,0.1435911000298801,0.0013944999955128,32000,COMPLETE
1,candidate_007,onlinehd,2000,3,0.1,0.0,51,50,42,"{""dimension"":2000,""epochs"":3,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""onlinehd""}",0.7954087981261895,0.4818045672205582,0.753043064366489,0.6767521432377456,0.1701532600201425,0.7177385023139565,0.716438427222741,0.0639589169000933,0.1416048999817576,0.0013724000018555,32000,COMPLETE
1,candidate_008,onlinehd,2000,3,0.1,0.1,51,50,42,"{""dimension"":2000,""epochs"":3,""feature_k"":50,""learning_rate"":0.1,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.6895854290642128,0.3734299516908212,0.7353065611245693,0.5994406472932011,0.1970614913528867,0.6531056455046073,0.6516754850088183,0.0628177196804647,0.1451390000293031,0.0011702000338118,32000,COMPLETE
1,candidate_009,onlinehd,2000,5,0.05,0.0,51,50,42,"{""dimension"":2000,""epochs"":5,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.0,""seed"":42,""variant"":""onlinehd""}",0.7152179796924966,0.5831367634773207,0.5492535754980556,0.6158694395559576,0.0876904608686467,0.6682699570167127,0.666251685859529,0.0995694574125946,0.2353886000055354,0.0019975999894086,32000,COMPLETE
1,candidate_010,onlinehd,2000,5,0.05,0.1,51,50,42,"{""dimension"":2000,""epochs"":5,""feature_k"":50,""learning_rate"":0.05,""levels"":51,""margin_threshold"":0.1,""seed"":42,""variant"":""onlinehd""}",0.6312788660614748,0.5472032262286499,0.6145527524837869,0.5976782815913039,0.044505495494946,0.6764615004325795,0.6741363211951447,0.0389822595704948,0.2503059000009671,0.0015761000104248,32000,COMPLETE
