task,variant,head,dimension,seed,performance_metric,performance_value,performance_direction,total_runtime_seconds,peak_memory_bytes,model_size_bytes,pareto_dimensions,memory_pareto_available,is_pareto
classification,hybrid,classification,1000,42,macro_f1,0.8000507747079286,maximize,4.250670100067509,NOT_AVAILABLE,48000.0,performance_time_2d,False,False
classification,hybrid,classification,1000,43,macro_f1,0.8009188718621226,maximize,4.271608600043692,NOT_AVAILABLE,48000.0,performance_time_2d,False,False
classification,hybrid,classification,1000,44,macro_f1,0.820967032529571,maximize,4.352699800016126,NOT_AVAILABLE,48000.0,performance_time_2d,False,True
classification,hybrid,classification,1000,45,macro_f1,0.8189271340131176,maximize,4.265503599977819,NOT_AVAILABLE,48000.0,performance_time_2d,False,False
classification,hybrid,classification,1000,46,macro_f1,0.7914291966543474,maximize,4.5398217999900226,NOT_AVAILABLE,48000.0,performance_time_2d,False,False
classification,hybrid,classification,2000,42,macro_f1,0.7992857324195597,maximize,4.5664766000409145,NOT_AVAILABLE,96000.0,performance_time_2d,False,False
classification,hybrid,classification,2000,43,macro_f1,0.8057675927681616,maximize,4.586994600045728,NOT_AVAILABLE,96000.0,performance_time_2d,False,False
classification,hybrid,classification,2000,44,macro_f1,0.8131754476087267,maximize,4.691390500054695,NOT_AVAILABLE,96000.0,performance_time_2d,False,False
classification,hybrid,classification,2000,45,macro_f1,0.8148897560570754,maximize,4.584524100006092,NOT_AVAILABLE,96000.0,performance_time_2d,False,False
classification,hybrid,classification,2000,46,macro_f1,0.8293160254682543,maximize,4.866471699991962,NOT_AVAILABLE,96000.0,performance_time_2d,False,True
classification,hybrid,classification,5000,42,macro_f1,0.8390408384340896,maximize,5.305271200108109,NOT_AVAILABLE,240000.0,performance_time_2d,False,True
classification,hybrid,classification,5000,43,macro_f1,0.8448807936762751,maximize,5.348847800050862,NOT_AVAILABLE,240000.0,performance_time_2d,False,True
classification,hybrid,classification,5000,44,macro_f1,0.8332760976888902,maximize,5.483660400059307,NOT_AVAILABLE,240000.0,performance_time_2d,False,False
classification,hybrid,classification,5000,45,macro_f1,0.8288458894788269,maximize,5.30228740000166,NOT_AVAILABLE,240000.0,performance_time_2d,False,False
classification,hybrid,classification,5000,46,macro_f1,0.765500048062662,maximize,5.7027811000007205,NOT_AVAILABLE,240000.0,performance_time_2d,False,False
classification,hybrid,classification,10000,42,macro_f1,0.8403240105509006,maximize,6.700921000097878,NOT_AVAILABLE,480000.0,performance_time_2d,False,False
classification,hybrid,classification,10000,43,macro_f1,0.8245178652000689,maximize,6.708267700072611,NOT_AVAILABLE,480000.0,performance_time_2d,False,False
classification,hybrid,classification,10000,44,macro_f1,0.8008925592161942,maximize,6.844886199978646,NOT_AVAILABLE,480000.0,performance_time_2d,False,False
classification,hybrid,classification,10000,45,macro_f1,0.8515396497867215,maximize,6.682097300013993,NOT_AVAILABLE,480000.0,performance_time_2d,False,True
classification,hybrid,classification,10000,46,macro_f1,0.8248894662473221,maximize,7.125179600057891,NOT_AVAILABLE,480000.0,performance_time_2d,False,False
classification,multicentroid,classification,1000,42,macro_f1,0.7807161748586673,maximize,4.065749200002755,NOT_AVAILABLE,48000.0,performance_time_2d,False,False
classification,multicentroid,classification,1000,43,macro_f1,0.755503567745231,maximize,3.8791255999822165,NOT_AVAILABLE,48000.0,performance_time_2d,False,False
classification,multicentroid,classification,1000,44,macro_f1,0.7885727173914427,maximize,3.9348676999215964,NOT_AVAILABLE,48000.0,performance_time_2d,False,False
classification,multicentroid,classification,1000,45,macro_f1,0.8191271186458853,maximize,4.1754208999627735,NOT_AVAILABLE,48000.0,performance_time_2d,False,True
classification,multicentroid,classification,1000,46,macro_f1,0.7780459557916252,maximize,4.1897359999711625,NOT_AVAILABLE,48000.0,performance_time_2d,False,False
classification,multicentroid,classification,2000,42,macro_f1,0.7878806878406087,maximize,4.416572799993446,NOT_AVAILABLE,96000.0,performance_time_2d,False,False
classification,multicentroid,classification,2000,43,macro_f1,0.7876946209921522,maximize,4.214746700017713,NOT_AVAILABLE,96000.0,performance_time_2d,False,False
classification,multicentroid,classification,2000,44,macro_f1,0.7914999663727721,maximize,4.282916199910686,NOT_AVAILABLE,96000.0,performance_time_2d,False,False
classification,multicentroid,classification,2000,45,macro_f1,0.7955978072595703,maximize,4.53750679991208,NOT_AVAILABLE,96000.0,performance_time_2d,False,False
classification,multicentroid,classification,2000,46,macro_f1,0.7957232547980427,maximize,4.523090699978638,NOT_AVAILABLE,96000.0,performance_time_2d,False,False
classification,multicentroid,classification,5000,42,macro_f1,0.7967072632077163,maximize,5.243597300053807,NOT_AVAILABLE,240000.0,performance_time_2d,False,False
classification,multicentroid,classification,5000,43,macro_f1,0.7830201286306415,maximize,4.9881930999981705,NOT_AVAILABLE,240000.0,performance_time_2d,False,False
classification,multicentroid,classification,5000,44,macro_f1,0.7990407682412886,maximize,5.1347140998987015,NOT_AVAILABLE,240000.0,performance_time_2d,False,False
classification,multicentroid,classification,5000,45,macro_f1,0.809117869431454,maximize,5.421237699949415,NOT_AVAILABLE,240000.0,performance_time_2d,False,False
classification,multicentroid,classification,5000,46,macro_f1,0.7934986620775725,maximize,5.350197799940361,NOT_AVAILABLE,240000.0,performance_time_2d,False,False
classification,multicentroid,classification,10000,42,macro_f1,0.7944809162015503,maximize,6.617951700027334,NOT_AVAILABLE,480000.0,performance_time_2d,False,False
classification,multicentroid,classification,10000,43,macro_f1,0.7776577801443075,maximize,6.426279100007378,NOT_AVAILABLE,480000.0,performance_time_2d,False,False
classification,multicentroid,classification,10000,44,macro_f1,0.794184746782838,maximize,6.565750299952924,NOT_AVAILABLE,480000.0,performance_time_2d,False,False
classification,multicentroid,classification,10000,45,macro_f1,0.8136588781854206,maximize,6.810587799962377,NOT_AVAILABLE,480000.0,performance_time_2d,False,False
