variant,regression_head,dimension,seed,oof_rows,mae_raw,mae_bounded,rmse_bounded,r2_bounded,spearman_bounded
hybrid,similarity,1000,42,419,0.5616758011121575,0.5616758011121575,0.6775880734562049,0.6319964708999337,0.8758590305898191
hybrid,similarity,1000,43,419,0.5886165772584957,0.5886165772584957,0.6973017818182468,0.6102716246213256,0.8623329185994202
hybrid,similarity,1000,44,419,0.5550079719206403,0.5550079719206403,0.6718293512849662,0.6382251064121574,0.8838755620641833
hybrid,similarity,1000,45,419,0.5841139333400681,0.5841139333400681,0.6990627794606453,0.6083006634440247,0.8590713298278334
hybrid,similarity,1000,46,419,0.596001802542805,0.596001802542805,0.7091725853039816,0.5968892736921901,0.8557847212493104
hybrid,similarity,2000,42,419,0.5736088156796159,0.5736088156796159,0.6947659011046072,0.6131011243020956,0.8669396800213851
hybrid,similarity,2000,43,419,0.5643853673972713,0.5643853673972713,0.6812249506460547,0.6280354346757384,0.8722726055369285
hybrid,similarity,2000,44,419,0.5638002531466003,0.5638002531466003,0.6743659632549713,0.6354880573056194,0.8917177973077337
hybrid,similarity,2000,45,419,0.5687946134796064,0.5687946134796064,0.6921707302713114,0.6159861059014722,0.8652358058964758
hybrid,similarity,2000,46,419,0.5695218279010542,0.5695218279010542,0.6848483476314603,0.6240679943943761,0.8654274559327741
hybrid,similarity,5000,42,419,0.5775537452437554,0.5775537452437554,0.6908229794421644,0.6174801048425653,0.8698081966745683
hybrid,similarity,5000,43,419,0.5764662535713921,0.5764662535713921,0.68742486207236,0.6212340348713481,0.8746230352788001
hybrid,similarity,5000,44,419,0.5653046973296134,0.5653046973296134,0.686844168632447,0.6218736800883304,0.8751109636349493
hybrid,similarity,5000,45,419,0.5584452886964808,0.5584452886964808,0.6809149165946965,0.6283739291447545,0.8709805894460686
hybrid,similarity,5000,46,419,0.5875904858195811,0.5875904858195811,0.6963466524966041,0.6113385545213792,0.8730455238151863
hybrid,similarity,10000,42,419,0.5747887285949456,0.5747887285949456,0.6858192666226595,0.6230013107779339,0.87409113271652
hybrid,similarity,10000,43,419,0.5536598646406822,0.5536598646406822,0.6719529068578006,0.6380920267411526,0.8780063534141015
hybrid,similarity,10000,44,419,0.5873008128712506,0.5873008128712506,0.7019925572674208,0.605010553197219,0.8689972011143736
hybrid,similarity,10000,45,419,0.5657894711485936,0.5657894711485936,0.6884756788052159,0.6200751654637915,0.866426984583622
hybrid,similarity,10000,46,419,0.5493169857088057,0.5493169857088057,0.6706775559933262,0.6394645087325403,0.874263491386527
multicentroid,similarity,1000,42,419,0.7146610399763156,0.7146610399763156,0.8206349286892158,0.4602154211791808,0.8295511588301593
multicentroid,similarity,1000,43,419,0.7314875021498795,0.7314875021498795,0.8388284500966229,0.4360160034668501,0.7943381814575721
multicentroid,similarity,1000,44,419,0.7049824482876508,0.7049824482876508,0.814058280238338,0.4688325257495777,0.8330318604564326
multicentroid,similarity,1000,45,419,0.7299535159785986,0.7299535159785986,0.838948451804479,0.43585462628938887,0.8130859355798001
multicentroid,similarity,1000,46,419,0.714528226917316,0.714528226917316,0.8254219674185546,0.4538995645794851,0.8231422973745715
multicentroid,similarity,2000,42,419,0.730833627280639,0.730833627280639,0.8394898201443755,0.4351263122111608,0.8188610461681037
multicentroid,similarity,2000,43,419,0.7215952721208645,0.7215952721208645,0.831190871853086,0.44623945742631277,0.8115704260619955
multicentroid,similarity,2000,44,419,0.7096046974805069,0.7096046974805069,0.8174870601465268,0.4643485915245973,0.8284881961233412
multicentroid,similarity,2000,45,419,0.7305575942074264,0.7305575942074264,0.8400135311879122,0.4344213057714664,0.8116013427931258
multicentroid,similarity,2000,46,419,0.706351841360644,0.706351841360644,0.8137400506773568,0.46924772981354046,0.8344932025134286
multicentroid,similarity,5000,42,419,0.7165979731106876,0.7165979731106876,0.8242065912411346,0.4555065700798818,0.8310860439560294
multicentroid,similarity,5000,43,419,0.7297719022924338,0.7297719022924338,0.8384881317877673,0.4364735347902813,0.8197181219787844
multicentroid,similarity,5000,44,419,0.7311354141676493,0.7311354141676493,0.8389084945911903,0.43590836294071744,0.8266574538864911
multicentroid,similarity,5000,45,419,0.7244821753199948,0.7244821753199948,0.833490278532154,0.44317137284851527,0.8207489043278593
multicentroid,similarity,5000,46,419,0.7078823453160836,0.7078823453160836,0.8159784121016807,0.46632382469586864,0.8318720197092878
multicentroid,similarity,10000,42,419,0.7199519213063162,0.7199519213063162,0.8256448220290911,0.4536046428701005,0.8306291165727847
multicentroid,similarity,10000,43,419,0.7221211182723574,0.7221211182723574,0.8299155037647471,0.44793751913358437,0.8249234212064194
multicentroid,similarity,10000,44,419,0.7271264463816054,0.7271264463816054,0.8337677345518135,0.442800591873439,0.8259046693922665
multicentroid,similarity,10000,45,419,0.7243891879222585,0.7243891879222585,0.8330816782170088,0.44371718505524416,0.8215976402028945
multicentroid,similarity,10000,46,419,0.7150902205510353,0.7150902205510353,0.8231916858987779,0.4568466929637003,0.8287222197720606
onlinehd,similarity,1000,42,419,0.4649790510515099,0.4649790510515099,0.6492079846136328,0.6621778027404484,0.8346795453179524
onlinehd,similarity,1000,43,419,0.44013138717650757,0.44013138717650757,0.6071355533276547,0.7045446841626897,0.8333306660295094
onlinehd,similarity,1000,44,419,0.45975694717148535,0.45975694717148535,0.6150641965048127,0.6967775368727145,0.8454208769787198
onlinehd,similarity,1000,45,419,0.40267797675626504,0.40267797675626504,0.5872126304580247,0.7236170462972946,0.8527848716701537
onlinehd,similarity,1000,46,419,0.4092707680096915,0.4092707680096915,0.5455270806688632,0.7614644538676857,0.8889647761269746
onlinehd,similarity,2000,42,419,0.37732241331531513,0.37732241331531513,0.5114288240734082,0.7903519247721413,0.8936274740870065
onlinehd,similarity,2000,43,419,0.48088006247880527,0.48088006247880527,0.6570400237465117,0.6539776684027611,0.813698962970632
onlinehd,similarity,2000,44,419,0.4462920627451997,0.4462920627451997,0.5993822770758737,0.7120425813319051,0.8449520715053133
onlinehd,similarity,2000,45,419,0.4523656674120428,0.4523656674120428,0.594790370690311,0.7164378013725958,0.8610708083384002
onlinehd,similarity,2000,46,419,0.4912921108408591,0.4912921108408591,0.6290613796130282,0.6828194679218014,0.8390259996576486
