variant,regression_head,dimension,seeds,mae_bounded_count,mae_bounded_mean,mae_bounded_sd_sample,mae_bounded_median,mae_bounded_min,mae_bounded_max,rmse_bounded_count,rmse_bounded_mean,rmse_bounded_sd_sample,rmse_bounded_median,rmse_bounded_min,rmse_bounded_max,r2_bounded_count,r2_bounded_mean,r2_bounded_sd_sample,r2_bounded_median,r2_bounded_min,r2_bounded_max,spearman_bounded_count,spearman_bounded_mean,spearman_bounded_sd_sample,spearman_bounded_median,spearman_bounded_min,spearman_bounded_max
hybrid,similarity,1000,"42,43,44,45,46",5,0.5770832172348334,0.017783891304365255,0.5841139333400681,0.5550079719206403,0.596001802542805,5,0.690990914264809,0.015671286293447176,0.6973017818182468,0.6718293512849662,0.7091725853039816,5,0.6171366278139263,0.01732553570773778,0.6102716246213256,0.5968892736921901,0.6382251064121574,5,0.8673847124661134,0.011968238555859517,0.8623329185994202,0.8557847212493104,0.8838755620641833
hybrid,similarity,2000,"42,43,44,45,46",5,0.5680221755208297,0.004034450637541417,0.5687946134796064,0.5638002531466003,0.5736088156796159,5,0.6854751785816809,0.008261657780776425,0.6848483476314603,0.6743659632549713,0.6947659011046072,5,0.6233357433158604,0.009070096778779192,0.6240679943943761,0.6131011243020956,0.6354880573056194,5,0.8723186689390594,0.011212912095612978,0.8669396800213851,0.8652358058964758,0.8917177973077337
hybrid,similarity,5000,"42,43,44,45,46",5,0.5730720941321645,0.011365134210775901,0.5764662535713921,0.5584452886964808,0.5875904858195811,5,0.6884707158476544,0.005665533744271628,0.68742486207236,0.6809149165946965,0.6963466524966041,5,0.6200600606936755,0.006255171488605211,0.6212340348713481,0.6113385545213792,0.6283739291447545,5,0.8727136617699147,0.002288458157012126,0.8730455238151863,0.8698081966745683,0.8751109636349493
hybrid,similarity,10000,"42,43,44,45,46",5,0.5661711725928555,0.015503758479258159,0.5657894711485936,0.5493169857088057,0.5873008128712506,5,0.6837835931092846,0.012936956332627456,0.6858192666226595,0.6706775559933262,0.7019925572674208,5,0.6251287129825275,0.01421589848727547,0.6230013107779339,0.605010553197219,0.6394645087325403,5,0.8723570326430288,0.004610055614302176,0.87409113271652,0.866426984583622,0.8780063534141015
multicentroid,similarity,1000,"42,43,44,45,46",5,0.7191225466619521,0.011304393155024002,0.7146610399763156,0.7049824482876508,0.7314875021498795,5,0.8275784156494421,0.011084869630531517,0.8254219674185546,0.814058280238338,0.838948451804479,5,0.4509636282528965,0.0147073648157074,0.4538995645794851,0.43585462628938887,0.4688325257495777,5,0.818629886739707,0.015555346514350945,0.8231422973745715,0.7943381814575721,0.8330318604564326
multicentroid,similarity,2000,"42,43,44,45,46",5,0.7197886064900162,0.011461743773097837,0.7215952721208645,0.706351841360644,0.730833627280639,5,0.8283842668018515,0.012243899663790985,0.831190871853086,0.8137400506773568,0.8400135311879122,5,0.44987667934941555,0.016235340499624728,0.44623945742631277,0.4344213057714664,0.46924772981354046,5,0.8210028427319991,0.010246539663271688,0.8188610461681037,0.8115704260619955,0.8344932025134286
multicentroid,similarity,5000,"42,43,44,45,46",5,0.7219739620413698,0.009727616999907122,0.7244821753199948,0.7078823453160836,0.7311354141676493,5,0.8302143816507854,0.009918800534041577,0.833490278532154,0.8159784121016807,0.8389084945911903,5,0.44747673307105285,0.013163632018052433,0.44317137284851527,0.43590836294071744,0.46632382469586864,5,0.8260165087716904,0.005652772300727384,0.8266574538864911,0.8197181219787844,0.8318720197092878
multicentroid,similarity,10000,"42,43,44,45,46",5,0.7217357788867146,0.004571486504753312,0.7221211182723574,0.7150902205510353,0.7271264463816054,5,0.8291202848922877,0.00461386298575803,0.8299155037647471,0.8231916858987779,0.8337677345518135,5,0.4489813263792136,0.006128646738042787,0.44793751913358437,0.442800591873439,0.4568466929637003,5,0.8263554134292852,0.0034912923398784544,0.8259046693922665,0.8215976402028945,0.8306291165727847
onlinehd,similarity,1000,"42,43,44,45,46",5,0.43536322603309185,0.02847818449787512,0.44013138717650757,0.40267797675626504,0.4649790510515099,5,0.6008294891145975,0.03816623961915272,0.6071355533276547,0.5455270806688632,0.6492079846136328,5,0.7097163047881667,0.036486874693732095,0.7045446841626897,0.6621778027404484,0.7614644538676857,5,0.851036147224662,0.022661601211173492,0.8454208769787198,0.8333306660295094,0.8889647761269746
onlinehd,similarity,2000,"42,43,44,45,46",5,0.4496304633584445,0.044607484453399945,0.4523656674120428,0.37732241331531513,0.4912921108408591,5,0.5983405750398265,0.054673427417250786,0.5993822770758737,0.5114288240734082,0.6570400237465117,5,0.7111258887602409,0.05092394837829521,0.7120425813319051,0.6539776684027611,0.7903519247721413,5,0.8504750633118002,0.029531620433595685,0.8449520715053133,0.813698962970632,0.8936274740870065
