run_key,subject_id,outer_fold,target_class,class_score_0,class_score_1,class_score_2,class_score_3,predicted_class,model,source_path,source_sha256,derived_readonly_reference
sub-cp003_ses-20210206_level-01B_run-001,sub-cp003,4,0,0.548492181301117,0.42692042589187623,0.4051732838153839,0.34097628593444823,0,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\oof\phase06_hybrid_final_oof.csv,ff619baf4be600279482c9e1f4f4139000fc05c1dfaf41555d644674b45d875a,True
sub-cp003_ses-20210206_level-01B_run-007,sub-cp003,4,0,0.4997943937778473,0.46364220380783083,0.39545880556106566,0.31868128180503846,0,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\oof\phase06_hybrid_final_oof.csv,ff619baf4be600279482c9e1f4f4139000fc05c1dfaf41555d644674b45d875a,True
sub-cp003_ses-20210206_level-01B_run-012,sub-cp003,4,0,0.5383665382862091,0.4286877453327179,0.39340675473213194,0.3241162836551666,0,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\oof\phase06_hybrid_final_oof.csv,ff619baf4be600279482c9e1f4f4139000fc05c1dfaf41555d644674b45d875a,True
sub-cp003_ses-20210206_level-02B_run-003,sub-cp003,4,1,0.4043229341506958,0.5470134854316712,0.43437914848327636,0.2691194295883178,1,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\oof\phase06_hybrid_final_oof.csv,ff619baf4be600279482c9e1f4f4139000fc05c1dfaf41555d644674b45d875a,True
sub-cp003_ses-20210206_level-02B_run-008,sub-cp003,4,1,0.40620550513267517,0.5462173104286194,0.4328366041183472,0.2762990742921829,1,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\oof\phase06_hybrid_final_oof.csv,ff619baf4be600279482c9e1f4f4139000fc05c1dfaf41555d644674b45d875a,True
sub-cp003_ses-20210206_level-02B_run-010,sub-cp003,4,1,0.4133409082889557,0.5376386940479279,0.43884851932525637,0.27566523849964136,1,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\oof\phase06_hybrid_final_oof.csv,ff619baf4be600279482c9e1f4f4139000fc05c1dfaf41555d644674b45d875a,True
sub-cp003_ses-20210206_level-03B_run-002,sub-cp003,4,2,0.3793699562549591,0.4495820581912994,0.5133542239665985,0.29906958937644956,2,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\oof\phase06_hybrid_final_oof.csv,ff619baf4be600279482c9e1f4f4139000fc05c1dfaf41555d644674b45d875a,True
sub-cp003_ses-20210206_level-03B_run-005,sub-cp003,4,2,0.3692151248455048,0.44977405071258547,0.5309657096862793,0.33509481549263,2,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\oof\phase06_hybrid_final_oof.csv,ff619baf4be600279482c9e1f4f4139000fc05c1dfaf41555d644674b45d875a,True
sub-cp003_ses-20210206_level-03B_run-011,sub-cp003,4,2,0.36432023644447326,0.4423125207424164,0.5290876269340515,0.3419931769371033,2,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\oof\phase06_hybrid_final_oof.csv,ff619baf4be600279482c9e1f4f4139000fc05c1dfaf41555d644674b45d875a,True
sub-cp003_ses-20210206_level-04B_run-004,sub-cp003,4,3,0.3851694822311401,0.3393188595771789,0.42888068556785586,0.5802317380905151,3,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\results\oof\phase06_hybrid_final_oof.csv,ff619baf4be600279482c9e1f4f4139000fc05c1dfaf41555d644674b45d875a,True
