run_key,subject_id,outer_fold,target_score,prediction_raw,prediction_bounded,residual_bounded,model,source_path,source_sha256,derived_readonly_reference
sub-cp003_ses-20210206_level-01B_run-001,sub-cp003,4,1.0,0.7596298786910483,1.0,0.0,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp003_ses-20210206_level-01B_run-007,sub-cp003,4,1.0,1.2017482420343455,1.2017482420343455,-0.2017482420343455,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp003_ses-20210206_level-01B_run-012,sub-cp003,4,1.0,0.9585754721740833,1.0,0.0,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp003_ses-20210206_level-02B_run-003,sub-cp003,4,2.0,1.9677782811859696,1.9677782811859696,0.03222171881403035,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp003_ses-20210206_level-02B_run-008,sub-cp003,4,2.0,2.1072476831920395,2.1072476831920395,-0.10724768319203948,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp003_ses-20210206_level-02B_run-010,sub-cp003,4,2.0,2.07395896603535,2.07395896603535,-0.07395896603535013,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp003_ses-20210206_level-03B_run-002,sub-cp003,4,3.0,2.86367536264778,2.86367536264778,0.13632463735222,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp003_ses-20210206_level-03B_run-005,sub-cp003,4,3.0,3.1739592196475073,3.1739592196475073,-0.17395921964750727,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp003_ses-20210206_level-03B_run-011,sub-cp003,4,3.0,3.064708767211599,3.064708767211599,-0.06470876721159913,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp003_ses-20210206_level-04B_run-004,sub-cp003,4,4.0,3.970353175309948,3.970353175309948,0.029646824690051865,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp003_ses-20210206_level-04B_run-006,sub-cp003,4,4.0,4.037832107544183,4.0,0.0,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp003_ses-20210206_level-04B_run-009,sub-cp003,4,4.0,3.826622784676952,3.826622784676952,0.17337721532304817,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp004_ses-20210330_level-01B_run-001,sub-cp004,1,1.0,1.028086062889074,1.028086062889074,-0.028086062889074004,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp004_ses-20210330_level-01B_run-007,sub-cp004,1,1.0,1.0548638250320235,1.0548638250320235,-0.05486382503202347,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp004_ses-20210330_level-01B_run-012,sub-cp004,1,1.0,1.0959460190892172,1.0959460190892172,-0.09594601908921718,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp004_ses-20210330_level-02B_run-003,sub-cp004,1,2.0,2.0428670398958757,2.0428670398958757,-0.0428670398958757,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp004_ses-20210330_level-02B_run-008,sub-cp004,1,2.0,1.8954476028660714,1.8954476028660714,0.10455239713392861,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
