run_key,subject_id,outer_fold,modality,seed,modality_available,task,target_class,predicted_class,classification_confidence,similarity_margin,class_score_0,class_score_1,class_score_2,class_score_3
sub-cp004_ses-20210330_level-01B_run-001,sub-cp004,1,body_movement,42,True,classification,0,0,0.8473085,0.009111702,0.8473085,0.8381968,0.81748796,0.82340825
sub-cp004_ses-20210330_level-01B_run-007,sub-cp004,1,body_movement,42,True,classification,0,0,0.88424635,0.005841434,0.88424635,0.8784049,0.86220855,0.85071486
sub-cp004_ses-20210330_level-01B_run-012,sub-cp004,1,body_movement,42,True,classification,0,0,0.88059586,0.016678572,0.88059586,0.8603658,0.8481721,0.8639173
sub-cp004_ses-20210330_level-02B_run-003,sub-cp004,1,body_movement,42,True,classification,1,0,0.8842775,0.0005171895,0.8842775,0.88376033,0.8758592,0.8576834
sub-cp004_ses-20210330_level-02B_run-008,sub-cp004,1,body_movement,42,True,classification,1,0,0.86945903,0.0065413117,0.86945903,0.8556484,0.84878266,0.8629177
sub-cp004_ses-20210330_level-02B_run-010,sub-cp004,1,body_movement,42,True,classification,1,2,0.8884873,0.006193042,0.88200146,0.88229424,0.8884873,0.8811609
sub-cp004_ses-20210330_level-03B_run-002,sub-cp004,1,body_movement,42,True,classification,2,1,0.89924175,0.008727431,0.88002586,0.89924175,0.8905143,0.87524605
sub-cp004_ses-20210330_level-03B_run-005,sub-cp004,1,body_movement,42,True,classification,2,3,0.83860123,0.008943081,0.82965815,0.81056994,0.81413126,0.83860123
sub-cp004_ses-20210330_level-03B_run-011,sub-cp004,1,body_movement,42,True,classification,2,0,0.88051337,0.0034716725,0.88051337,0.87281394,0.8770417,0.86341417
sub-cp004_ses-20210330_level-04B_run-004,sub-cp004,1,body_movement,42,True,classification,3,0,0.8862539,0.024973154,0.8862539,0.8591502,0.85895556,0.86128074
sub-cp004_ses-20210330_level-04B_run-006,sub-cp004,1,body_movement,42,True,classification,3,0,0.88350695,0.022814631,0.88350695,0.8606923,0.8498812,0.8512793
sub-cp004_ses-20210330_level-04B_run-009,sub-cp004,1,body_movement,42,True,classification,3,3,0.84377,0.009624302,0.8341457,0.819844,0.8283833,0.84377
sub-cp011_ses-20210408_level-01B_run-001,sub-cp011,1,body_movement,42,True,classification,0,2,0.88611144,0.0036136508,0.8595014,0.8824978,0.88611144,0.86959386
sub-cp011_ses-20210408_level-01B_run-007,sub-cp011,1,body_movement,42,True,classification,0,0,0.8678336,0.0012462139,0.8678336,0.8663051,0.8665874,0.8639867
sub-cp011_ses-20210408_level-01B_run-012,sub-cp011,1,body_movement,42,True,classification,0,1,0.8725718,0.0005711317,0.8586079,0.8725718,0.8720007,0.863704
sub-cp011_ses-20210408_level-02B_run-003,sub-cp011,1,body_movement,42,True,classification,1,3,0.865748,0.009418786,0.8563292,0.83260745,0.8475233,0.865748
sub-cp011_ses-20210408_level-02B_run-008,sub-cp011,1,body_movement,42,True,classification,1,1,0.90877724,0.021599948,0.8580854,0.90877724,0.8871773,0.8770105
sub-cp011_ses-20210408_level-02B_run-010,sub-cp011,1,body_movement,42,True,classification,1,1,0.90416634,0.015397251,0.8448176,0.90416634,0.8887691,0.87889844
sub-cp011_ses-20210408_level-03B_run-002,sub-cp011,1,body_movement,42,True,classification,2,2,0.87964934,0.009036124,0.85797095,0.867247,0.87964934,0.8706132
sub-cp011_ses-20210408_level-03B_run-005,sub-cp011,1,body_movement,42,True,classification,2,3,0.8730444,0.0024690032,0.856777,0.8589693,0.87057537,0.8730444
sub-cp011_ses-20210408_level-03B_run-011,sub-cp011,1,body_movement,42,True,classification,2,1,0.8848949,0.0050808787,0.8636464,0.8848949,0.879814,0.8741458
sub-cp011_ses-20210408_level-04B_run-004,sub-cp011,1,body_movement,42,True,classification,3,2,0.8788719,0.01750052,0.83290905,0.8369193,0.8788719,0.8613714
sub-cp011_ses-20210408_level-04B_run-006,sub-cp011,1,body_movement,42,True,classification,3,1,0.8918237,0.009999454,0.8628919,0.8918237,0.88182425,0.8681757
sub-cp011_ses-20210408_level-04B_run-009,sub-cp011,1,body_movement,42,True,classification,3,1,0.8709927,0.0042832494,0.8654347,0.8709927,0.85525435,0.8667095
sub-cp016_ses-20210528_level-01B_run-001,sub-cp016,1,body_movement,42,True,classification,0,2,0.90713227,0.03088981,0.8639974,0.8356247,0.90713227,0.87624246
sub-cp016_ses-20210528_level-01B_run-007,sub-cp016,1,body_movement,42,True,classification,0,2,0.9066062,0.014901221,0.8557258,0.8330467,0.9066062,0.891705
sub-cp016_ses-20210528_level-01B_run-012,sub-cp016,1,body_movement,42,True,classification,0,2,0.8985958,0.021363854,0.86049277,0.838576,0.8985958,0.87723196
sub-cp016_ses-20210528_level-02B_run-003,sub-cp016,1,body_movement,42,True,classification,1,2,0.9019734,0.03249103,0.8603989,0.84434146,0.9019734,0.8694824
sub-cp016_ses-20210528_level-02B_run-008,sub-cp016,1,body_movement,42,True,classification,1,2,0.91824424,0.03080219,0.86538774,0.8445265,0.91824424,0.88744205
sub-cp016_ses-20210528_level-02B_run-010,sub-cp016,1,body_movement,42,True,classification,1,2,0.89575094,0.0016479492,0.87124074,0.84196866,0.89575094,0.894103
sub-cp016_ses-20210528_level-03B_run-002,sub-cp016,1,body_movement,42,True,classification,2,2,0.90923876,0.03508848,0.8559884,0.8459754,0.90923876,0.8741503
sub-cp016_ses-20210528_level-03B_run-005,sub-cp016,1,body_movement,42,True,classification,2,2,0.90526533,0.03750956,0.8535287,0.85225874,0.90526533,0.8677558
sub-cp016_ses-20210528_level-03B_run-011,sub-cp016,1,body_movement,42,True,classification,2,2,0.91376954,0.032000482,0.8624507,0.8476249,0.91376954,0.88176906
sub-cp016_ses-20210528_level-04B_run-004,sub-cp016,1,body_movement,42,True,classification,3,2,0.907403,0.031987727,0.86294866,0.84531313,0.907403,0.87541527
sub-cp016_ses-20210528_level-04B_run-006,sub-cp016,1,body_movement,42,True,classification,3,2,0.90687156,0.029350758,0.8617053,0.83919835,0.90687156,0.8775208
sub-cp016_ses-20210528_level-04B_run-009,sub-cp016,1,body_movement,42,True,classification,3,2,0.90416884,0.027321637,0.86695737,0.8456854,0.90416884,0.8768472
sub-cp027_ses-20210722_level-01B_run-001,sub-cp027,1,body_movement,42,True,classification,0,1,0.86871934,0.00920409,0.85951525,0.86871934,0.8517574,0.83582795
sub-cp027_ses-20210722_level-01B_run-007,sub-cp027,1,body_movement,42,True,classification,0,2,0.8735518,0.0002438426,0.85212165,0.87330794,0.8735518,0.83437365
sub-cp027_ses-20210722_level-01B_run-012,sub-cp027,1,body_movement,42,True,classification,0,2,0.8732838,0.016416907,0.8555391,0.8568669,0.8732838,0.8230122
sub-cp027_ses-20210722_level-02B_run-003,sub-cp027,1,body_movement,42,True,classification,1,1,0.8567923,0.005693078,0.8447041,0.8567923,0.8510992,0.828361
sub-cp027_ses-20210722_level-02B_run-008,sub-cp027,1,body_movement,42,True,classification,1,1,0.87479186,0.007820249,0.8456642,0.87479186,0.8669716,0.83064413
sub-cp027_ses-20210722_level-02B_run-010,sub-cp027,1,body_movement,42,True,classification,1,2,0.87121063,0.0033233166,0.8678873,0.86329573,0.87121063,0.81841344
sub-cp027_ses-20210722_level-03B_run-002,sub-cp027,1,body_movement,42,True,classification,2,1,0.857793,0.009565651,0.8482273,0.857793,0.8462745,0.8234767
sub-cp027_ses-20210722_level-03B_run-005,sub-cp027,1,body_movement,42,True,classification,2,1,0.8640906,0.008423924,0.84384835,0.8640906,0.8556667,0.8393187
sub-cp027_ses-20210722_level-03B_run-011,sub-cp027,1,body_movement,42,True,classification,2,0,0.86347485,0.0041799545,0.86347485,0.85716647,0.8592949,0.8079117
sub-cp027_ses-20210722_level-04B_run-004,sub-cp027,1,body_movement,42,True,classification,3,1,0.8545106,0.005886078,0.8486245,0.8545106,0.8440068,0.8419381
sub-cp027_ses-20210722_level-04B_run-006,sub-cp027,1,body_movement,42,True,classification,3,1,0.8567027,0.0061925054,0.8444245,0.8567027,0.8505102,0.83824533
sub-cp027_ses-20210722_level-04B_run-009,sub-cp027,1,body_movement,42,True,classification,3,1,0.8610689,0.011556864,0.8400163,0.8610689,0.84951204,0.8245947
sub-cp033_ses-20211215_level-01B_run-001,sub-cp033,1,body_movement,42,True,classification,0,2,0.90174645,0.022961855,0.87062263,0.8787846,0.90174645,0.8652688
sub-cp033_ses-20211215_level-01B_run-007,sub-cp033,1,body_movement,42,True,classification,0,2,0.9012867,0.011546373,0.88974035,0.8784128,0.9012867,0.8536957
sub-cp033_ses-20211215_level-01B_run-012,sub-cp033,1,body_movement,42,True,classification,0,1,0.9032352,0.0107111335,0.8709201,0.9032352,0.89252406,0.8728175
sub-cp033_ses-20211215_level-02B_run-003,sub-cp033,1,body_movement,42,True,classification,1,3,0.8286069,0.00032383204,0.8282831,0.82140213,0.8172968,0.8286069
sub-cp033_ses-20211215_level-02B_run-008,sub-cp033,1,body_movement,42,True,classification,1,1,0.89530563,0.0047755837,0.879381,0.89530563,0.89053005,0.8575835
sub-cp033_ses-20211215_level-02B_run-010,sub-cp033,1,body_movement,42,True,classification,1,2,0.8779513,0.0071324706,0.8622556,0.87081885,0.8779513,0.84085
sub-cp033_ses-20211215_level-03B_run-002,sub-cp033,1,body_movement,42,True,classification,2,2,0.8979508,0.014869332,0.8695003,0.8830815,0.8979508,0.8678007
