run_key,subject_id,outer_fold,modality,seed,modality_available,task,target_score,prediction_raw,prediction_bounded,residual_bounded
sub-cp004_ses-20210330_level-01B_run-001,sub-cp004,1,body_movement,42,True,regression,1.0,1.5647969,1.5647969,-0.5647969245910645
sub-cp004_ses-20210330_level-01B_run-007,sub-cp004,1,body_movement,42,True,regression,1.0,0.45571887,1.0,0.0
sub-cp004_ses-20210330_level-01B_run-012,sub-cp004,1,body_movement,42,True,regression,1.0,1.0951298,1.0951298,-0.0951298475265502
sub-cp004_ses-20210330_level-02B_run-003,sub-cp004,1,body_movement,42,True,regression,2.0,1.8244622,1.8244622,0.1755378246307373
sub-cp004_ses-20210330_level-02B_run-008,sub-cp004,1,body_movement,42,True,regression,2.0,4.035503,4.0,-2.0
sub-cp004_ses-20210330_level-02B_run-010,sub-cp004,1,body_movement,42,True,regression,2.0,2.6099343,2.6099343,-0.6099343299865723
sub-cp004_ses-20210330_level-03B_run-002,sub-cp004,1,body_movement,42,True,regression,3.0,2.8730712,2.8730712,0.1269288063049316
sub-cp004_ses-20210330_level-03B_run-005,sub-cp004,1,body_movement,42,True,regression,3.0,4.043613,4.0,-1.0
sub-cp004_ses-20210330_level-03B_run-011,sub-cp004,1,body_movement,42,True,regression,3.0,1.7697897,1.7697897,1.230210304260254
sub-cp004_ses-20210330_level-04B_run-004,sub-cp004,1,body_movement,42,True,regression,4.0,2.4743376,2.4743376,1.5256624221801758
sub-cp004_ses-20210330_level-04B_run-006,sub-cp004,1,body_movement,42,True,regression,4.0,0.41352415,1.0,3.0
sub-cp004_ses-20210330_level-04B_run-009,sub-cp004,1,body_movement,42,True,regression,4.0,2.6885254,2.6885254,1.3114745616912842
sub-cp011_ses-20210408_level-01B_run-001,sub-cp011,1,body_movement,42,True,regression,1.0,1.3978169,1.3978169,-0.3978168964385986
sub-cp011_ses-20210408_level-01B_run-007,sub-cp011,1,body_movement,42,True,regression,1.0,1.5406187,1.5406187,-0.5406186580657959
sub-cp011_ses-20210408_level-01B_run-012,sub-cp011,1,body_movement,42,True,regression,1.0,2.8452673,2.8452673,-1.8452672958374023
sub-cp011_ses-20210408_level-02B_run-003,sub-cp011,1,body_movement,42,True,regression,2.0,1.6239231,1.6239231,0.3760769367218017
sub-cp011_ses-20210408_level-02B_run-008,sub-cp011,1,body_movement,42,True,regression,2.0,2.6129851,2.6129851,-0.6129851341247559
sub-cp011_ses-20210408_level-02B_run-010,sub-cp011,1,body_movement,42,True,regression,2.0,4.202492,4.0,-2.0
sub-cp011_ses-20210408_level-03B_run-002,sub-cp011,1,body_movement,42,True,regression,3.0,3.1687145,3.1687145,-0.1687145233154297
sub-cp011_ses-20210408_level-03B_run-005,sub-cp011,1,body_movement,42,True,regression,3.0,2.7610745,2.7610745,0.2389254570007324
sub-cp011_ses-20210408_level-03B_run-011,sub-cp011,1,body_movement,42,True,regression,3.0,2.886899,2.886899,0.1131010055541992
sub-cp011_ses-20210408_level-04B_run-004,sub-cp011,1,body_movement,42,True,regression,4.0,3.5386038,3.5386038,0.4613962173461914
sub-cp011_ses-20210408_level-04B_run-006,sub-cp011,1,body_movement,42,True,regression,4.0,2.7836246,2.7836246,1.2163753509521484
sub-cp011_ses-20210408_level-04B_run-009,sub-cp011,1,body_movement,42,True,regression,4.0,-0.54460967,1.0,3.0
sub-cp016_ses-20210528_level-01B_run-001,sub-cp016,1,body_movement,42,True,regression,1.0,1.7859514,1.7859514,-0.7859513759613037
sub-cp016_ses-20210528_level-01B_run-007,sub-cp016,1,body_movement,42,True,regression,1.0,3.276232,3.276232,-2.2762320041656494
sub-cp016_ses-20210528_level-01B_run-012,sub-cp016,1,body_movement,42,True,regression,1.0,2.1830614,2.1830614,-1.1830613613128662
sub-cp016_ses-20210528_level-02B_run-003,sub-cp016,1,body_movement,42,True,regression,2.0,1.2904129,1.2904129,0.7095870971679688
sub-cp016_ses-20210528_level-02B_run-008,sub-cp016,1,body_movement,42,True,regression,2.0,3.920734,3.920734,-1.92073392868042
sub-cp016_ses-20210528_level-02B_run-010,sub-cp016,1,body_movement,42,True,regression,2.0,2.9739113,2.9739113,-0.9739112854003906
sub-cp016_ses-20210528_level-03B_run-002,sub-cp016,1,body_movement,42,True,regression,3.0,3.032535,3.032535,-0.0325350761413574
sub-cp016_ses-20210528_level-03B_run-005,sub-cp016,1,body_movement,42,True,regression,3.0,3.0872579,3.0872579,-0.0872578620910644
sub-cp016_ses-20210528_level-03B_run-011,sub-cp016,1,body_movement,42,True,regression,3.0,3.2870078,3.2870078,-0.2870078086853027
sub-cp016_ses-20210528_level-04B_run-004,sub-cp016,1,body_movement,42,True,regression,4.0,1.2182207,1.2182207,2.781779289245605
sub-cp016_ses-20210528_level-04B_run-006,sub-cp016,1,body_movement,42,True,regression,4.0,2.597796,2.597796,1.4022040367126465
sub-cp016_ses-20210528_level-04B_run-009,sub-cp016,1,body_movement,42,True,regression,4.0,1.3918637,1.3918637,2.608136296272278
sub-cp027_ses-20210722_level-01B_run-001,sub-cp027,1,body_movement,42,True,regression,1.0,1.1599958,1.1599958,-0.1599957942962646
sub-cp027_ses-20210722_level-01B_run-007,sub-cp027,1,body_movement,42,True,regression,1.0,0.99063367,1.0,0.0
sub-cp027_ses-20210722_level-01B_run-012,sub-cp027,1,body_movement,42,True,regression,1.0,1.1679566,1.1679566,-0.1679565906524658
sub-cp027_ses-20210722_level-02B_run-003,sub-cp027,1,body_movement,42,True,regression,2.0,1.5024606,1.5024606,0.4975394010543823
sub-cp027_ses-20210722_level-02B_run-008,sub-cp027,1,body_movement,42,True,regression,2.0,2.9518964,2.9518964,-0.9518964290618896
sub-cp027_ses-20210722_level-02B_run-010,sub-cp027,1,body_movement,42,True,regression,2.0,1.4688451,1.4688451,0.5311548709869385
sub-cp027_ses-20210722_level-03B_run-002,sub-cp027,1,body_movement,42,True,regression,3.0,2.9132571,2.9132571,0.086742877960205
sub-cp027_ses-20210722_level-03B_run-005,sub-cp027,1,body_movement,42,True,regression,3.0,1.3634266,1.3634266,1.6365734338760376
sub-cp027_ses-20210722_level-03B_run-011,sub-cp027,1,body_movement,42,True,regression,3.0,3.2216053,3.2216053,-0.2216053009033203
sub-cp027_ses-20210722_level-04B_run-004,sub-cp027,1,body_movement,42,True,regression,4.0,2.1231089,2.1231089,1.8768911361694336
