task,modality,stratum,rows,macro_f1,balanced_accuracy,accuracy,severe_error_rate,bounded_mae,raw_mae,bounded_rmse,bounded_r2,bounded_spearman,clipping_count,clipping_rate
classification,physiological_features,modality_available,419,0.33219003734443714,0.3407448683392079,0.3412887828162291,0.3126491646778043,,,,,,,
regression,physiological_features,modality_available,419,,,,,1.0107883840918663,1.0586049994452793,1.2919468688488496,-0.33785727506872254,0.17515247832840228,52.0,0.12410501193317422
classification,eye_tracking_features,modality_fully_missing,14,0.09375,0.1875,0.21428571428571427,0.21428571428571427,,,,,,,
classification,eye_tracking_features,modality_available,405,0.35186522670402554,0.3568042071197411,0.35555555555555557,0.23950617283950618,,,,,,,
regression,eye_tracking_features,modality_fully_missing,14,,,,,1.0000075857142858,1.0000075857142858,1.2100826796965247,-0.17624105726843564,-0.15681251204679503,0.0,0.0
regression,eye_tracking_features,modality_available,405,,,,,0.8420765680790122,0.8567295659061728,1.0513116179131674,0.11403532944201034,0.4369332141513608,26.0,0.06419753086419754
classification,head_movement_features,modality_available,419,0.37329579641748495,0.3751507533347156,0.3747016706443914,0.23389021479713604,,,,,,,
regression,head_movement_features,modality_available,419,,,,,0.8907766639761335,0.905127084816229,1.0987601541184873,0.03233222089317267,0.35427837201151746,19.0,0.045346062052505964
classification,flight_parameter_features,modality_available,419,0.8634578130317547,0.8640926290690443,0.863961813842482,0.011933174224343675,,,,,,,
regression,flight_parameter_features,modality_available,419,,,,,0.261109975823389,0.2795363179236277,0.3891038696115387,0.8786467038722958,0.9312472328247438,54.0,0.1288782816229117
classification,body_movement,modality_fully_missing,29,0.16228070175438597,0.25,0.2413793103448276,0.5172413793103449,,,,,,,
classification,body_movement,modality_available,390,0.22121845749776312,0.24530695791281212,0.24615384615384617,0.31794871794871793,,,,,,,
regression,body_movement,modality_fully_missing,29,,,,,0.9827602027586206,0.9827602027586206,1.1028304328463125,-0.000835229351937139,-0.0239403909577814,0.0,0.0
regression,body_movement,modality_available,390,,,,,1.0292899350358973,1.0633772350403077,1.2782378526245792,-0.3071136063058364,0.13616716014138724,43.0,0.11025641025641025
