task,modality,metric,point_estimate,ci_95_lower,ci_95_upper,n_subjects,repetitions,bootstrap_seed,resampling_unit,interval
classification,physiological_features,macro_f1,0.33219003734443714,0.29362971982374536,0.36782812136929305,35,2000,42,subject_id,percentile
classification,physiological_features,balanced_accuracy,0.3407448683392079,0.3052251108776844,0.3772122052704577,35,2000,42,subject_id,percentile
classification,physiological_features,severe_error_rate,0.3126491646778043,0.26900400613706105,0.3556085918854415,35,2000,42,subject_id,percentile
classification,eye_tracking_features,macro_f1,0.34683349117311385,0.29995091872454444,0.39027834072752826,35,2000,42,subject_id,percentile
classification,eye_tracking_features,balanced_accuracy,0.35163452899301956,0.3074762850880644,0.39512540453074435,35,2000,42,subject_id,percentile
classification,eye_tracking_features,severe_error_rate,0.2386634844868735,0.19047619047619047,0.28641331034246487,35,2000,42,subject_id,percentile
classification,head_movement_features,macro_f1,0.37329579641748495,0.3360320571548299,0.4106821989526793,35,2000,42,subject_id,percentile
classification,head_movement_features,balanced_accuracy,0.3751507533347156,0.34000401636428523,0.41304150357891506,35,2000,42,subject_id,percentile
classification,head_movement_features,severe_error_rate,0.23389021479713604,0.1909307875894988,0.2785714285714286,35,2000,42,subject_id,percentile
classification,flight_parameter_features,macro_f1,0.8634578130317547,0.8018341747706226,0.9185092426073955,35,2000,42,subject_id,percentile
classification,flight_parameter_features,balanced_accuracy,0.8640926290690443,0.8030127008611265,0.9188467261904761,35,2000,42,subject_id,percentile
classification,flight_parameter_features,severe_error_rate,0.011933174224343675,0.0023864927832708263,0.02619047619047619,35,2000,42,subject_id,percentile
classification,body_movement,macro_f1,0.22837948725603024,0.19543774538732794,0.2553542020710522,35,2000,42,subject_id,percentile
classification,body_movement,balanced_accuracy,0.24507654295390144,0.22035336060372124,0.27083210288832515,35,2000,42,subject_id,percentile
classification,body_movement,severe_error_rate,0.3317422434367542,0.2935560859188544,0.36904761904761907,35,2000,42,subject_id,percentile
classification,multimodal_reference,macro_f1,0.8710573880254382,0.8230869230740279,0.9142569975683187,35,2000,42,subject_id,percentile
classification,multimodal_reference,balanced_accuracy,0.8712363501278596,0.8237269127396408,0.914120359513174,35,2000,42,subject_id,percentile
classification,multimodal_reference,severe_error_rate,0.01909307875894988,0.00477326968973747,0.03588516746411483,35,2000,42,subject_id,percentile
regression,physiological_features,bounded_mae,1.0107883840918663,0.934576490208412,1.0855466982478272,35,2000,42,subject_id,percentile
regression,physiological_features,bounded_rmse,1.2919468688488496,1.2009638007894672,1.3787100429988974,35,2000,42,subject_id,percentile
regression,eye_tracking_features,bounded_mae,0.8473534994558473,0.7841155047004443,0.9106949113515147,35,2000,42,subject_id,percentile
regression,eye_tracking_features,bounded_rmse,1.0570018041513607,0.9781141206643709,1.1363220053041088,35,2000,42,subject_id,percentile
regression,head_movement_features,bounded_mae,0.8907766639761335,0.824340381846678,0.9591015334646165,35,2000,42,subject_id,percentile
regression,head_movement_features,bounded_rmse,1.0987601541184873,1.0230942906469398,1.1749336294597101,35,2000,42,subject_id,percentile
regression,flight_parameter_features,bounded_mae,0.261109975823389,0.20785844064889109,0.32272537812178564,35,2000,42,subject_id,percentile
regression,flight_parameter_features,bounded_rmse,0.3891038696115387,0.30081497256610285,0.47871713807882216,35,2000,42,subject_id,percentile
regression,body_movement,bounded_mae,1.026069500105012,0.9706410515305952,1.0828495725307719,35,2000,42,subject_id,percentile
regression,body_movement,bounded_rmse,1.2668800089533119,1.2032553738880556,1.3319146826772361,35,2000,42,subject_id,percentile
regression,multimodal_reference,bounded_mae,0.2657274084669525,0.21218401297866035,0.32671201191379073,35,2000,42,subject_id,percentile
regression,multimodal_reference,bounded_rmse,0.39432709575753067,0.30734148170389775,0.48408540108319037,35,2000,42,subject_id,percentile
