modality,target_class,recall
physiological_features,0,0.2403846153846154
physiological_features,1,0.36792452830188677
physiological_features,2,0.2403846153846154
physiological_features,3,0.5142857142857142
eye_tracking_features,0,0.4326923076923077
eye_tracking_features,1,0.19811320754716982
eye_tracking_features,2,0.4519230769230769
eye_tracking_features,3,0.3238095238095238
head_movement_features,0,0.38461538461538464
head_movement_features,1,0.29245283018867924
head_movement_features,2,0.47115384615384615
head_movement_features,3,0.3523809523809524
flight_parameter_features,0,0.8365384615384616
flight_parameter_features,1,0.7830188679245284
flight_parameter_features,2,0.8653846153846154
flight_parameter_features,3,0.9714285714285714
body_movement,0,0.15384615384615385
body_movement,1,0.4716981132075472
body_movement,2,0.25
body_movement,3,0.10476190476190476
