modality,target_score,bounded_mae,rows
physiological_features,1.0,1.1873227957307693,104
physiological_features,2.0,0.6999178674008679,106
physiological_features,3.0,0.740235929076923,104
physiological_features,4.0,1.417742205809524,105
eye_tracking_features,1.0,0.9767480641538461,104
eye_tracking_features,2.0,0.6777303223207548,106
eye_tracking_features,3.0,0.6238846671923076,104
eye_tracking_features,4.0,1.1117704575809522,105
head_movement_features,1.0,1.0710547015769232,104
head_movement_features,2.0,0.6276829655849056,106
head_movement_features,3.0,0.5761300148076922,104
head_movement_features,4.0,1.289464927142857,105
flight_parameter_features,1.0,0.35863175836538463,104
flight_parameter_features,2.0,0.26984661981132074,106
flight_parameter_features,3.0,0.22406081250000004,104
flight_parameter_features,4.0,0.19239343619047616,105
body_movement,1.0,1.0962616623076924,104
body_movement,2.0,0.6884351096226415,106
body_movement,3.0,0.6789785373269231,104
body_movement,4.0,1.6411811253523811,105
