task,modality,unimodal_metric,multimodal_metric,metric,delta
classification,physiological_features,0.33219003734443714,0.8710573880254382,macro_f1,-0.5388673506810011
classification,eye_tracking_features,0.34683349117311385,0.8710573880254382,macro_f1,-0.5242238968523243
classification,head_movement_features,0.37329579641748495,0.8710573880254382,macro_f1,-0.49776159160795325
classification,flight_parameter_features,0.8634578130317547,0.8710573880254382,macro_f1,-0.007599574993683467
classification,body_movement,0.22837948725603024,0.8710573880254382,macro_f1,-0.6426779007694079
regression,physiological_features,1.0107883840918663,0.2657274084669525,bounded_mae,0.7450609756249138
regression,eye_tracking_features,0.8473534994558473,0.2657274084669525,bounded_mae,0.5816260909888948
regression,head_movement_features,0.8907766639761335,0.2657274084669525,bounded_mae,0.6250492555091811
regression,flight_parameter_features,0.261109975823389,0.2657274084669525,bounded_mae,-0.004617432643563457
regression,body_movement,1.026069500105012,0.2657274084669525,bounded_mae,0.7603420916380594
